Count,In-degree,Out-degree
27012,0,1
6205,0,2
1258,0,3
394,0,4
127,0,5
77,0,6
36,0,7
24,0,8
17,0,9
6,0,10
6,0,11
7,0,12
4,0,13
1,0,14
2,0,15
1,0,16
1,0,17
1,0,18
2,0,20
1,0,26
1,0,27
1,0,37
27126,1,0
16989,1,1
3097,1,2
879,1,3
319,1,4
164,1,5
83,1,6
51,1,7
30,1,8
22,1,9
16,1,10
13,1,11
6,1,12
6,1,13
4,1,14
5,1,15
2,1,16
2,1,17
2,1,18
1,1,19
2,1,20
1,1,22
1,1,25
1,1,26
1,1,28
1,1,29
1,1,78
6292,2,0
3135,2,1
748,2,2
277,2,3
157,2,4
77,2,5
36,2,6
15,2,7
15,2,8
10,2,9
6,2,10
5,2,11
6,2,12
2,2,13
4,2,14
2,2,15
1,2,16
2,2,17
1,2,18
2,2,19
1,2,20
1,2,21
1,2,25
1,2,26
1,2,28
1153,3,0
853,3,1
310,3,2
133,3,3
69,3,4
22,3,5
26,3,6
18,3,7
13,3,8
10,3,9
6,3,10
6,3,11
3,3,12
2,3,13
4,3,14
2,3,15
4,3,16
1,3,26
1,3,29
1,3,34
2,3,36
1,3,39
344,4,0
348,4,1
122,4,2
95,4,3
37,4,4
26,4,5
12,4,6
11,4,7
10,4,8
10,4,9
4,4,10
2,4,11
2,4,12
1,4,13
6,4,14
1,4,15
1,4,16
1,4,18
1,4,19
1,4,20
1,4,22
1,4,25
1,4,28
1,4,29
1,4,43
1,4,52
136,5,0
152,5,1
67,5,2
43,5,3
34,5,4
18,5,5
7,5,6
13,5,7
11,5,8
3,5,9
3,5,10
1,5,12
1,5,13
1,5,14
2,5,16
1,5,19
1,5,23
1,5,24
1,5,58
73,6,0
85,6,1
38,6,2
30,6,3
17,6,4
9,6,5
12,6,6
6,6,7
4,6,8
2,6,9
3,6,10
1,6,11
2,6,12
1,6,14
1,6,15
2,6,19
1,6,21
1,6,24
1,6,25
2,6,27
1,6,28
1,6,35
39,7,0
40,7,1
16,7,2
12,7,3
16,7,4
5,7,5
7,7,6
1,7,7
7,7,8
3,7,9
2,7,10
2,7,11
1,7,13
1,7,15
1,7,16
1,7,19
1,7,56
1,7,115
17,8,0
29,8,1
16,8,2
11,8,3
10,8,4
3,8,5
5,8,6
2,8,7
2,8,8
1,8,9
3,8,10
3,8,11
1,8,12
1,8,18
1,8,20
1,8,22
1,8,35
10,9,0
27,9,1
15,9,2
7,9,3
10,9,4
4,9,5
4,9,6
1,9,7
5,9,8
3,9,9
1,9,11
2,9,12
4,9,13
1,9,14
1,9,15
1,9,16
2,9,19
1,9,21
1,9,52
12,10,0
14,10,1
6,10,2
6,10,3
8,10,4
3,10,5
1,10,6
2,10,7
2,10,8
5,10,9
3,10,10
1,10,11
1,10,13
1,10,14
2,10,15
1,10,17
1,10,18
3,10,19
9,11,0
8,11,1
9,11,2
2,11,3
5,11,4
1,11,5
2,11,6
1,11,7
1,11,9
1,11,10
4,11,11
1,11,14
2,11,17
1,11,28
10,12,1
4,12,2
5,12,3
3,12,4
4,12,5
1,12,6
2,12,7
2,12,8
2,12,9
1,12,11
1,12,13
1,12,14
1,12,18
1,12,21
2,12,23
4,13,0
7,13,1
3,13,2
2,13,3
1,13,4
3,13,5
1,13,6
1,13,7
2,13,8
2,13,9
1,13,13
2,14,0
4,14,1
2,14,2
2,14,3
2,14,4
2,14,5
1,14,8
1,14,9
1,14,10
1,14,11
1,14,13
1,14,14
1,14,15
1,14,17
1,14,22
1,14,25
5,15,0
2,15,1
2,15,2
1,15,3
2,15,4
2,15,5
1,15,6
1,15,7
2,15,14
1,15,25
1,15,54
1,15,141
3,16,0
2,16,1
1,16,2
2,16,3
1,16,10
1,16,16
1,16,44
3,17,1
1,17,2
1,17,3
1,17,6
1,17,16
1,17,20
1,17,22
3,18,1
2,18,2
2,18,3
1,18,4
1,18,5
1,18,8
1,18,9
1,18,12
1,18,14
2,19,1
1,19,3
1,19,4
1,19,5
1,19,6
1,19,9
2,19,10
1,20,0
3,20,1
1,20,3
1,20,5
1,20,6
1,20,11
1,20,12
1,20,16
1,20,27
1,21,0
1,21,5
1,21,6
1,21,20
1,21,22
1,22,1
1,22,2
1,22,4
1,22,10
1,22,11
1,22,15
2,23,0
1,23,2
1,23,4
1,23,8
1,23,10
1,23,15
1,23,18
1,23,30
1,24,0
1,24,6
1,24,13
1,24,19
1,24,27
2,25,1
1,25,5
1,25,6
1,26,4
1,26,16
1,26,24
1,27,4
1,27,7
1,27,18
1,27,22
1,29,0
1,29,9
1,29,20
1,30,5
1,31,5
1,31,6
1,31,9
1,32,1
2,33,1
1,36,12
1,37,4
1,37,9
1,37,11
1,38,13
1,39,2
1,40,20
1,41,2
1,42,9
1,42,35
1,43,1
1,43,5
1,43,30
1,45,9
1,45,91
1,46,1
1,48,4
1,50,15
1,51,15
1,53,4
1,54,8
1,56,29
1,58,4
1,63,1
1,69,12
1,70,26
1,73,48
1,75,2
1,83,301
1,360,77
