step,amount,nameOrig,bankOrig,nameDest,bankDest
0,1433.03,31621,handelsbanken,31936,handelsbanken
0,829.47,3342,swedbank,20245,swedbank
0,1430.12,35012,handelsbanken,39993,handelsbanken
0,711.96,89831,others,63225,others
0,1000.08,52132,others,82308,others
0,85.54,33364,handelsbanken,34968,handelsbanken
0,1381.64,56304,others,57010,others
0,450.69,90560,others,67446,others
0,940.7,13592,swedbank,32787,handelsbanken
0,890.98,3105,swedbank,5108,swedbank
0,1272.79,12584,swedbank,91270,others
0,1161.66,7844,swedbank,55229,others
0,1244.11,59824,others,71880,others
0,657.29,61334,others,73858,others
0,774.74,21350,swedbank,18979,swedbank
0,1313.36,41101,handelsbanken,28208,handelsbanken
0,1621.94,29629,handelsbanken,37242,handelsbanken
0,1132.79,37531,handelsbanken,39925,handelsbanken
0,711.32,34286,handelsbanken,28962,handelsbanken
0,531.23,89656,others,84269,others
0,77.43,78548,others,5994,swedbank
0,443.37,55785,others,48391,others
0,480.56,38068,handelsbanken,30109,handelsbanken
0,748.07,32685,handelsbanken,28486,handelsbanken
0,1225.87,56929,others,24913,swedbank
0,1431.56,39850,handelsbanken,44252,others
0,2.11,80767,others,42141,others
0,886.66,44350,others,92546,others
0,1244.97,78889,others,82684,others
0,1445.49,40400,handelsbanken,37014,handelsbanken
0,1504.14,86775,others,41490,others
0,857.12,31446,handelsbanken,23669,swedbank
0,928.56,57858,others,85138,others
0,460.09,32753,handelsbanken,57622,others
0,920.27,4430,swedbank,21787,swedbank
0,258.39,49854,others,97046,others
0,1524.0,91747,others,20254,swedbank
0,872.09,32165,handelsbanken,32207,handelsbanken
0,100.31,10380,swedbank,87659,others
0,1350.96,48644,others,17219,swedbank
0,1136.28,44969,others,53239,others
0,777.47,60590,others,82199,others
0,925.2,40043,handelsbanken,36788,handelsbanken
0,334.82,38215,handelsbanken,31521,handelsbanken
0,1663.04,28482,handelsbanken,15071,swedbank
0,1195.05,60469,others,93067,others
0,725.47,60758,others,23269,swedbank
0,813.53,74123,others,62092,others
0,1314.46,40481,handelsbanken,33006,handelsbanken
0,1040.31,32551,handelsbanken,32045,handelsbanken
0,296.93,63320,others,57873,others
0,860.92,10287,swedbank,313,swedbank
0,697.7,78271,others,80638,others
0,75.58,70340,others,29518,handelsbanken
0,964.08,24870,swedbank,11383,swedbank
0,558.39,8369,swedbank,98795,others
0,624.77,36787,handelsbanken,40099,handelsbanken
0,927.92,3694,swedbank,21039,swedbank
0,1055.07,27054,swedbank,58501,others
0,336.61,22550,swedbank,7026,swedbank
0,1372.18,58683,others,37397,handelsbanken
0,1575.0,15664,swedbank,78730,others
1,1097.33,83342,others,67591,others
1,815.62,81537,others,13070,swedbank
1,780.1,59568,others,98178,others
1,1273.82,7902,swedbank,39489,handelsbanken
1,824.15,38058,handelsbanken,39183,handelsbanken
1,218.09,5248,swedbank,21397,swedbank
1,1559.69,47524,others,10487,swedbank
1,1048.28,7292,swedbank,23106,swedbank
1,385.46,63699,others,53887,others
1,241.16,28314,handelsbanken,41090,handelsbanken
1,330.03,88823,others,71362,others
1,656.12,26199,swedbank,13635,swedbank
1,784.32,11261,swedbank,49190,others
1,1148.84,55729,others,61356,others
1,864.17,18299,swedbank,62680,others
1,312.88,97767,others,17917,swedbank
1,621.31,36297,handelsbanken,31544,handelsbanken
1,581.73,31089,handelsbanken,2070,swedbank
1,1282.83,4094,swedbank,7011,swedbank
1,1679.84,32846,handelsbanken,39035,handelsbanken
1,1598.87,81561,others,97046,others
1,341.13,24948,swedbank,9756,swedbank
1,789.63,11459,swedbank,2246,swedbank
1,969.69,34097,handelsbanken,79470,others
1,931.21,87352,others,63865,others
1,746.46,36403,handelsbanken,38169,handelsbanken
1,470.81,52622,others,39382,handelsbanken
1,640.77,58100,others,60925,others
1,1454.41,3424,swedbank,15313,swedbank
1,534.48,37856,handelsbanken,35954,handelsbanken
1,1261.3,97132,others,94947,others
1,796.61,56098,others,64836,others
1,835.28,14215,swedbank,91252,others
1,1568.34,18269,swedbank,25638,swedbank
1,1170.32,37593,handelsbanken,28894,handelsbanken
1,128.6,65060,others,86920,others
1,570.18,78705,others,7508,swedbank
1,1092.19,43742,others,63396,others
1,631.62,74611,others,29273,handelsbanken
1,736.79,36783,handelsbanken,32683,handelsbanken
1,756.04,28801,handelsbanken,37370,handelsbanken
1,1021.81,26702,swedbank,17767,swedbank
1,563.42,29170,handelsbanken,38397,handelsbanken
1,1302.76,27483,swedbank,72283,others
1,852.85,42069,others,32777,handelsbanken
1,242.41,5806,swedbank,26440,swedbank
1,693.29,17977,swedbank,4915,swedbank
1,829.46,51798,others,77401,others
1,630.51,50827,others,18787,swedbank
1,1172.48,79558,others,20488,swedbank
1,1245.71,17123,swedbank,46355,others
1,1136.89,26526,swedbank,345,swedbank
1,663.39,22183,swedbank,9625,swedbank
1,648.16,33261,handelsbanken,35161,handelsbanken
2,241.18,78398,others,50461,others
2,655.53,84148,others,53923,others
2,1265.71,76443,others,89639,others
2,333.72,87984,others,15917,swedbank
2,1555.37,74964,others,78102,others
2,515.01,86287,others,25884,swedbank
2,562.11,32096,handelsbanken,38220,handelsbanken
2,803.98,97192,others,75200,others
2,547.19,18797,swedbank,13678,swedbank
2,241.18,56926,others,23542,swedbank
2,98.6,66822,others,24760,swedbank
2,1166.0,29553,handelsbanken,34726,handelsbanken
2,1435.73,98784,others,11324,swedbank
2,1359.86,37805,handelsbanken,38131,handelsbanken
2,1253.4,21713,swedbank,50303,others
2,359.93,43809,others,40470,handelsbanken
2,1367.57,55,swedbank,97353,others
2,45.82,61073,others,458,swedbank
2,45.58,86789,others,37693,handelsbanken
2,845.49,38540,handelsbanken,38469,handelsbanken
2,1468.14,41864,others,34831,handelsbanken
2,590.08,13223,swedbank,22139,swedbank
2,727.02,51290,others,87838,others
2,1199.62,62479,others,94486,others
2,1062.45,91006,others,78760,others
2,1231.55,38302,handelsbanken,49137,others
2,294.74,65828,others,51789,others
2,895.88,86884,others,24609,swedbank
2,893.15,21431,swedbank,5025,swedbank
2,983.37,91029,others,48607,others
2,830.5,81930,others,42729,others
2,1105.98,39613,handelsbanken,33696,handelsbanken
2,821.0,57865,others,39127,handelsbanken
2,589.55,12018,swedbank,37293,handelsbanken
2,189.13,33809,handelsbanken,37243,handelsbanken
2,573.16,4339,swedbank,50557,others
2,761.41,43128,others,75093,others
2,507.78,29419,handelsbanken,34239,handelsbanken
2,1120.55,52481,others,29273,handelsbanken
2,588.92,91383,others,30824,handelsbanken
2,1257.85,22302,swedbank,10670,swedbank
2,266.18,39986,handelsbanken,34521,handelsbanken
2,494.93,23005,swedbank,13786,swedbank
2,1132.18,31881,handelsbanken,39806,handelsbanken
2,306.84,18570,swedbank,63239,others
2,1089.56,96860,others,67773,others
2,1319.35,43968,others,75083,others
2,1438.38,18616,swedbank,7922,swedbank
2,1176.89,63563,others,58087,others
2,1282.75,76559,others,14607,swedbank
2,971.42,962,swedbank,75980,others
2,287.52,22508,swedbank,11618,swedbank
2,1271.96,17836,swedbank,10701,swedbank
2,1409.03,36164,handelsbanken,32749,handelsbanken
2,827.4,32170,handelsbanken,36611,handelsbanken
2,980.58,91033,others,47580,others
2,1204.27,75349,others,19963,swedbank
2,681.79,77149,others,95679,others
2,612.58,95705,others,74029,others
2,1153.75,36351,handelsbanken,78704,others
2,394.44,2159,swedbank,51412,others
2,855.59,58269,others,25543,swedbank
2,271.79,30237,handelsbanken,32327,handelsbanken
2,91.1,33112,handelsbanken,39462,handelsbanken
2,696.06,6784,swedbank,18444,swedbank
2,1117.28,69547,others,76054,others
2,998.36,34736,handelsbanken,29402,handelsbanken
2,1611.22,66677,others,77676,others
2,563.38,47326,others,97046,others
2,499.66,18481,swedbank,7106,swedbank
3,881.79,29676,handelsbanken,28369,handelsbanken
3,438.04,98045,others,30824,handelsbanken
3,412.94,95478,others,95609,others
3,1090.29,3901,swedbank,127,swedbank
3,132.02,8668,swedbank,23096,swedbank
3,1064.94,7004,swedbank,6028,swedbank
3,741.67,33488,handelsbanken,35555,handelsbanken
3,989.13,34571,handelsbanken,40877,handelsbanken
3,803.42,70388,others,32051,handelsbanken
3,325.25,43991,others,2877,swedbank
3,890.37,39374,handelsbanken,30246,handelsbanken
3,585.31,72593,others,86144,others
3,1161.62,18509,swedbank,11636,swedbank
3,513.65,17470,swedbank,8262,swedbank
3,1353.06,29300,handelsbanken,36940,handelsbanken
3,1482.19,8087,swedbank,1508,swedbank
3,946.81,28675,handelsbanken,32174,handelsbanken
3,58.97,18110,swedbank,62799,others
3,136.61,80270,others,48839,others
3,1505.89,99134,others,50467,others
3,429.89,66132,others,35488,handelsbanken
3,1045.85,74693,others,64398,others
3,1488.95,53371,others,2940,swedbank
3,1163.73,91969,others,97046,others
3,943.99,39077,handelsbanken,40670,handelsbanken
3,315.84,30819,handelsbanken,32292,handelsbanken
3,1483.72,21488,swedbank,16230,swedbank
3,624.13,27358,swedbank,97148,others
3,29.77,49398,others,86199,others
3,896.89,6139,swedbank,5368,swedbank
3,1259.49,38308,handelsbanken,28877,handelsbanken
3,913.79,78060,others,65768,others
3,974.22,34244,handelsbanken,35520,handelsbanken
3,1824.12,36474,handelsbanken,31861,handelsbanken
3,647.7,80456,others,79126,others
3,250.55,13392,swedbank,68351,others
3,760.4,32709,handelsbanken,34232,handelsbanken
3,1052.0,31252,handelsbanken,34329,handelsbanken
3,626.44,31513,handelsbanken,89712,others
3,824.69,29679,handelsbanken,36694,handelsbanken
3,1471.23,54988,others,39225,handelsbanken
3,793.92,39895,handelsbanken,40304,handelsbanken
3,394.49,85500,others,83745,others
3,1444.13,10035,swedbank,22846,swedbank
3,479.92,17243,swedbank,7175,swedbank
3,597.77,10117,swedbank,23902,swedbank
3,1490.59,58432,others,69599,others
3,1474.27,33474,handelsbanken,14678,swedbank
3,2126.02,27805,handelsbanken,36935,handelsbanken
3,521.6,60134,others,365,swedbank
3,1152.36,11109,swedbank,37043,handelsbanken
3,1041.64,1840,swedbank,69664,others
3,1439.94,90119,others,6380,swedbank
3,1343.38,39583,handelsbanken,35276,handelsbanken
3,842.29,38310,handelsbanken,30173,handelsbanken
3,1202.68,46564,others,64485,others
3,1099.34,6974,swedbank,6497,swedbank
3,516.33,82599,others,42753,others
3,758.74,40417,handelsbanken,29273,handelsbanken
3,682.26,2110,swedbank,44564,others
3,882.37,37403,handelsbanken,29956,handelsbanken
3,631.72,35487,handelsbanken,37447,handelsbanken
3,990.79,24010,swedbank,22481,swedbank
3,694.38,67039,others,14779,swedbank
3,904.98,39398,handelsbanken,2499,swedbank
3,826.31,30772,handelsbanken,92387,others
3,1226.7,7980,swedbank,26906,swedbank
3,1183.75,32501,handelsbanken,34403,handelsbanken
3,850.19,5706,swedbank,34976,handelsbanken
3,685.13,21889,swedbank,13860,swedbank
3,1644.24,32606,handelsbanken,41142,handelsbanken
3,311.82,61753,others,52784,others
3,963.56,63197,others,458,swedbank
3,670.68,54660,others,95419,others
3,1013.0,64033,others,50125,others
3,1012.41,43509,others,11031,swedbank
3,115.03,60441,others,35503,handelsbanken
3,1326.52,33252,handelsbanken,450,swedbank
3,425.27,39708,handelsbanken,33785,handelsbanken
3,901.76,4119,swedbank,68365,others
4,696.61,12664,swedbank,75443,others
4,777.94,68288,others,79371,others
4,31.71,83494,others,54404,others
4,621.31,52719,others,53387,others
4,868.34,16610,swedbank,2314,swedbank
4,950.08,91174,others,77155,others
4,930.11,18387,swedbank,78362,others
4,1165.95,40495,handelsbanken,31545,handelsbanken
4,563.39,53467,others,14084,swedbank
4,599.56,64568,others,97046,others
4,1275.44,24746,swedbank,45567,others
4,266.25,38860,handelsbanken,36344,handelsbanken
4,1024.18,49729,others,93116,others
4,718.43,97957,others,26195,swedbank
4,1551.35,45422,others,87188,others
4,193.23,8192,swedbank,27679,swedbank
4,621.23,40157,handelsbanken,38374,handelsbanken
4,256.28,1495,swedbank,81334,others
4,179.1,45387,others,66986,others
4,182.18,57284,others,7587,swedbank
4,1398.73,12514,swedbank,53524,others
4,564.66,67045,others,94692,others
4,636.2,32562,handelsbanken,38946,handelsbanken
4,715.18,29010,handelsbanken,29560,handelsbanken
4,426.8,11844,swedbank,15703,swedbank
4,1212.18,39344,handelsbanken,30139,handelsbanken
4,1034.27,95024,others,94862,others
4,1983.5,32368,handelsbanken,35986,handelsbanken
4,499.66,4024,swedbank,77789,others
4,1427.46,94039,others,11552,swedbank
4,662.24,35976,handelsbanken,34610,handelsbanken
4,1364.23,83016,others,54482,others
4,886.66,78050,others,1590,swedbank
4,1401.39,17168,swedbank,17709,swedbank
4,1308.49,13618,swedbank,60553,others
4,1105.23,78903,others,458,swedbank
4,539.6,28140,handelsbanken,38457,handelsbanken
4,1603.53,88320,others,35238,handelsbanken
4,395.4,83982,others,83926,others
4,895.31,34261,handelsbanken,93404,others
4,950.14,29986,handelsbanken,35357,handelsbanken
4,618.4,1520,swedbank,29273,handelsbanken
4,582.87,31831,handelsbanken,32563,handelsbanken
4,734.61,47086,others,30824,handelsbanken
4,1024.7,21686,swedbank,13852,swedbank
4,1467.93,19048,swedbank,23678,swedbank
4,242.34,38782,handelsbanken,29276,handelsbanken
4,536.32,892,swedbank,19196,swedbank
4,125.34,16617,swedbank,61170,others
4,1234.85,75325,others,5572,swedbank
4,896.85,468,swedbank,16321,swedbank
4,914.84,33862,handelsbanken,33051,handelsbanken
4,305.96,4718,swedbank,78858,others
4,752.29,36104,handelsbanken,57851,others
4,548.49,42100,others,98642,others
4,974.79,93749,others,8729,swedbank
4,17.55,76444,others,76924,others
4,572.51,14020,swedbank,90460,others
4,642.48,34312,handelsbanken,34931,handelsbanken
4,1203.49,40716,handelsbanken,47389,others
4,883.43,45566,others,75218,others
4,972.55,29400,handelsbanken,12821,swedbank
4,248.17,66234,others,80118,others
4,1557.74,18650,swedbank,24937,swedbank
5,631.14,55669,others,70526,others
5,942.36,22647,swedbank,5265,swedbank
5,603.73,24574,swedbank,20237,swedbank
5,1281.03,29772,handelsbanken,84384,others
5,643.05,14971,swedbank,20185,swedbank
5,50.04,35908,handelsbanken,29939,handelsbanken
5,1529.43,76102,others,458,swedbank
5,834.31,27042,swedbank,2866,swedbank
5,921.95,38592,handelsbanken,33057,handelsbanken
5,631.05,64556,others,40612,handelsbanken
5,470.11,85838,others,6581,swedbank
5,158.78,36490,handelsbanken,31735,handelsbanken
5,1403.92,1401,swedbank,5599,swedbank
5,924.63,37401,handelsbanken,47182,others
5,14.92,75272,others,28773,handelsbanken
5,1391.24,37130,handelsbanken,30933,handelsbanken
5,673.51,13629,swedbank,72856,others
5,823.09,6067,swedbank,2522,swedbank
5,1284.62,39842,handelsbanken,61506,others
5,909.34,6995,swedbank,65658,others
5,1488.93,29155,handelsbanken,29128,handelsbanken
5,756.06,26917,swedbank,42314,others
5,523.52,98428,others,11160,swedbank
5,465.02,96425,others,25723,swedbank
5,795.44,4425,swedbank,69101,others
5,901.73,34563,handelsbanken,36136,handelsbanken
5,474.98,92686,others,88628,others
5,260.76,82760,others,50761,others
5,9.49,73935,others,4424,swedbank
5,714.67,61740,others,62618,others
5,276.09,30839,handelsbanken,33016,handelsbanken
5,1096.04,26230,swedbank,43060,others
5,1154.55,91585,others,2868,swedbank
5,388.71,3932,swedbank,45785,others
5,1325.5,37120,handelsbanken,73770,others
5,383.74,67116,others,56155,others
5,201.01,95015,others,63098,others
5,1236.47,34796,handelsbanken,64260,others
5,1197.37,31652,handelsbanken,27816,handelsbanken
5,977.1,55313,others,27280,swedbank
5,1209.77,57235,others,93543,others
5,535.04,981,swedbank,1651,swedbank
5,769.44,29674,handelsbanken,36487,handelsbanken
5,459.42,13352,swedbank,99843,others
5,397.82,28036,handelsbanken,35073,handelsbanken
5,750.21,35198,handelsbanken,38696,handelsbanken
5,873.16,7038,swedbank,15883,swedbank
5,231.52,62345,others,21859,swedbank
5,309.87,24775,swedbank,16420,swedbank
5,1246.67,1379,swedbank,26511,swedbank
5,691.74,94097,others,95837,others
5,434.42,56010,others,81492,others
5,916.51,52700,others,65984,others
5,840.14,78191,others,14596,swedbank
5,533.24,12270,swedbank,97046,others
5,1153.84,2854,swedbank,83679,others
5,1656.38,55524,others,84277,others
5,415.29,57099,others,38369,handelsbanken
5,781.17,14161,swedbank,19963,swedbank
5,621.27,28505,handelsbanken,36079,handelsbanken
5,861.96,68022,others,29273,handelsbanken
6,376.2,81382,others,24304,swedbank
6,903.35,20903,swedbank,27117,swedbank
6,1729.11,67149,others,99331,others
6,1239.07,33990,handelsbanken,31906,handelsbanken
6,958.99,34905,handelsbanken,32740,handelsbanken
6,929.12,89409,others,12152,swedbank
6,1215.4,31617,handelsbanken,28636,handelsbanken
6,383.91,34871,handelsbanken,30937,handelsbanken
6,545.29,4160,swedbank,17793,swedbank
6,399.45,14610,swedbank,8317,swedbank
6,723.81,45846,others,76924,others
6,939.04,93595,others,97046,others
6,278.18,84393,others,56661,others
6,654.43,41125,handelsbanken,34359,handelsbanken
6,653.35,39261,handelsbanken,30970,handelsbanken
6,1154.45,40388,handelsbanken,34928,handelsbanken
6,839.07,39299,handelsbanken,25919,swedbank
6,221.62,30043,handelsbanken,37333,handelsbanken
6,52.61,95264,others,34125,handelsbanken
6,884.55,36801,handelsbanken,38426,handelsbanken
6,697.16,61803,others,58523,others
6,1356.31,18542,swedbank,11109,swedbank
6,416.69,22284,swedbank,39509,handelsbanken
6,1943.07,39029,handelsbanken,45022,others
6,777.93,40905,handelsbanken,30678,handelsbanken
6,760.38,18808,swedbank,94039,others
6,499.7,25076,swedbank,8197,swedbank
6,271.71,76081,others,38987,handelsbanken
6,290.78,28200,handelsbanken,34083,handelsbanken
6,327.21,4390,swedbank,19582,swedbank
6,295.83,91173,others,96001,others
6,1613.62,45775,others,33144,handelsbanken
6,113.03,70238,others,30320,handelsbanken
6,270.62,33379,handelsbanken,33397,handelsbanken
6,803.44,28138,handelsbanken,28461,handelsbanken
6,286.54,32663,handelsbanken,33150,handelsbanken
6,486.78,60753,others,6745,swedbank
6,1159.46,23420,swedbank,8309,swedbank
6,572.52,73227,others,871,swedbank
6,1133.51,28433,handelsbanken,29931,handelsbanken
6,910.46,32289,handelsbanken,36593,handelsbanken
6,1111.15,34559,handelsbanken,28367,handelsbanken
6,1191.9,57018,others,80437,others
6,164.84,89439,others,82676,others
6,718.37,79403,others,10092,swedbank
6,161.69,17469,swedbank,14439,swedbank
6,90.98,6304,swedbank,6538,swedbank
6,356.34,39314,handelsbanken,94701,others
6,775.25,27535,swedbank,39601,handelsbanken
6,542.81,22209,swedbank,92263,others
6,676.77,68415,others,41851,others
6,643.15,32472,handelsbanken,29324,handelsbanken
6,887.78,85091,others,24172,swedbank
6,760.31,21516,swedbank,2187,swedbank
6,1397.38,75698,others,38033,handelsbanken
6,1112.51,99556,others,67343,others
6,1078.1,62432,others,51917,others
6,1223.33,20275,swedbank,71612,others
6,636.88,44292,others,82081,others
6,383.8,63999,others,458,swedbank
6,841.76,29034,handelsbanken,34493,handelsbanken
6,591.3,15119,swedbank,13534,swedbank
6,804.57,11224,swedbank,25085,swedbank
7,1272.02,23295,swedbank,3133,swedbank
7,478.43,21012,swedbank,19109,swedbank
7,835.82,53932,others,92277,others
7,477.78,17094,swedbank,44760,others
7,1392.52,82821,others,76084,others
7,467.15,37993,handelsbanken,31922,handelsbanken
7,1279.14,43868,others,94811,others
7,229.02,35142,handelsbanken,76447,others
7,645.99,44797,others,23522,swedbank
7,202.61,50937,others,70518,others
7,963.48,38796,handelsbanken,49033,others
7,1451.48,29001,handelsbanken,30968,handelsbanken
7,423.7,35979,handelsbanken,30035,handelsbanken
7,780.56,40960,handelsbanken,32429,handelsbanken
7,910.45,70878,others,96459,others
7,247.03,21276,swedbank,16392,swedbank
7,327.34,63323,others,65074,others
7,607.34,70366,others,16925,swedbank
7,550.96,74105,others,44793,others
7,81.3,16215,swedbank,13981,swedbank
7,811.98,9121,swedbank,458,swedbank
7,555.28,29855,handelsbanken,28494,handelsbanken
7,501.09,7662,swedbank,61654,others
7,889.83,79358,others,25916,swedbank
7,1101.94,95989,others,43136,others
7,527.36,2374,swedbank,19887,swedbank
7,822.03,30539,handelsbanken,30044,handelsbanken
7,746.93,92376,others,93423,others
7,830.5,34538,handelsbanken,85997,others
7,728.15,31730,handelsbanken,54719,others
7,852.92,35982,handelsbanken,36740,handelsbanken
7,1452.77,39968,handelsbanken,41253,others
7,842.3,67952,others,78005,others
7,1115.18,51744,others,23336,swedbank
7,734.11,64073,others,46786,others
7,336.61,37930,handelsbanken,63871,others
7,877.49,51447,others,43745,others
7,1076.29,35417,handelsbanken,29290,handelsbanken
7,591.31,28539,handelsbanken,30739,handelsbanken
7,950.11,71232,others,50249,others
7,923.56,36920,handelsbanken,37423,handelsbanken
7,507.7,86849,others,50568,others
7,1191.19,31449,handelsbanken,39971,handelsbanken
7,859.26,31212,handelsbanken,53552,others
7,465.06,15882,swedbank,14241,swedbank
7,291.88,8937,swedbank,2657,swedbank
7,914.85,80771,others,90006,others
7,1116.51,28435,handelsbanken,6733,swedbank
8,1390.17,64322,others,33428,handelsbanken
8,346.52,78288,others,42158,others
8,953.42,75503,others,98049,others
8,865.71,53615,others,79618,others
8,1059.4,94428,others,61024,others
8,476.35,53497,others,23376,swedbank
8,698.32,8160,swedbank,1103,swedbank
8,874.23,39928,handelsbanken,34623,handelsbanken
8,576.29,33171,handelsbanken,32393,handelsbanken
8,637.91,19103,swedbank,28332,handelsbanken
8,947.36,38582,handelsbanken,30039,handelsbanken
8,769.41,2828,swedbank,9330,swedbank
8,742.71,83394,others,78210,others
8,1307.63,27195,swedbank,43090,others
8,235.06,24122,swedbank,19155,swedbank
8,699.96,79151,others,22667,swedbank
8,1005.38,34179,handelsbanken,36478,handelsbanken
8,1071.84,30823,handelsbanken,28894,handelsbanken
8,1221.82,15847,swedbank,76924,others
8,647.12,65528,others,3428,swedbank
8,366.0,690,swedbank,63808,others
8,992.52,18184,swedbank,59351,others
8,483.38,14948,swedbank,20378,swedbank
8,1168.08,7448,swedbank,4768,swedbank
8,475.04,38921,handelsbanken,19963,swedbank
8,678.5,95427,others,25279,swedbank
8,801.33,85566,others,83280,others
8,1117.23,51720,others,12518,swedbank
8,963.49,75540,others,43246,others
8,1394.98,55877,others,33779,handelsbanken
8,666.22,32145,handelsbanken,33067,handelsbanken
8,969.19,53519,others,77665,others
8,614.95,28297,handelsbanken,33834,handelsbanken
8,230.32,35793,handelsbanken,32941,handelsbanken
8,1033.11,54208,others,89364,others
8,85.55,52698,others,60977,others
8,1034.28,9835,swedbank,24968,swedbank
8,1055.61,36113,handelsbanken,40670,handelsbanken
8,1275.56,18369,swedbank,4575,swedbank
8,785.35,41859,others,97162,others
8,1092.88,91896,others,87699,others
8,533.88,32173,handelsbanken,65295,others
9,1365.31,32598,handelsbanken,28839,handelsbanken
9,1257.8,39577,handelsbanken,36687,handelsbanken
9,880.22,34819,handelsbanken,32341,handelsbanken
9,1346.61,2004,swedbank,20984,swedbank
9,657.78,84192,others,14337,swedbank
9,743.71,67134,others,88343,others
9,1147.39,84002,others,5488,swedbank
9,2165.94,29249,handelsbanken,56855,others
9,1523.88,2123,swedbank,42209,others
9,1375.74,68915,others,31961,handelsbanken
9,1039.09,50959,others,88394,others
9,306.02,42370,others,15274,swedbank
9,1426.03,36180,handelsbanken,35798,handelsbanken
9,1139.64,78431,others,79340,others
9,799.69,36836,handelsbanken,98979,others
9,1445.47,55945,others,14596,swedbank
9,1564.01,4970,swedbank,38892,handelsbanken
9,1551.31,16452,swedbank,92799,others
9,479.1,29362,handelsbanken,30432,handelsbanken
9,1171.01,31086,handelsbanken,38665,handelsbanken
9,1242.39,848,swedbank,60577,others
9,1245.81,6486,swedbank,4042,swedbank
9,1134.81,25587,swedbank,91730,others
9,905.62,245,swedbank,23728,swedbank
9,495.66,33592,handelsbanken,29957,handelsbanken
9,1493.94,7630,swedbank,55445,others
9,881.85,1988,swedbank,77683,others
9,1359.65,40656,handelsbanken,32367,handelsbanken
9,9.65,40644,handelsbanken,25279,swedbank
9,816.23,39718,handelsbanken,38194,handelsbanken
9,587.07,59862,others,99555,others
9,429.14,11021,swedbank,90200,others
9,674.5,47946,others,66816,others
9,1430.27,38318,handelsbanken,36066,handelsbanken
9,1210.64,84670,others,83358,others
9,342.12,20001,swedbank,23935,swedbank
9,1038.53,29334,handelsbanken,63373,others
9,258.39,35775,handelsbanken,34141,handelsbanken
9,894.22,40747,handelsbanken,33039,handelsbanken
9,1586.37,43102,others,75424,others
9,454.96,32419,handelsbanken,36231,handelsbanken
9,1712.58,7749,swedbank,2998,swedbank
9,1033.78,33147,handelsbanken,35116,handelsbanken
9,1178.38,35523,handelsbanken,38535,handelsbanken
9,800.85,53915,others,50957,others
9,646.53,93650,others,49980,others
9,851.29,6531,swedbank,9427,swedbank
9,389.57,36473,handelsbanken,34216,handelsbanken
9,1397.46,98765,others,70154,others
9,1180.7,89901,others,12651,swedbank
