birthPlaceCountry,countryofResidency,deathTime,firstName,isActive,lastName,legalName,listedCompany,maritalStatus,middleName,name,nameAlias,nationality,occupation,organizationSymbol,partyId,partyType,sourceOfIncome,title,website,gender,homePhone,alternatePhone,cellPhone,primaryPhone,workPhone,alternateEmail,companyEmail,personalEmail,workEmail,isIndividual
US,US,,,1,,,,,,,,US,,,2,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,3,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,5,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,9,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,10,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,14,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,15,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,16,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,18,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,20,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,23,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,27,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,28,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,31,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,33,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,34,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,35,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,37,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,38,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,40,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,42,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,45,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,46,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,47,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,49,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,50,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,51,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,52,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,53,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,54,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,56,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,58,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,62,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,63,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,64,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,69,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,71,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,72,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,74,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,75,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,78,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,79,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,82,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,83,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,85,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,86,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,88,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,89,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,90,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,91,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,94,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,97,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,98,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,100,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,101,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,102,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,105,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,107,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,108,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,109,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,111,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,113,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,114,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,116,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,117,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,119,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,121,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,123,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,128,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,129,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,130,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,134,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,136,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,141,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,143,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,145,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,146,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,147,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,149,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,152,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,153,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,155,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,156,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,157,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,158,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,159,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,160,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,162,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,163,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,165,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,167,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,168,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,169,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,173,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,175,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,176,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,178,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,180,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,181,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,184,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,186,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,187,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,188,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,193,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,195,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,203,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,204,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,205,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,206,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,209,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,216,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,219,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,220,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,221,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,223,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,225,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,230,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,234,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,235,Individual,,,,,,,,,,,,,,
US,US,,,1,,,,,,,,US,,,236,Individual,,,,,,,,,,,,,,
