birthPlaceCountry,countryOfIncorporation,countryOfResidency,deathTime,firstName,isActive,lastName,legalName,listedCompany,maritalStatus,middleName,name,nameAlias,nationality,occupation,organizationSymbol,partyId,partyType,sourceOfIncome,title,website,gender,homePhone,alternatePhone,cellPhone,primaryPhone,workPhone,alternateEmail,companyEmail,personalEmail,workEmail,isIndividual
US,US,US,,,,,,,,,,,US,,,0,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,1,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,4,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,6,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,7,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,8,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,11,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,12,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,13,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,17,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,19,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,21,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,22,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,24,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,25,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,26,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,29,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,30,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,32,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,36,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,39,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,41,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,43,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,44,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,48,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,55,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,57,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,59,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,60,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,61,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,65,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,66,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,67,Organization,,,,,,,,,,,,,,False
US,US,US,,,,,,,,,,,US,,,68,Organization,,,,,,,,,,,,,,False
