tran_id,tran_timestamp,base_amt,tx_type,orig_acct,bene_acct,is_sar,alert_id
1,2023-01-02T00:00:00Z,322.34,TRANSFER,13,7,False,-1
2,2023-01-02T00:00:00Z,491.6,TRANSFER,2,0,False,-1
3,2023-01-02T00:00:00Z,124.83,TRANSFER,12,8,True,0
4,2023-01-03T00:00:00Z,932.52,TRANSFER,6,13,True,1
5,2023-01-03T00:00:00Z,727.05,TRANSFER,1,15,False,-1
6,2023-01-03T00:00:00Z,269.78,TRANSFER,4,14,False,-1
7,2023-01-03T00:00:00Z,139.18,TRANSFER,9,7,False,-1
8,2023-01-04T00:00:00Z,968.95,TRANSFER,11,2,False,-1
9,2023-01-05T00:00:00Z,200.3,TRANSFER,1,15,False,-1
10,2023-01-05T00:00:00Z,321.76,TRANSFER,5,2,False,-1
11,2023-01-06T00:00:00Z,875.78,TRANSFER,3,15,False,-1
12,2023-01-09T00:00:00Z,549.3,TRANSFER,13,14,False,-1
13,2023-01-09T00:00:00Z,375.51,TRANSFER,2,0,False,-1
14,2023-01-10T00:00:00Z,559.67,TRANSFER,1,15,False,-1
15,2023-01-10T00:00:00Z,333.36,TRANSFER,9,7,False,-1
16,2023-01-10T00:00:00Z,958.45,TRANSFER,4,2,False,-1
17,2023-01-11T00:00:00Z,374.03,TRANSFER,14,13,True,1
18,2023-01-11T00:00:00Z,505.51,TRANSFER,11,9,False,-1
19,2023-01-12T00:00:00Z,192.56,TRANSFER,5,1,False,-1
20,2023-01-13T00:00:00Z,271.2,TRANSFER,3,8,False,-1
21,2023-01-16T00:00:00Z,711.22,TRANSFER,13,7,False,-1
22,2023-01-16T00:00:00Z,338.66,TRANSFER,2,0,False,-1
23,2023-01-17T00:00:00Z,187.89,TRANSFER,1,15,False,-1
24,2023-01-17T00:00:00Z,601.6,TRANSFER,4,14,False,-1
25,2023-01-17T00:00:00Z,297.97,TRANSFER,9,7,False,-1
26,2023-01-17T00:00:00Z,150.47,TRANSFER,2,0,False,-1
27,2023-01-18T00:00:00Z,631.38,TRANSFER,1,8,True,0
28,2023-01-18T00:00:00Z,691.09,TRANSFER,11,2,False,-1
29,2023-01-19T00:00:00Z,556.47,TRANSFER,5,2,False,-1
30,2023-01-19T00:00:00Z,877.73,TRANSFER,4,13,True,1
31,2023-01-20T00:00:00Z,973.86,TRANSFER,3,15,False,-1
32,2023-01-23T00:00:00Z,323.73,TRANSFER,2,0,False,-1
33,2023-01-23T00:00:00Z,828.01,TRANSFER,13,14,False,-1
34,2023-01-24T00:00:00Z,382.81,TRANSFER,9,7,False,-1
35,2023-01-24T00:00:00Z,479.87,TRANSFER,4,2,False,-1
36,2023-01-24T00:00:00Z,256.81,TRANSFER,1,15,False,-1
37,2023-01-25T00:00:00Z,356.73,TRANSFER,11,9,False,-1
38,2023-01-26T00:00:00Z,694.35,TRANSFER,5,1,False,-1
39,2023-01-27T00:00:00Z,410.53,TRANSFER,3,8,False,-1
40,2023-01-30T00:00:00Z,654.82,TRANSFER,13,7,False,-1
41,2023-01-30T00:00:00Z,514.66,TRANSFER,2,0,False,-1
42,2023-01-31T00:00:00Z,616.98,TRANSFER,9,7,False,-1
43,2023-01-31T00:00:00Z,390.19,TRANSFER,1,15,False,-1
44,2023-01-31T00:00:00Z,530.13,TRANSFER,4,14,False,-1
45,2023-02-01T00:00:00Z,432.61,TRANSFER,11,2,False,-1
46,2023-02-02T00:00:00Z,653.23,TRANSFER,5,2,False,-1
47,2023-02-03T00:00:00Z,261.98,TRANSFER,9,7,False,-1
48,2023-02-03T00:00:00Z,344.06,TRANSFER,9,8,True,0
49,2023-02-03T00:00:00Z,318.05,TRANSFER,3,15,False,-1
50,2023-02-06T00:00:00Z,819.54,TRANSFER,13,14,False,-1
51,2023-02-06T00:00:00Z,727.27,TRANSFER,2,0,False,-1
52,2023-02-06T00:00:00Z,349.02,TRANSFER,12,9,False,-1
53,2023-02-07T00:00:00Z,862.63,TRANSFER,4,2,False,-1
54,2023-02-07T00:00:00Z,261.35,TRANSFER,9,7,False,-1
55,2023-02-07T00:00:00Z,217.37,TRANSFER,1,15,False,-1
56,2023-02-08T00:00:00Z,732.59,TRANSFER,11,9,False,-1
57,2023-02-09T00:00:00Z,220.5,TRANSFER,5,1,False,-1
58,2023-02-10T00:00:00Z,503.59,TRANSFER,3,8,False,-1
59,2023-02-13T00:00:00Z,537.64,TRANSFER,2,0,False,-1
60,2023-02-13T00:00:00Z,524.34,TRANSFER,13,7,False,-1
61,2023-02-14T00:00:00Z,180.94,TRANSFER,1,15,False,-1
62,2023-02-14T00:00:00Z,398.65,TRANSFER,4,14,False,-1
63,2023-02-14T00:00:00Z,794.44,TRANSFER,9,7,False,-1
64,2023-02-15T00:00:00Z,268.98,TRANSFER,11,2,False,-1
65,2023-02-16T00:00:00Z,817.1,TRANSFER,5,2,False,-1
66,2023-02-17T00:00:00Z,712.6,TRANSFER,3,15,False,-1
67,2023-02-20T00:00:00Z,185.79,TRANSFER,2,0,False,-1
68,2023-02-20T00:00:00Z,695.73,TRANSFER,13,14,False,-1
69,2023-02-21T00:00:00Z,238.64,TRANSFER,4,2,False,-1
