step,type,amount,nameOrig,oldbalanceOrig,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isSAR,alertID
1,TRANSFER,322.34,13,77149.5,76827.14,7,85182.13,85504.48,0,-1
1,TRANSFER,491.6,2,81263.28,80771.68,0,85512.67,86004.27,0,-1
1,TRANSFER,124.83,12,57124.71,56999.88,8,53149.21,53274.04,1,0
2,TRANSFER,932.52,6,86513.92,85581.39,13,76827.14,77759.67,1,1
2,TRANSFER,727.05,1,89252.39,88525.33,15,99661.07,100388.13,0,-1
2,TRANSFER,269.78,4,91403.15,91133.36,14,54560.8,54830.58,0,-1
2,TRANSFER,139.18,9,95850.95,95711.76,7,85504.48,85643.66,0,-1
3,TRANSFER,968.95,11,90167.25,89198.29,2,80771.68,81740.64,0,-1
4,TRANSFER,200.3,1,88525.33,88325.03,15,100388.13,100588.43,0,-1
4,TRANSFER,321.76,5,66656.75,66335.0,2,81740.64,82062.4,0,-1
5,TRANSFER,875.78,3,80594.85,79719.07,15,100588.43,101464.21,0,-1
8,TRANSFER,549.3,13,77759.67,77210.37,14,54830.58,55379.89,0,-1
8,TRANSFER,375.51,2,82062.4,81686.89,0,86004.27,86379.78,0,-1
9,TRANSFER,559.67,1,88325.03,87765.35,15,101464.21,102023.89,0,-1
9,TRANSFER,333.36,9,95711.76,95378.4,7,85643.66,85977.03,0,-1
9,TRANSFER,958.45,4,91133.36,90174.91,2,81686.89,82645.34,0,-1
10,TRANSFER,374.03,14,55379.89,55005.85,13,77210.37,77584.41,1,1
10,TRANSFER,505.51,11,89198.29,88692.78,9,95378.4,95883.91,0,-1
11,TRANSFER,192.56,5,66335.0,66142.42,1,87765.35,87957.92,0,-1
12,TRANSFER,271.2,3,79719.07,79447.85,8,53274.04,53545.25,0,-1
15,TRANSFER,711.22,13,77584.41,76873.18,7,85977.03,86688.25,0,-1
15,TRANSFER,338.66,2,82645.34,82306.67,0,86379.78,86718.45,0,-1
16,TRANSFER,187.89,1,87957.92,87770.03,15,102023.89,102211.78,0,-1
16,TRANSFER,601.6,4,90174.91,89573.31,14,55005.85,55607.45,0,-1
16,TRANSFER,297.97,9,95883.91,95585.94,7,86688.25,86986.22,0,-1
16,TRANSFER,150.47,2,82306.67,82156.2,0,86718.45,86868.92,0,-1
17,TRANSFER,631.38,1,87770.03,87138.64,8,53545.25,54176.62,1,0
17,TRANSFER,691.09,11,88692.78,88001.68,2,82156.2,82847.29,0,-1
18,TRANSFER,556.47,5,66142.42,65585.95,2,82847.29,83403.77,0,-1
18,TRANSFER,877.73,4,89573.31,88695.57,13,76873.18,77750.92,1,1
19,TRANSFER,973.86,3,79447.85,78473.99,15,102211.78,103185.65,0,-1
22,TRANSFER,323.73,2,83403.77,83080.03,0,86868.92,87192.66,0,-1
22,TRANSFER,828.01,13,77750.92,76922.91,14,55607.45,56435.46,0,-1
23,TRANSFER,382.81,9,95585.94,95203.13,7,86986.22,87369.03,0,-1
23,TRANSFER,479.87,4,88695.57,88215.7,2,83080.03,83559.91,0,-1
23,TRANSFER,256.81,1,87138.64,86881.83,15,103185.65,103442.46,0,-1
24,TRANSFER,356.73,11,88001.68,87644.95,9,95203.13,95559.86,0,-1
25,TRANSFER,694.35,5,65585.95,64891.6,1,86881.83,87576.18,0,-1
26,TRANSFER,410.53,3,78473.99,78063.45,8,54176.62,54587.16,0,-1
29,TRANSFER,654.82,13,76922.91,76268.09,7,87369.03,88023.85,0,-1
29,TRANSFER,514.66,2,83559.91,83045.25,0,87192.66,87707.32,0,-1
30,TRANSFER,616.98,9,95559.86,94942.88,7,88023.85,88640.84,0,-1
30,TRANSFER,390.19,1,87576.18,87186.0,15,103442.46,103832.65,0,-1
30,TRANSFER,530.13,4,88215.7,87685.57,14,56435.46,56965.6,0,-1
31,TRANSFER,432.61,11,87644.95,87212.32,2,83045.25,83477.86,0,-1
32,TRANSFER,653.23,5,64891.6,64238.36,2,83477.86,84131.1,0,-1
33,TRANSFER,261.98,9,94942.88,94680.89,7,88640.84,88902.82,0,-1
33,TRANSFER,344.06,9,94680.89,94336.83,8,54587.16,54931.23,1,0
33,TRANSFER,318.05,3,78063.45,77745.39,15,103832.65,104150.71,0,-1
36,TRANSFER,819.54,13,76268.09,75448.54,14,56965.6,57785.14,0,-1
36,TRANSFER,727.27,2,84131.1,83403.83,0,87707.32,88434.6,0,-1
36,TRANSFER,349.02,12,56999.88,56650.86,9,94336.83,94685.85,0,-1
37,TRANSFER,862.63,4,87685.57,86822.93,2,83403.83,84266.46,0,-1
37,TRANSFER,261.35,9,94685.85,94424.5,7,88902.82,89164.17,0,-1
37,TRANSFER,217.37,1,87186.0,86968.62,15,104150.71,104368.09,0,-1
38,TRANSFER,732.59,11,87212.32,86479.73,9,94424.5,95157.09,0,-1
