Count,In-degree,Out-degree
11435,0,2
4969,0,3
1277,0,4
486,0,5
239,0,6
124,0,7
72,0,8
45,0,9
40,0,10
21,0,11
13,0,12
8,0,13
9,0,14
6,0,15
3,0,16
2,0,17
2,0,18
3,0,19
1,0,20
1,0,21
1,0,22
4,0,24
4,0,26
1,0,29
1,0,30
1,0,34
1,0,36
1,0,42
1,0,44
2,0,45
1,0,59
16,1,0
22530,1,1
9640,1,2
2460,1,3
915,1,4
457,1,5
237,1,6
152,1,7
87,1,8
54,1,9
47,1,10
24,1,11
31,1,12
21,1,13
7,1,14
10,1,15
9,1,16
6,1,17
5,1,18
2,1,19
6,1,20
2,1,21
4,1,22
3,1,23
2,1,24
1,1,26
1,1,27
1,1,28
1,1,29
1,1,32
1,1,33
1,1,35
1,1,36
1,1,37
1,1,38
1,1,41
1,1,91
1,1,98
11339,2,0
9851,2,1
2614,2,2
960,2,3
471,2,4
240,2,5
139,2,6
94,2,7
64,2,8
39,2,9
38,2,10
26,2,11
16,2,12
11,2,13
8,2,14
8,2,15
5,2,16
3,2,17
2,2,18
10,2,19
4,2,20
1,2,21
2,2,22
2,2,23
3,2,24
1,2,25
1,2,26
1,2,27
2,2,30
1,2,32
1,2,36
2,2,38
1,2,39
2,2,41
1,2,42
2,2,46
1,2,54
1,2,74
4895,3,0
2495,3,1
990,3,2
477,3,3
244,3,4
142,3,5
97,3,6
61,3,7
51,3,8
29,3,9
23,3,10
17,3,11
11,3,12
7,3,13
6,3,14
4,3,15
7,3,16
6,3,17
3,3,18
1,3,19
1,3,21
3,3,22
3,3,23
2,3,24
1,3,26
1,3,27
1,3,28
1,3,29
1,3,34
2,3,36
2,3,37
1,3,38
2,3,39
1,3,40
1,3,41
1240,4,0
979,4,1
435,4,2
226,4,3
155,4,4
106,4,5
64,4,6
43,4,7
32,4,8
21,4,9
20,4,10
12,4,11
9,4,12
4,4,13
7,4,14
7,4,15
4,4,16
3,4,17
2,4,18
1,4,19
3,4,20
3,4,21
4,4,22
1,4,23
2,4,25
1,4,26
2,4,27
2,4,29
1,4,30
3,4,31
1,4,32
1,4,35
1,4,40
1,4,42
1,4,43
1,4,47
1,4,72
465,5,0
475,5,1
233,5,2
139,5,3
88,5,4
70,5,5
45,5,6
33,5,7
21,5,8
24,5,9
8,5,10
7,5,11
9,5,12
4,5,13
5,5,14
5,5,15
6,5,16
2,5,17
4,5,18
4,5,19
4,5,20
1,5,21
3,5,22
1,5,23
1,5,27
3,5,29
1,5,30
1,5,31
1,5,34
2,5,35
2,5,36
1,5,56
1,5,64
1,5,80
227,6,0
220,6,1
142,6,2
87,6,3
56,6,4
49,6,5
40,6,6
26,6,7
14,6,8
22,6,9
15,6,10
9,6,11
10,6,12
2,6,13
3,6,14
4,6,15
3,6,16
1,6,17
4,6,18
4,6,20
2,6,21
2,6,22
3,6,23
1,6,24
2,6,26
3,6,32
1,6,34
1,6,35
1,6,42
1,6,46
1,6,48
132,7,0
148,7,1
94,7,2
67,7,3
53,7,4
26,7,5
22,7,6
19,7,7
11,7,8
7,7,9
10,7,10
7,7,11
5,7,12
4,7,13
3,7,14
1,7,15
5,7,16
2,7,17
2,7,18
4,7,19
1,7,20
3,7,21
2,7,22
1,7,26
1,7,32
2,7,33
2,7,38
1,7,43
1,7,44
1,7,58
1,7,69
1,7,122
66,8,0
88,8,1
47,8,2
42,8,3
25,8,4
26,8,5
17,8,6
16,8,7
11,8,8
7,8,9
5,8,10
7,8,11
4,8,12
2,8,13
2,8,14
4,8,15
5,8,16
1,8,17
4,8,18
1,8,19
2,8,20
4,8,21
1,8,26
1,8,28
1,8,29
1,8,33
1,8,34
2,8,46
1,8,49
1,8,54
1,8,57
1,8,61
1,8,89
1,8,148
43,9,0
56,9,1
45,9,2
26,9,3
24,9,4
20,9,5
15,9,6
8,9,7
5,9,8
7,9,9
6,9,10
6,9,11
4,9,12
1,9,13
4,9,14
3,9,15
1,9,16
2,9,17
1,9,18
3,9,20
2,9,21
2,9,22
1,9,23
2,9,25
1,9,27
2,9,28
1,9,29
1,9,31
2,9,33
1,9,37
1,9,85
31,10,0
41,10,1
32,10,2
19,10,3
13,10,4
20,10,5
16,10,6
15,10,7
10,10,8
4,10,9
5,10,10
4,10,11
2,10,12
6,10,13
3,10,14
2,10,15
1,10,16
1,10,17
2,10,19
1,10,22
2,10,27
1,10,28
1,10,30
1,10,32
1,10,47
1,10,48
11,11,0
30,11,1
29,11,2
18,11,3
14,11,4
8,11,5
8,11,6
4,11,7
4,11,8
3,11,9
1,11,10
6,11,11
1,11,12
5,11,13
2,11,14
1,11,15
1,11,16
1,11,17
1,11,18
2,11,19
3,11,20
2,11,22
1,11,26
1,11,28
1,11,30
1,11,32
1,11,34
1,11,41
1,11,42
1,11,50
19,12,0
22,12,1
15,12,2
10,12,3
7,12,4
7,12,5
5,12,6
5,12,7
6,12,8
2,12,9
3,12,10
2,12,11
4,12,12
6,12,13
4,12,15
1,12,17
1,12,18
1,12,19
2,12,20
1,12,23
1,12,26
1,12,30
1,12,32
2,12,33
1,12,34
1,12,57
1,12,74
1,12,82
1,12,93
1,12,116
10,13,0
18,13,1
15,13,2
11,13,3
9,13,4
5,13,5
7,13,6
6,13,7
3,13,8
1,13,9
2,13,11
2,13,12
3,13,13
1,13,16
4,13,17
1,13,24
1,13,26
1,13,27
1,13,28
1,13,29
1,13,38
1,13,41
5,14,0
16,14,1
11,14,2
20,14,3
11,14,4
12,14,5
11,14,6
5,14,7
3,14,8
2,14,9
3,14,11
2,14,12
3,14,13
3,14,14
2,14,15
2,14,16
5,14,17
1,14,22
1,14,24
1,14,26
1,14,29
1,14,59
5,15,0
16,15,1
6,15,2
4,15,3
8,15,4
4,15,5
2,15,6
1,15,7
1,15,8
3,15,9
2,15,11
2,15,12
1,15,13
1,15,14
4,15,15
2,15,16
1,15,17
2,15,18
2,15,25
1,15,26
1,15,27
1,15,29
