Count,In-degree,Out-degree
13852,0,2
4767,0,3
986,0,4
306,0,5
139,0,6
57,0,7
42,0,8
23,0,9
11,0,10
10,0,11
7,0,12
2,0,13
2,0,14
3,0,15
1,0,16
4,0,17
3,0,18
1,0,19
1,0,20
1,0,21
1,0,22
1,0,25
1,0,28
1,0,31
2,0,33
1,0,38
1,0,41
53,1,0
27712,1,1
9641,1,2
1864,1,3
675,1,4
274,1,5
130,1,6
66,1,7
33,1,8
24,1,9
13,1,10
16,1,11
9,1,12
5,1,13
9,1,14
1,1,15
3,1,16
2,1,17
3,1,18
1,1,19
1,1,20
1,1,21
1,1,22
1,1,65
13923,2,0
9397,2,1
2001,2,2
682,2,3
280,2,4
143,2,5
78,2,6
48,2,7
33,2,8
12,2,9
12,2,10
12,2,11
5,2,12
4,2,13
2,2,14
3,2,15
3,2,16
2,2,17
1,2,18
1,2,19
3,2,21
1,2,22
1,2,28
1,2,45
1,2,50
4708,3,0
1916,3,1
655,3,2
265,3,3
142,3,4
78,3,5
37,3,6
33,3,7
25,3,8
12,3,9
9,3,10
5,3,11
4,3,12
7,3,13
3,3,14
2,3,15
4,3,16
1,3,17
1,3,18
2,3,19
2,3,20
1,3,22
1,3,23
1,3,24
1,3,68
980,4,0
621,4,1
267,4,2
102,4,3
67,4,4
44,4,5
31,4,6
26,4,7
9,4,8
5,4,9
10,4,10
3,4,11
5,4,12
2,4,13
1,4,14
2,4,15
1,4,16
2,4,17
1,4,18
3,4,19
1,4,21
1,4,33
1,4,41
1,4,71
337,5,0
267,5,1
129,5,2
64,5,3
47,5,4
23,5,5
19,5,6
12,5,7
8,5,8
7,5,9
3,5,10
7,5,11
5,5,12
2,5,13
1,5,16
1,5,17
1,5,18
1,5,22
130,6,0
153,6,1
81,6,2
48,6,3
31,6,4
21,6,5
11,6,6
13,6,7
3,6,8
6,6,9
4,6,10
3,6,11
3,6,12
2,6,13
1,6,14
1,6,16
1,6,20
2,6,22
1,6,23
1,6,73
66,7,0
69,7,1
52,7,2
22,7,3
16,7,4
19,7,5
8,7,6
2,7,7
3,7,8
5,7,9
3,7,10
5,7,11
1,7,12
2,7,13
2,7,14
1,7,15
2,7,16
1,7,20
1,7,23
1,7,26
36,8,0
53,8,1
22,8,2
18,8,3
17,8,4
12,8,5
5,8,6
4,8,7
2,8,8
3,8,9
2,8,11
2,8,13
1,8,15
1,8,18
1,8,19
1,8,21
1,8,47
27,9,0
28,9,1
17,9,2
17,9,3
9,9,4
6,9,5
1,9,6
1,9,7
6,9,8
4,9,9
1,9,11
1,9,14
2,9,15
1,9,16
1,9,18
1,9,41
1,9,49
16,10,0
14,10,1
17,10,2
5,10,3
6,10,4
11,10,5
1,10,6
3,10,7
4,10,8
1,10,9
1,10,10
3,10,11
2,10,13
1,10,14
1,10,17
1,10,20
1,10,29
11,11,0
10,11,1
5,11,2
5,11,3
4,11,4
6,11,5
2,11,6
1,11,7
5,11,8
1,11,10
1,11,11
1,11,12
1,11,13
1,11,16
1,11,20
1,11,21
1,11,25
1,11,27
1,11,34
1,11,35
7,12,0
13,12,1
9,12,2
2,12,3
5,12,4
4,12,5
2,12,6
2,12,7
3,12,8
1,12,9
1,12,10
1,12,11
1,12,18
1,12,23
1,12,27
1,12,29
1,12,37
1,12,42
5,13,0
4,13,1
6,13,2
3,13,3
2,13,5
1,13,6
3,13,7
1,13,8
2,13,9
1,13,10
1,13,11
1,13,12
1,13,17
1,13,20
1,13,29
1,13,30
1,13,56
1,13,99
3,14,0
7,14,1
2,14,2
3,14,3
1,14,4
3,14,5
2,14,6
2,14,7
1,14,8
2,14,9
1,14,11
1,14,14
1,14,16
1,14,17
1,14,18
1,14,25
1,14,27
3,15,0
2,15,1
3,15,2
2,15,4
1,15,5
1,15,6
1,15,14
1,15,19
1,15,26
1,15,46
4,16,0
6,16,1
2,16,2
2,16,3
1,16,4
3,16,6
2,16,7
1,16,15
2,16,20
1,16,22
1,16,30
1,16,68
2,17,1
1,17,2
1,17,3
3,17,5
1,17,6
1,17,7
1,17,9
1,17,10
1,17,15
1,17,28
1,17,32
1,18,0
1,18,2
2,18,5
1,18,11
1,18,52
1,18,57
2,19,1
1,19,2
2,19,4
2,19,5
1,19,6
1,20,0
4,20,2
1,20,4
2,20,5
1,20,6
1,20,9
1,20,10
3,21,1
1,21,2
1,21,16
1,22,2
1,22,3
1,22,5
1,22,10
1,22,11
3,23,2
1,23,3
1,23,7
1,23,10
1,23,15
2,24,1
1,24,2
1,24,3
1,24,5
1,24,18
1,24,19
1,24,23
1,24,31
2,25,5
1,25,7
1,25,8
1,25,10
1,26,0
1,26,3
1,26,6
1,26,8
2,26,11
1,26,12
1,26,19
1,26,20
1,26,29
1,26,152
1,27,0
1,27,2
1,27,6
1,27,9
1,27,15
1,29,10
1,30,0
1,30,1
1,30,17
1,32,2
1,32,3
1,32,6
1,32,7
1,32,8
1,32,21
1,32,35
1,33,4
1,33,31
1,34,21
1,34,88
1,35,7
1,35,118
1,37,10
1,38,35
1,40,118
1,43,6
1,44,32
1,45,14
1,45,29
1,47,2
1,47,21
1,48,5
1,51,103
1,52,18
1,55,2
1,57,101
1,58,29
1,59,2
1,60,0
1,61,3
1,64,8
1,65,7
1,65,19
1,69,42
1,70,10
1,72,50
1,76,9
1,77,64
1,88,55
1,113,101
1,130,33
1,131,37
1,138,2
