Count,In-degree,Out-degree
136,0,1
1237,0,2
404,0,3
84,0,4
31,0,5
11,0,6
8,0,7
2,0,8
4,0,9
1,0,10
1,0,11
1,0,12
1,0,13
1,0,15
1,0,23
1,0,153
2826,1,1
868,1,2
184,1,3
49,1,4
39,1,5
14,1,6
8,1,7
5,1,8
1,1,9
3,1,10
1,1,12
3,1,13
1,1,15
1342,2,0
1040,2,1
245,2,2
77,2,3
28,2,4
15,2,5
5,2,6
5,2,7
1,2,8
2,2,9
2,2,10
1,2,11
1,2,16
1,2,17
1,2,18
1,2,139
483,3,0
222,3,1
62,3,2
32,3,3
12,3,4
6,3,5
2,3,6
4,3,7
4,3,8
2,3,9
1,3,10
2,3,11
2,3,12
1,3,15
1,3,17
1,3,28
109,4,0
69,4,1
33,4,2
15,4,3
7,4,4
6,4,5
2,4,6
1,4,7
2,4,8
3,4,9
1,4,11
1,4,15
1,4,19
41,5,0
32,5,1
12,5,2
5,5,3
5,5,4
4,5,5
4,5,6
2,5,7
1,5,9
1,5,10
1,5,20
10,6,0
14,6,1
4,6,2
1,6,3
4,6,4
1,6,5
1,6,6
2,6,8
2,6,10
6,7,0
9,7,1
5,7,2
1,7,3
1,7,5
1,7,7
1,7,10
1,7,11
1,7,15
5,8,1
2,8,2
1,8,5
1,8,8
1,8,10
1,8,30
2,9,1
2,9,2
3,9,3
1,9,6
1,9,7
2,10,0
1,10,9
1,10,204
1,11,1
1,11,7
1,11,12
1,12,1
2,12,4
2,12,13
1,12,17
1,12,29
2,15,2
1,16,6
2,17,6
1,19,26
1,19,41
1,19,54
1,22,4
1,23,4
1,30,4
1,100,22
1,150,19
