Count,In-degree,Out-degree
2742,0,1
690,0,2
135,0,3
52,0,4
15,0,5
7,0,6
4,0,7
4,0,8
1,0,9
1,0,12
1,0,14
1,0,15
2772,1,0
1419,1,1
254,1,2
81,1,3
31,1,4
16,1,5
12,1,6
5,1,7
1,1,8
7,1,9
2,1,10
1,1,13
1,1,14
1,1,15
1,1,18
733,2,0
271,2,1
69,2,2
42,2,3
24,2,4
5,2,5
8,2,6
7,2,7
4,2,8
1,2,9
2,2,11
1,2,12
1,2,13
1,2,19
130,3,0
96,3,1
37,3,2
18,3,3
8,3,4
7,3,5
2,3,6
2,3,7
2,3,8
1,3,17
29,4,0
33,4,1
11,4,2
7,4,3
6,4,4
1,4,5
2,4,6
4,4,7
2,4,9
2,4,10
2,4,11
1,4,12
1,4,18
1,4,20
1,4,23
1,4,24
20,5,0
11,5,1
10,5,2
3,5,3
2,5,4
1,5,5
2,5,6
2,5,7
2,5,8
1,5,9
1,5,10
1,5,17
1,5,28
8,6,0
6,6,1
7,6,2
3,6,3
2,6,4
1,6,5
1,6,6
1,6,7
1,6,9
1,6,12
1,6,45
5,7,0
2,7,1
4,7,2
1,7,3
1,7,6
1,7,8
1,7,9
1,7,15
4,8,0
4,8,1
1,8,2
1,8,3
1,8,4
1,8,7
1,8,20
1,9,0
3,9,1
3,9,2
1,9,5
1,10,0
2,10,1
1,10,2
3,10,3
2,10,4
1,10,5
2,11,1
1,11,10
1,11,11
1,11,16
1,12,1
1,12,5
1,13,0
1,13,2
1,13,4
1,13,9
1,13,16
1,13,24
1,14,3
1,14,4
1,14,8
1,15,1
1,15,10
1,16,2
1,17,2
1,17,5
2,18,1
1,18,3
1,18,4
1,19,1
1,20,1
1,23,7
1,32,4
1,35,2
1,71,7
