id,src,dst,ttype
0,0,88454,TRANSFER
1,0,55445,TRANSFER
2,1,46115,TRANSFER
3,1,97518,TRANSFER
4,2,91624,TRANSFER
5,2,87852,TRANSFER
6,3,99146,TRANSFER
7,3,99620,TRANSFER
8,4,98443,TRANSFER
9,4,89001,TRANSFER
10,5,25210,TRANSFER
11,5,76842,TRANSFER
12,6,63214,TRANSFER
13,6,87615,TRANSFER
14,7,31493,TRANSFER
15,7,99996,TRANSFER
16,8,95743,TRANSFER
17,8,61913,TRANSFER
18,9,64079,TRANSFER
19,9,99998,TRANSFER
20,10,94136,TRANSFER
21,10,87765,TRANSFER
22,11,37203,TRANSFER
23,11,77287,TRANSFER
24,12,97388,TRANSFER
25,12,88206,TRANSFER
26,13,90970,TRANSFER
27,13,97332,TRANSFER
28,14,70028,TRANSFER
29,14,40569,TRANSFER
30,15,42379,TRANSFER
31,15,83626,TRANSFER
32,16,20955,TRANSFER
33,16,88228,TRANSFER
34,17,87513,TRANSFER
35,17,66864,TRANSFER
36,18,99038,TRANSFER
37,18,22217,TRANSFER
38,19,93704,TRANSFER
39,19,99606,TRANSFER
40,20,25174,TRANSFER
41,20,96991,TRANSFER
42,21,86243,TRANSFER
43,21,28775,TRANSFER
44,22,99894,TRANSFER
45,22,37247,TRANSFER
46,23,42098,TRANSFER
47,23,71309,TRANSFER
48,24,42119,TRANSFER
49,24,24486,TRANSFER
50,25,80753,TRANSFER
51,25,23511,TRANSFER
52,26,35579,TRANSFER
53,26,94516,TRANSFER
54,27,98577,TRANSFER
55,27,65031,TRANSFER
56,28,71730,TRANSFER
57,28,71771,TRANSFER
58,29,94082,TRANSFER
59,29,79048,TRANSFER
60,30,97679,TRANSFER
61,30,72808,TRANSFER
62,31,99580,TRANSFER
63,31,51844,TRANSFER
64,32,99604,TRANSFER
65,32,60453,TRANSFER
66,33,31937,TRANSFER
67,33,89057,TRANSFER
68,34,93841,TRANSFER
69,34,94685,TRANSFER
70,35,98126,TRANSFER
71,35,99957,TRANSFER
72,36,91204,TRANSFER
73,36,51131,TRANSFER
74,37,59328,TRANSFER
75,37,71214,TRANSFER
76,38,67082,TRANSFER
77,38,90754,TRANSFER
78,39,48330,TRANSFER
79,39,37426,TRANSFER
80,40,67067,TRANSFER
81,40,44679,TRANSFER
82,41,97800,TRANSFER
83,41,81750,TRANSFER
84,42,92594,TRANSFER
85,42,99412,TRANSFER
86,43,42883,TRANSFER
87,43,94153,TRANSFER
88,44,82187,TRANSFER
89,44,63782,TRANSFER
90,45,91754,TRANSFER
91,45,97869,TRANSFER
92,46,85973,TRANSFER
93,46,92726,TRANSFER
94,47,33803,TRANSFER
95,47,52062,TRANSFER
96,48,93614,TRANSFER
97,48,60787,TRANSFER
98,49,93255,TRANSFER
99,49,85284,TRANSFER
100,50,23093,TRANSFER
101,50,75500,TRANSFER
102,51,39995,TRANSFER
103,51,98046,TRANSFER
104,52,70687,TRANSFER
105,52,78371,TRANSFER
