alertID,reason,accountID,isMain,isSAR,modelID,minAmount,maxAmount,startStep,endStep,scheduleID,bankID,sourceType
0,fan_out,3439,true,true,1,900.00,900.00,23,348,2,handelsbanken,CASH
0,fan_out,2616,false,true,1,900.00,900.00,23,348,2,swedbank,CASH
0,fan_out,9637,false,true,1,900.00,900.00,23,348,2,others,CASH
0,fan_out,1679,false,true,1,900.00,900.00,23,348,2,swedbank,CASH
0,fan_out,2556,false,true,1,900.00,900.00,23,348,2,swedbank,CASH
0,fan_out,5320,false,true,1,900.00,900.00,23,348,2,others,CASH
0,fan_out,2779,false,true,1,900.00,900.00,23,348,2,handelsbanken,CASH
1,fan_out,6135,true,true,1,400.00,400.00,188,244,2,others,CASH
1,fan_out,5744,false,true,1,400.00,400.00,188,244,2,others,CASH
1,fan_out,9933,false,true,1,400.00,400.00,188,244,2,others,CASH
1,fan_out,1880,false,true,1,400.00,400.00,188,244,2,swedbank,CASH
1,fan_out,4151,false,true,1,400.00,400.00,188,244,2,others,CASH
1,fan_out,3072,false,true,1,400.00,400.00,188,244,2,handelsbanken,CASH
1,fan_out,6800,false,true,1,400.00,400.00,188,244,2,others,CASH
2,fan_out,6307,true,true,1,700.00,700.00,4,309,2,others,CASH
2,fan_out,7889,false,true,1,700.00,700.00,4,309,2,others,CASH
2,fan_out,4351,false,true,1,700.00,700.00,4,309,2,others,CASH
2,fan_out,3488,false,true,1,700.00,700.00,4,309,2,handelsbanken,CASH
2,fan_out,6354,false,true,1,700.00,700.00,4,309,2,others,CASH
2,fan_out,9635,false,true,1,700.00,700.00,4,309,2,others,CASH
2,fan_out,2994,false,true,1,700.00,700.00,4,309,2,handelsbanken,CASH
3,fan_out,2142,true,true,1,700.00,700.00,24,275,2,swedbank,CASH
3,fan_out,2870,false,true,1,700.00,700.00,24,275,2,handelsbanken,CASH
3,fan_out,6556,false,true,1,700.00,700.00,24,275,2,others,CASH
3,fan_out,4010,false,true,1,700.00,700.00,24,275,2,handelsbanken,CASH
3,fan_out,6557,false,true,1,700.00,700.00,24,275,2,others,CASH
3,fan_out,9210,false,true,1,700.00,700.00,24,275,2,others,CASH
3,fan_out,8141,false,true,1,700.00,700.00,24,275,2,others,CASH
