modelID,type,accountID,isMain,isSAR,scheduleID,startStep,endStep
1,single,0,True,False,2,1,365
1,single,8993,False,False,2,1,365
2,fan_out,0,True,False,2,1,365
2,fan_out,8993,False,False,2,1,365
3,fan_in,6088,True,False,2,1,365
3,fan_in,1025,False,False,2,1,365
3,fan_in,1595,False,False,2,1,365
4,forward,9176,False,False,2,1,365
4,forward,2092,False,False,2,1,365
4,forward,5095,True,False,2,1,365
5,mutual,0,True,False,2,1,365
5,mutual,8993,False,False,2,1,365
6,periodical,0,True,False,2,1,365
6,periodical,8993,False,False,2,1,365
7,single,1,True,False,2,1,365
7,single,9802,False,False,2,1,365
8,fan_out,1,True,False,2,1,365
8,fan_out,9802,False,False,2,1,365
9,fan_in,5785,False,False,2,1,365
9,fan_in,571,False,False,2,1,365
9,fan_in,6089,True,False,2,1,365
10,forward,9364,True,False,2,1,365
10,forward,2093,False,False,2,1,365
10,forward,7391,False,False,2,1,365
11,mutual,1,True,False,2,1,365
11,mutual,9802,False,False,2,1,365
12,periodical,1,True,False,2,1,365
12,periodical,9802,False,False,2,1,365
13,single,2,True,False,2,1,365
13,single,9570,False,False,2,1,365
14,fan_out,9570,False,False,2,1,365
14,fan_out,2,True,False,2,1,365
15,fan_in,1920,False,False,2,1,365
15,fan_in,6090,True,False,2,1,365
15,fan_in,5616,False,False,2,1,365
16,forward,7126,False,False,2,1,365
16,forward,7605,True,False,2,1,365
16,forward,2094,False,False,2,1,365
17,mutual,2,True,False,2,1,365
17,mutual,9570,False,False,2,1,365
18,periodical,2,True,False,2,1,365
18,periodical,9570,False,False,2,1,365
19,single,3,True,False,2,1,365
19,single,5059,False,False,2,1,365
20,fan_out,3,True,False,2,1,365
20,fan_out,5059,False,False,2,1,365
21,fan_in,1938,False,False,2,1,365
21,fan_in,1171,False,False,2,1,365
21,fan_in,6091,True,False,2,1,365
22,forward,3487,True,False,2,1,365
22,forward,9396,False,False,2,1,365
22,forward,2095,False,False,2,1,365
23,mutual,3,True,False,2,1,365
23,mutual,5059,False,False,2,1,365
24,periodical,3,True,False,2,1,365
24,periodical,5059,False,False,2,1,365
25,single,9962,False,False,2,1,365
25,single,4,True,False,2,1,365
26,fan_out,9962,False,False,2,1,365
26,fan_out,4,True,False,2,1,365
27,fan_in,924,False,False,2,1,365
