id,src,dst,ttype
0,0,8993,TRANSFER
1,1,9802,TRANSFER
2,2,9570,TRANSFER
3,3,5059,TRANSFER
4,4,9962,TRANSFER
5,5,6946,TRANSFER
6,6,9032,TRANSFER
7,7,7344,TRANSFER
8,8,6246,TRANSFER
9,9,9852,TRANSFER
10,10,9103,TRANSFER
11,11,4880,TRANSFER
12,12,9914,TRANSFER
13,13,9252,TRANSFER
14,14,5690,TRANSFER
15,15,5717,TRANSFER
16,16,7865,TRANSFER
17,17,9518,TRANSFER
18,18,5637,TRANSFER
19,19,9928,TRANSFER
20,20,7181,TRANSFER
21,21,8494,TRANSFER
22,22,6904,TRANSFER
23,23,8591,TRANSFER
24,24,9701,TRANSFER
25,25,6336,TRANSFER
26,26,9089,TRANSFER
27,27,5803,TRANSFER
28,28,7425,TRANSFER
29,29,8705,TRANSFER
30,30,9890,TRANSFER
31,31,2613,TRANSFER
32,32,9310,TRANSFER
33,33,9307,TRANSFER
34,34,6736,TRANSFER
35,35,7709,TRANSFER
36,36,3413,TRANSFER
37,37,9057,TRANSFER
38,38,3954,TRANSFER
39,39,7858,TRANSFER
40,40,3385,TRANSFER
41,41,4777,TRANSFER
42,41,9167,TRANSFER
43,42,4986,TRANSFER
44,42,6199,TRANSFER
45,43,2945,TRANSFER
46,43,6701,TRANSFER
47,44,7272,TRANSFER
48,44,8740,TRANSFER
49,45,6225,TRANSFER
50,45,9931,TRANSFER
51,46,6877,TRANSFER
52,46,9325,TRANSFER
53,47,5882,TRANSFER
54,47,9572,TRANSFER
55,48,9491,TRANSFER
56,48,7466,TRANSFER
57,49,8983,TRANSFER
58,49,7220,TRANSFER
59,50,9691,TRANSFER
60,50,9831,TRANSFER
61,51,7258,TRANSFER
62,51,9882,TRANSFER
63,52,7151,TRANSFER
64,52,5422,TRANSFER
65,53,2225,TRANSFER
66,53,4344,TRANSFER
67,54,9851,TRANSFER
68,54,4114,TRANSFER
69,55,9009,TRANSFER
70,55,9937,TRANSFER
71,56,7637,TRANSFER
72,56,6876,TRANSFER
73,57,8563,TRANSFER
74,57,7692,TRANSFER
75,58,6579,TRANSFER
76,58,8798,TRANSFER
77,59,9138,TRANSFER
78,59,9388,TRANSFER
79,60,9535,TRANSFER
80,60,9776,TRANSFER
81,61,9363,TRANSFER
82,61,7795,TRANSFER
83,62,7817,TRANSFER
84,62,7007,TRANSFER
85,63,6255,TRANSFER
86,63,7807,TRANSFER
87,64,4359,TRANSFER
88,64,3802,TRANSFER
89,65,9147,TRANSFER
90,65,9772,TRANSFER
91,66,9996,TRANSFER
92,66,7779,TRANSFER
93,67,7034,TRANSFER
