id,src,dst,ttype
0,0,29778,TRANSFER
1,0,38917,TRANSFER
2,1,25872,TRANSFER
3,1,67345,TRANSFER
4,2,87086,TRANSFER
5,2,62207,TRANSFER
6,3,89796,TRANSFER
7,3,45940,TRANSFER
8,4,76223,TRANSFER
9,4,85420,TRANSFER
10,5,76549,TRANSFER
11,5,94000,TRANSFER
12,6,60965,TRANSFER
13,6,77522,TRANSFER
14,7,91971,TRANSFER
15,7,66678,TRANSFER
16,8,72666,TRANSFER
17,8,45746,TRANSFER
18,9,57518,TRANSFER
19,9,42605,TRANSFER
20,10,63338,TRANSFER
21,10,92574,TRANSFER
22,11,99476,TRANSFER
23,11,24775,TRANSFER
24,12,99272,TRANSFER
25,12,73415,TRANSFER
26,13,73834,TRANSFER
27,13,72568,TRANSFER
28,14,69504,TRANSFER
29,14,23428,TRANSFER
30,15,66240,TRANSFER
31,15,76033,TRANSFER
32,16,30516,TRANSFER
33,16,35117,TRANSFER
34,17,86499,TRANSFER
35,17,39884,TRANSFER
36,18,27893,TRANSFER
37,18,97624,TRANSFER
38,19,93250,TRANSFER
39,19,77301,TRANSFER
40,20,84296,TRANSFER
41,20,55660,TRANSFER
42,21,63469,TRANSFER
43,21,77024,TRANSFER
44,22,37157,TRANSFER
45,22,78978,TRANSFER
46,23,94230,TRANSFER
47,23,82187,TRANSFER
48,24,99325,TRANSFER
49,24,75051,TRANSFER
50,25,85375,TRANSFER
51,25,38907,TRANSFER
52,26,99625,TRANSFER
53,26,91817,TRANSFER
54,27,99021,TRANSFER
55,27,76759,TRANSFER
56,28,27524,TRANSFER
57,28,56224,TRANSFER
58,29,50505,TRANSFER
59,29,88851,TRANSFER
60,30,21312,TRANSFER
61,30,45125,TRANSFER
62,31,99138,TRANSFER
63,31,91880,TRANSFER
64,32,41945,TRANSFER
65,32,90510,TRANSFER
66,33,87242,TRANSFER
67,33,67951,TRANSFER
68,34,39091,TRANSFER
69,34,53038,TRANSFER
70,35,63803,TRANSFER
71,35,87690,TRANSFER
72,36,99337,TRANSFER
73,36,84339,TRANSFER
74,37,71023,TRANSFER
75,37,90059,TRANSFER
76,38,89207,TRANSFER
77,38,90514,TRANSFER
78,39,28613,TRANSFER
79,39,29598,TRANSFER
80,40,79530,TRANSFER
81,40,95492,TRANSFER
82,41,43003,TRANSFER
83,41,99997,TRANSFER
84,42,48348,TRANSFER
85,42,67492,TRANSFER
86,43,77521,TRANSFER
87,43,99965,TRANSFER
88,44,77408,TRANSFER
89,44,75258,TRANSFER
90,45,96598,TRANSFER
91,45,34387,TRANSFER
92,46,93643,TRANSFER
93,46,69870,TRANSFER
94,47,95214,TRANSFER
95,47,97450,TRANSFER
96,48,51087,TRANSFER
97,48,31721,TRANSFER
98,49,86695,TRANSFER
99,49,98565,TRANSFER
100,50,49426,TRANSFER
101,50,69303,TRANSFER
102,51,86644,TRANSFER
103,51,34228,TRANSFER
104,52,90019,TRANSFER
105,52,91574,TRANSFER
106,53,90974,TRANSFER
107,53,95291,TRANSFER
108,54,70891,TRANSFER
109,54,78730,TRANSFER
110,55,85391,TRANSFER
111,55,69610,TRANSFER
112,56,89671,TRANSFER
113,56,73581,TRANSFER
114,57,91820,TRANSFER
115,57,99767,TRANSFER
116,58,82021,TRANSFER
117,58,33874,TRANSFER
118,59,51108,TRANSFER
119,59,99962,TRANSFER
120,60,57393,TRANSFER
121,60,62709,TRANSFER
122,61,78312,TRANSFER
123,61,41629,TRANSFER
124,62,52151,TRANSFER
125,62,99929,TRANSFER
126,63,88499,TRANSFER
127,63,27929,TRANSFER
128,64,55240,TRANSFER
129,64,99331,TRANSFER
130,65,55993,TRANSFER
131,65,93930,TRANSFER
132,66,94217,TRANSFER
133,66,81060,TRANSFER
134,67,81108,TRANSFER
135,67,98804,TRANSFER
136,68,38980,TRANSFER
137,68,90860,TRANSFER
138,69,35286,TRANSFER
139,69,41994,TRANSFER
140,70,64414,TRANSFER
141,70,85072,TRANSFER
142,71,88102,TRANSFER
143,71,93227,TRANSFER
144,72,72770,TRANSFER
145,72,56997,TRANSFER
146,73,54473,TRANSFER
147,73,90614,TRANSFER
148,74,94662,TRANSFER
149,74,82098,TRANSFER
150,75,89802,TRANSFER
151,75,99524,TRANSFER
152,76,44886,TRANSFER
153,76,99893,TRANSFER
154,77,46879,TRANSFER
155,77,69070,TRANSFER
156,78,41092,TRANSFER
157,78,80747,TRANSFER
158,79,98624,TRANSFER
159,79,57810,TRANSFER
160,80,90996,TRANSFER
161,80,61956,TRANSFER
162,81,87200,TRANSFER
163,81,99603,TRANSFER
164,82,68130,TRANSFER
165,82,78821,TRANSFER
166,83,22905,TRANSFER
167,83,81243,TRANSFER
168,84,98853,TRANSFER
169,84,98611,TRANSFER
170,85,93226,TRANSFER
171,85,77397,TRANSFER
172,86,72902,TRANSFER
173,86,94292,TRANSFER
174,87,87786,TRANSFER
175,87,94319,TRANSFER
176,88,27793,TRANSFER
177,88,53233,TRANSFER
178,89,75012,TRANSFER
179,89,99998,TRANSFER
180,90,84595,TRANSFER
181,90,84057,TRANSFER
182,91,97635,TRANSFER
183,91,60270,TRANSFER
184,92,82045,TRANSFER
185,92,81145,TRANSFER
186,93,98413,TRANSFER
187,93,67575,TRANSFER
188,94,33138,TRANSFER
189,94,57678,TRANSFER
190,95,97950,TRANSFER
191,95,61442,TRANSFER
192,96,68022,TRANSFER
193,96,39404,TRANSFER
194,97,95036,TRANSFER
195,97,55978,TRANSFER
196,98,93190,TRANSFER
197,98,76106,TRANSFER
198,99,99310,TRANSFER
199,99,96607,TRANSFER
200,100,64274,TRANSFER
201,100,67905,TRANSFER
202,101,85351,TRANSFER
203,101,57882,TRANSFER
204,102,49722,TRANSFER
205,102,30309,TRANSFER
206,103,46281,TRANSFER
207,103,20869,TRANSFER
208,104,73358,TRANSFER
209,104,98768,TRANSFER
210,105,91529,TRANSFER
211,105,99161,TRANSFER
212,106,99494,TRANSFER
213,106,98232,TRANSFER
214,107,88399,TRANSFER
215,107,75469,TRANSFER
216,108,97485,TRANSFER
217,108,71567,TRANSFER
218,109,99442,TRANSFER
219,109,77762,TRANSFER
220,110,28421,TRANSFER
221,110,56863,TRANSFER
222,111,82167,TRANSFER
223,111,92068,TRANSFER
224,112,97055,TRANSFER
225,112,33057,TRANSFER
226,113,94940,TRANSFER
227,113,63109,TRANSFER
228,114,54636,TRANSFER
229,114,68128,TRANSFER
230,115,90735,TRANSFER
231,115,82077,TRANSFER
232,116,84169,TRANSFER
233,116,92565,TRANSFER
234,117,78651,TRANSFER
235,117,43309,TRANSFER
236,118,91455,TRANSFER
237,118,60744,TRANSFER
238,119,95590,TRANSFER
239,119,98999,TRANSFER
240,120,34111,TRANSFER
241,120,46109,TRANSFER
242,121,21941,TRANSFER
243,121,38891,TRANSFER
244,122,96979,TRANSFER
245,122,58690,TRANSFER
246,123,95464,TRANSFER
247,123,87646,TRANSFER
248,124,83581,TRANSFER
249,124,60593,TRANSFER
250,125,34916,TRANSFER
251,125,99241,TRANSFER
252,126,99115,TRANSFER
253,126,72584,TRANSFER
254,127,70738,TRANSFER
255,127,78026,TRANSFER
256,128,52618,TRANSFER
257,128,32147,TRANSFER
258,129,64000,TRANSFER
259,129,99580,TRANSFER
260,130,61507,TRANSFER
261,130,49030,TRANSFER
262,131,91245,TRANSFER
263,131,24717,TRANSFER
264,132,66381,TRANSFER
265,132,93298,TRANSFER
266,133,98818,TRANSFER
267,133,32100,TRANSFER
268,134,90220,TRANSFER
269,134,65914,TRANSFER
270,135,65552,TRANSFER
271,135,96438,TRANSFER
272,136,76775,TRANSFER
273,136,96590,TRANSFER
274,137,26438,TRANSFER
275,137,86907,TRANSFER
276,138,80451,TRANSFER
277,138,88060,TRANSFER
278,139,24846,TRANSFER
279,139,47642,TRANSFER
280,140,71755,TRANSFER
281,140,77638,TRANSFER
282,141,61847,TRANSFER
283,141,88627,TRANSFER
284,142,75552,TRANSFER
285,142,43167,TRANSFER
286,143,95337,TRANSFER
287,143,91996,TRANSFER
288,144,36588,TRANSFER
289,144,38663,TRANSFER
290,145,97804,TRANSFER
291,145,76683,TRANSFER
292,146,70742,TRANSFER
293,146,78264,TRANSFER
294,147,92478,TRANSFER
295,147,29625,TRANSFER
296,148,84881,TRANSFER
297,148,93169,TRANSFER
298,149,78187,TRANSFER
299,149,58787,TRANSFER
300,150,32123,TRANSFER
301,150,96253,TRANSFER
302,151,88792,TRANSFER
303,151,86428,TRANSFER
304,152,96220,TRANSFER
305,152,71241,TRANSFER
306,153,95595,TRANSFER
307,153,64317,TRANSFER
308,154,87388,TRANSFER
309,154,61452,TRANSFER
310,155,91658,TRANSFER
311,155,64528,TRANSFER
312,156,94381,TRANSFER
313,156,95721,TRANSFER
314,157,78192,TRANSFER
315,157,63686,TRANSFER
316,158,49251,TRANSFER
317,158,80972,TRANSFER
318,159,99030,TRANSFER
319,159,99298,TRANSFER
320,160,64718,TRANSFER
321,160,47305,TRANSFER
322,161,41360,TRANSFER
323,161,95312,TRANSFER
324,162,63620,TRANSFER
325,162,73716,TRANSFER
326,163,98372,TRANSFER
327,163,45241,TRANSFER
328,164,44749,TRANSFER
329,164,28552,TRANSFER
330,165,31086,TRANSFER
331,165,99999,TRANSFER
332,166,76016,TRANSFER
333,166,34698,TRANSFER
334,167,85594,TRANSFER
335,167,52933,TRANSFER
336,168,68395,TRANSFER
337,168,32330,TRANSFER
338,169,71887,TRANSFER
339,169,81349,TRANSFER
340,170,60554,TRANSFER
341,170,92413,TRANSFER
342,171,99872,TRANSFER
343,171,52452,TRANSFER
344,172,71421,TRANSFER
345,172,83318,TRANSFER
346,173,67892,TRANSFER
347,173,87962,TRANSFER
348,174,20399,TRANSFER
349,174,85224,TRANSFER
350,175,97417,TRANSFER
351,175,55913,TRANSFER
352,176,95600,TRANSFER
353,176,82044,TRANSFER
354,177,42197,TRANSFER
355,177,60941,TRANSFER
356,178,94345,TRANSFER
357,178,81239,TRANSFER
358,179,74272,TRANSFER
359,179,92594,TRANSFER
360,180,89651,TRANSFER
361,180,99112,TRANSFER
362,181,54395,TRANSFER
363,181,55470,TRANSFER
364,182,92095,TRANSFER
365,182,98887,TRANSFER
366,183,20450,TRANSFER
367,183,21467,TRANSFER
368,184,99920,TRANSFER
369,184,68188,TRANSFER
370,185,97778,TRANSFER
371,185,49511,TRANSFER
372,186,43982,TRANSFER
373,186,99216,TRANSFER
374,187,65937,TRANSFER
375,187,37905,TRANSFER
376,188,27038,TRANSFER
377,188,71772,TRANSFER
378,189,66669,TRANSFER
379,189,73632,TRANSFER
