modelID,type,accountID,isMain,isSAR,scheduleID
1,single,1,True,False,2
1,single,15,False,False,2
2,fan_out,8,False,False,2
2,fan_out,3,True,False,2
2,fan_out,15,False,False,2
3,fan_in,0,True,False,2
3,fan_in,2,False,False,2
3,fan_in,14,False,False,2
4,single,0,False,False,2
4,single,2,True,False,2
5,fan_out,2,False,False,2
5,fan_out,4,True,False,2
5,fan_out,14,False,False,2
6,fan_in,8,True,False,2
6,fan_in,3,False,False,2
6,fan_in,15,False,False,2
7,single,9,True,False,2
7,single,7,False,False,2
8,fan_out,1,False,False,2
8,fan_out,2,False,False,2
8,fan_out,5,True,False,2
9,fan_in,1,True,False,2
9,fan_in,5,False,False,2
9,fan_in,6,False,False,2
9,fan_in,14,False,False,2
10,single,10,True,False,2
10,single,6,False,False,2
11,fan_out,9,False,False,2
11,fan_out,2,False,False,2
11,fan_out,11,True,False,2
12,fan_in,2,True,False,2
12,fan_in,11,False,False,2
12,fan_in,4,False,False,2
12,fan_in,5,False,False,2
13,single,9,False,False,2
13,single,12,True,False,2
14,fan_out,13,True,False,2
14,fan_out,14,False,False,2
14,fan_out,7,False,False,2
15,fan_in,9,True,False,2
15,fan_in,11,False,False,2
15,fan_in,12,False,False,2
