account,bank,sum,mean,median,std,max,min,count_in,count_out,count_unique_in,count_unique_out,count_days_in_bank,count_phone_changes,sum_spending,mean_spending,median_spending,std_spending,max_spending,min_spending,count_spending,is_sar
2770,handelsbanken,10325.58,368.7707142857143,589.26,775.660763764621,1702.35,-1702.35,21,7,2,1,28,0,18519.1,1543.2583333333332,627.1800000000001,3199.573910313779,11656.74,189.06,12.0,0
2771,handelsbanken,10371.73,648.233125,952.2350000000001,965.0117994423264,1510.62,-1217.99,12,4,1,1,27,0,23808.58,1400.504705882353,391.26,4058.2089150851352,17113.56,8.33,17.0,0
2772,handelsbanken,5315.7300000000005,253.13000000000002,774.52,1191.078794194574,2041.42,-1837.07,12,9,1,1,26,0,22213.29,2468.1433333333334,649.71,5385.995854665597,16805.0,118.36,9.0,0
2773,handelsbanken,4017.99,267.866,305.42,597.728818275598,1183.72,-718.82,10,5,1,1,26,0,23927.53,1709.1092857142855,581.07,4290.6688589461455,16570.96,94.35,14.0,0
2774,handelsbanken,-2759.3,-125.42272727272729,-27.8,719.9976148385217,988.29,-1636.98,8,14,1,1,27,0,27153.480000000003,2262.7900000000004,490.7,6047.908765048085,21406.45,0.57,12.0,0
2775,handelsbanken,1770.8300000000002,126.48785714285715,220.11,576.5350253844556,953.91,-1242.07,10,4,1,1,25,0,23133.17,1927.7641666666666,449.485,4958.49084387846,17642.18,65.94,12.0,0
2776,handelsbanken,-417.2800000000001,-26.080000000000005,-151.45999999999998,704.3321441005894,1422.72,-841.19,8,8,1,1,26,0,20385.84,2265.0933333333332,372.92,5676.678515659488,17391.63,37.09,9.0,0
2777,handelsbanken,2097.8500000000004,149.8464285714286,327.20000000000005,755.8660361222661,1379.39,-1123.71,9,5,1,1,28,0,21954.34,1372.14625,498.765,3442.855987980279,14223.85,61.62,16.0,0
2778,handelsbanken,1887.2599999999998,134.8042857142857,310.135,806.3254439141164,1175.8,-1526.76,9,5,1,1,28,0,6265.75,447.55357142857144,369.97,345.96855574341845,1128.29,51.2,14.0,0
2779,handelsbanken,11296.57,364.4054838709677,319.56,989.723763955845,1629.06,-1233.12,16,15,1,1,26,0,16007.09,941.5935294117647,393.42,1599.6840337701897,6785.64,42.76,17.0,0
