account,bank,sum,mean,median,std,max,min,count_in,count_out,count_unique_in,count_unique_out,count_days_in_bank,count_phone_changes,sum_spending,mean_spending,median_spending,std_spending,max_spending,min_spending,count_spending,is_sar
0,swedbank,8953.44,688.7261538461539,616.23,317.40752872656896,1137.77,291.39,13,0,2,0,28,0,33687.85,3368.785,522.3299999999999,8950.638060239367,28823.01,5.8,10.0,0
1,swedbank,12269.31,817.954,915.15,442.58993103581304,1562.97,73.3,15,0,2,0,26,0,12622.03,970.9253846153847,378.95,2146.6485838962067,8084.51,7.36,13.0,0
2,swedbank,14314.65,795.2583333333333,970.385,293.58563817754714,1059.35,390.99,18,0,2,0,28,0,16347.43,817.3715,562.12,1415.6564421061273,6709.8,3.18,20.0,0
3,swedbank,10176.28,535.5936842105264,420.03,421.38972443320773,1600.02,20.3,19,0,2,0,28,0,22251.27,1711.6361538461538,497.74,4364.095689484322,16198.0,12.62,13.0,0
4,swedbank,13384.0,956.0,975.8800000000001,382.49247099679076,1618.63,333.56,14,0,2,0,25,0,11451.98,880.9215384615384,680.58,785.2641005191201,3160.21,77.47,13.0,0
5,swedbank,13193.04,694.3705263157896,758.0,339.28623645781386,1411.03,202.17,19,0,2,0,28,0,47687.579999999994,3668.275384615384,348.29,11685.030783211208,42541.99,102.95,13.0,0
6,swedbank,13881.5,867.59375,940.84,377.20536537143795,1503.44,208.24,16,0,2,0,27,0,23545.22,1471.57625,310.62,4217.697325825828,17216.77,21.66,16.0,0
7,swedbank,12357.289999999999,823.8193333333332,819.16,478.0826401734726,1868.76,144.71,15,0,2,0,28,0,10000.21,833.3508333333333,404.12,1373.3739643894808,5095.08,0.16,12.0,0
8,swedbank,7353.88,525.2771428571428,307.40999999999997,729.6570613169383,1922.75,-1042.42,13,1,2,1,26,0,28644.910000000003,2604.0827272727274,382.63,7329.517897815777,24691.45,48.79,11.0,0
9,swedbank,7807.68,600.5907692307693,384.14,511.7595308420668,1333.16,-333.52,12,1,2,1,27,0,12054.69,709.0994117647059,244.35,1395.2640631412328,5968.55,11.01,17.0,0
10,swedbank,11760.16,904.6276923076923,809.29,283.9002580764897,1470.66,611.27,13,0,2,0,27,0,21899.88,1990.898181818182,582.76,4758.495180356535,16314.77,28.51,11.0,0
11,swedbank,12023.25,429.4017857142857,537.52,338.3281567754353,1115.46,-810.3,26,2,2,2,28,0,15078.36,1370.76,450.07,3065.9046341985263,10594.48,81.57,11.0,0
12,swedbank,5005.73,417.14416666666665,523.595,749.7632555129815,1576.41,-1576.41,11,1,2,1,27,0,15482.75,2211.8214285714284,469.31,4758.172890635748,12986.25,35.23,7.0,0
13,swedbank,8876.98,682.8446153846154,482.82,292.7373948500426,1302.51,380.04,13,0,2,0,23,0,18640.11,1864.011,433.725,4388.713384371957,14295.05,8.23,10.0,0
14,swedbank,11684.14,687.3023529411764,370.98,485.9867345094078,1493.48,22.77,17,0,2,0,27,0,18769.57,1443.813076923077,522.06,3340.9645170503895,12522.34,140.36,13.0,0
15,swedbank,9376.72,625.1146666666666,711.44,436.5877741215172,1088.5,-778.6,14,1,2,1,28,0,35984.79,2398.986,470.91,7098.62377306515,28015.74,0.44,15.0,0
16,swedbank,9327.279999999999,621.8186666666666,862.75,792.9798398163966,1791.67,-1334.45,13,2,2,2,26,0,49419.869999999995,3529.990714285714,455.63,11536.699882218327,43598.38,17.7,14.0,0
17,swedbank,12682.24,792.64,716.6,451.870609887388,1503.02,96.76,16,0,2,0,28,0,21015.33,1401.0220000000002,477.23,3668.0367757215463,14633.76,54.97,15.0,0
18,swedbank,9897.24,761.3261538461538,807.56,396.3431151275046,1434.91,312.08,13,0,2,0,23,0,22442.77,1320.1629411764707,512.14,3347.999548388494,14270.53,44.51,17.0,0
19,swedbank,10562.210000000001,555.9057894736843,448.57,448.7829784516713,1490.91,140.74,19,0,2,0,28,0,18062.56,1290.1828571428573,605.62,2526.9602727370307,9970.31,2.66,14.0,0
20,swedbank,12432.98,956.3830769230769,971.67,434.8488819384004,1600.41,71.3,13,0,2,0,27,0,20188.0,1261.75,745.28,2118.086933447256,9064.85,151.61,16.0,0
21,swedbank,10967.039999999999,783.3599999999999,836.25,496.8853581755361,2239.38,105.47,14,0,2,0,24,0,26363.45,1883.1035714285715,566.5,4602.624589132407,17777.67,121.63,14.0,0
22,swedbank,11044.88,613.6044444444444,532.36,329.24305738756055,1249.01,157.93,18,0,2,0,28,0,20559.02,1468.5014285714285,873.475,2955.2846374454152,11621.9,27.2,14.0,0
23,swedbank,12160.29,506.67875000000004,454.35,189.02325095796388,975.21,114.04,24,0,2,0,28,0,14771.750000000002,1136.2884615384617,471.73,2487.219560449131,9315.77,9.69,13.0,0
24,swedbank,12157.939999999999,675.441111111111,634.015,419.7293148865866,1168.74,-399.03,17,1,2,1,22,0,14029.0,1275.3636363636363,473.15,2830.9375235821535,9800.37,175.27,11.0,0
25,swedbank,7360.86,613.405,464.95,301.24842247795175,1317.84,354.47,12,0,2,0,26,0,12972.68,1179.3345454545454,455.57,2665.859744605344,9191.75,41.21,11.0,0
26,swedbank,10136.53,633.533125,604.115,437.94630726789256,1385.94,39.05,16,0,2,0,26,0,32446.579999999998,3605.1755555555555,331.78,10022.534671426823,30328.26,11.33,9.0,0
27,swedbank,10178.56,678.5706666666666,471.42,487.3050044664996,1529.29,75.37,15,0,2,0,27,0,18970.510000000002,1355.0364285714288,519.71,2959.937630508732,11544.33,33.12,14.0,0
28,swedbank,4287.95,535.99375,429.52,536.3196189623576,1343.1,-50.91,7,1,2,1,26,0,13341.51,2223.585,521.0699999999999,4529.497655342147,11446.61,0.62,6.0,0
29,swedbank,9824.210000000001,545.7894444444445,494.3,587.0124020082012,1482.22,-771.63,16,2,2,2,28,0,33732.82,2811.068333333333,649.925,7327.525440041236,26049.96,259.37,12.0,0
30,swedbank,15669.81,783.4905,1058.09,427.96516264361856,1486.08,55.36,20,0,2,0,26,0,20784.809999999998,1093.9373684210525,373.26,3037.4277345090713,13579.75,36.48,19.0,0
31,swedbank,10030.81,771.6007692307692,789.57,387.988048923794,1488.42,78.54,13,0,2,0,26,0,15583.72,865.7622222222221,356.96000000000004,1932.6907491478892,8523.56,34.05,18.0,0
32,swedbank,8486.82,652.8323076923077,593.02,524.6193251166959,2010.22,85.96,13,0,2,0,28,0,22616.629999999997,1330.3899999999999,555.76,3099.965465581835,13267.17,69.6,17.0,0
33,swedbank,11634.39,775.626,765.99,432.3655672790925,1537.64,27.73,15,0,2,0,28,0,18478.94,2309.8675,466.05999999999995,5347.7520841424575,15521.66,20.37,8.0,0
34,swedbank,5527.11,394.7935714285714,295.985,275.13570018634977,845.8,33.16,14,0,2,0,22,0,14169.23,1180.7691666666667,494.79,2421.320942166067,8793.93,77.13,12.0,0
35,swedbank,18938.25,728.3942307692307,631.04,220.8612853204124,1465.9,586.46,26,0,2,0,28,0,28700.44,1793.7775,409.475,5526.647053581402,22491.44,56.25,16.0,0
36,swedbank,25825.0,1033.0,1142.27,201.42584566038187,1202.99,466.04,25,0,2,0,28,0,21516.66,3586.11,934.9300000000001,7042.368107794423,17905.18,1.49,6.0,0
37,swedbank,18088.89,452.22225,264.61,391.17354219092107,2009.08,28.65,40,0,2,0,28,0,15252.08,1386.5527272727272,350.15,3005.706262185615,10381.14,94.01,11.0,0
38,swedbank,11897.7,626.1947368421053,641.6,411.97389505172964,1043.14,-918.49,18,1,2,1,27,0,21009.94,2100.9939999999997,248.58499999999998,5831.81575830223,18693.05,75.9,10.0,0
39,swedbank,9902.23,471.53476190476187,148.92,756.310296258216,1744.26,-1744.26,20,1,2,1,27,0,38593.119999999995,3216.093333333333,336.85,10129.915276334503,35374.7,49.55,12.0,0
