src,dst,sum,mean,median,std,max,min,count,is_sar
12,628,13079.2,817.45,805.2,250.48620723172235,1230.66,237.03,16,0
14,1190,5244.5,582.7222222222222,667.38,293.42069383300907,920.23,152.61,9,0
21,197,1024.87,1024.87,1024.87,0.0,1024.87,1024.87,1,1
21,235,1342.94,1342.94,1342.94,0.0,1342.94,1342.94,1,1
21,395,7682.55,640.2125,599.125,383.9449244860991,1599.32,162.73,12,0
21,1244,539.46,539.46,539.46,0.0,539.46,539.46,1,1
23,1226,7634.47,694.0427272727273,612.37,461.0413425733295,1566.66,58.44,11,0
26,1037,8950.98,526.5282352941176,127.34,511.17967325876833,1494.22,127.34,17,0
40,477,7460.66,573.896923076923,487.63,273.8067417718994,1343.75,115.93,13,0
46,714,9609.03,739.1561538461539,395.94,581.5067121931105,2154.4,32.02,13,0
53,1225,11705.7,1064.1545454545455,975.21,418.75565267500895,1761.24,425.33,11,0
55,328,7849.8099999999995,784.981,703.15,460.80940271680896,1408.76,83.56,10,0
57,556,4339.01,361.5841666666667,235.45499999999998,355.96939731740304,1251.25,98.79,12,0
58,1171,4933.9800000000005,616.7475000000001,642.7950000000001,366.59237661584996,1086.24,131.13,8,0
60,118,27318.8,1187.7739130434782,1391.5,447.7415606406235,1916.99,38.75,23,0
67,587,2771.42,346.4275,341.57000000000005,275.1598686867587,715.28,17.05,8,0
68,425,25547.06,729.916,707.73,168.12912884411892,1501.17,274.51,35,0
74,494,11355.82,1032.3472727272726,906.14,379.5825024178778,1663.28,442.02,11,0
76,120,7604.34,584.9492307692308,587.57,302.26167800603776,1341.98,48.89,13,0
84,412,5786.65,642.9611111111111,827.41,394.51935410206573,1143.34,65.12,9,0
90,756,6798.9800000000005,755.4422222222223,803.39,349.5308751304303,1218.59,67.09,9,0
93,396,7074.55,643.1409090909091,544.1,460.77411015495534,1524.39,34.58,11,0
107,804,5415.93,492.35727272727274,536.96,171.31528519609157,686.51,125.38,11,0
112,717,1195.17,1195.17,1195.17,0.0,1195.17,1195.17,1,1
117,1201,7537.86,628.155,619.66,187.19239201226293,874.87,362.74,12,0
123,381,9430.07,857.2790909090909,1061.04,447.9457361211188,1567.24,87.66,11,0
126,542,228.15,228.15,228.15,0.0,228.15,228.15,1,1
131,390,6069.53,674.3922222222222,569.71,643.2653410680887,2141.24,34.6,9,0
150,888,2104.25,2104.25,2104.25,0.0,2104.25,2104.25,1,1
156,425,646.75,646.75,646.75,0.0,646.75,646.75,1,1
159,750,6428.57,642.857,560.98,283.56298332508464,1089.34,295.77,10,0
160,643,15750.369999999999,926.4923529411764,955.27,258.73158604839426,1333.36,360.22,17,0
166,786,19066.14,1121.5376470588235,1305.11,256.3477106034255,1305.11,607.98,17,0
169,1162,2568.11,366.8728571428572,269.68,261.3951279011837,796.47,26.62,7,0
