src,dst,sum,mean,median,std,max,min,count,is_sar
40,2409,9089.34,1009.9266666666667,889.18,500.0178527312799,1776.86,228.54,9,0
46,2244,3861.25,551.6071428571429,306.62,420.09789528609815,1126.32,50.28,7,0
55,2420,22457.190000000002,701.7871875000001,683.85,117.23441428110893,1127.26,435.59,32,0
60,2178,8666.7,866.6700000000001,1004.62,367.35777214529645,1209.17,71.37,10,0
61,2607,5947.85,594.7850000000001,385.495,502.8580249213269,1518.52,170.45,10,0
65,2262,5714.32,714.29,787.9200000000001,310.79819814701074,1044.85,236.46,8,0
69,2495,3799.96,422.21777777777777,366.5,394.7407309481053,1046.19,39.19,9,0
70,2123,12496.74,694.2633333333333,636.5,201.00331217639763,1389.68,471.97,18,0
76,2525,598.72,598.72,598.72,0.0,598.72,598.72,1,1
79,2531,1892.04,1892.04,1892.04,0.0,1892.04,1892.04,1,1
94,2342,6385.69,798.21125,841.1099999999999,411.00780087965313,1259.89,39.12,8,0
108,376,615.93,615.93,615.93,0.0,615.93,615.93,1,1
108,1709,1345.18,1345.18,1345.18,0.0,1345.18,1345.18,1,1
108,2367,1211.97,1211.97,1211.97,0.0,1211.97,1211.97,1,1
112,2524,6342.73,704.7477777777777,756.28,369.4668224542556,1184.6,207.56,9,0
130,2531,623.24,623.24,623.24,0.0,623.24,623.24,1,1
133,1311,1985.0,1985.0,1985.0,0.0,1985.0,1985.0,1,1
139,2087,3292.05,658.4100000000001,722.62,263.8405919300516,882.55,256.35,5,0
152,2579,11154.74,348.585625,252.82,299.8815281013004,1545.95,91.54,32,0
161,1733,969.79,969.79,969.79,0.0,969.79,969.79,1,1
163,2532,7198.77,799.8633333333333,831.44,358.1977447234977,1285.83,124.32,9,0
169,2335,3664.2799999999997,523.4685714285714,515.48,276.97773757882726,1067.57,186.41,7,0
172,2311,4737.34,676.7628571428571,770.1,353.07819892644585,1107.96,130.8,7,0
172,2559,6532.82,725.8688888888888,777.52,409.16499411742336,1614.47,172.34,9,0
182,922,830.51,830.51,830.51,0.0,830.51,830.51,1,1
217,2745,7048.05,783.1166666666667,846.54,349.3874368806068,1233.38,131.7,9,0
220,2207,9263.01,661.6435714285715,584.18,294.90064899652464,1529.79,290.81,14,0
220,2242,8018.259999999999,1002.2824999999999,1229.62,437.1184636016059,1380.81,112.25,8,0
238,2287,9792.74,890.2490909090909,918.57,282.39421978696896,1293.13,329.5,11,0
238,2689,5031.34,718.7628571428571,798.27,204.5897811650007,1009.59,410.73,7,0
242,2472,6472.36,719.151111111111,547.66,602.6283699230489,2064.22,178.98,9,0
244,2194,2986.8999999999996,229.76153846153844,157.82,158.15100915718463,697.05,80.89,13,0
252,2366,7719.26,964.9075,1064.885,338.8571261397852,1289.65,529.7,8,0
261,2367,5138.65,642.33125,642.69,308.0874283352281,1145.99,276.08,8,0
266,2764,4010.74,501.3425,593.54,200.00603839098744,775.16,205.92,8,0
283,2279,6655.53,831.94125,888.375,386.6785473911114,1403.41,183.14,8,0
285,455,837.55,837.55,837.55,0.0,837.55,837.55,1,1
285,799,650.49,650.49,650.49,0.0,650.49,650.49,1,1
285,2415,750.42,750.42,750.42,0.0,750.42,750.42,1,1
292,2155,5219.29,401.4838461538462,179.86,330.30212307669825,1096.94,41.41,13,0
294,2541,5883.7,653.7444444444444,498.46,506.51157778255947,1603.78,200.4,9,0
297,2333,83.97,83.97,83.97,0.0,83.97,83.97,1,1
318,2642,9367.33,493.01736842105265,399.76,202.4115937841645,1031.16,339.6,19,0
319,2076,5989.4400000000005,998.2400000000001,1120.27,307.17756695435946,1272.04,541.45,6,0
321,1246,587.16,587.16,587.16,0.0,587.16,587.16,1,1
326,2213,4069.43,203.4715,67.16,301.7562288420903,1159.22,67.16,20,0
334,2354,6232.48,779.06,582.05,462.7725350845396,1526.89,246.65,8,0
342,1006,1036.06,1036.06,1036.06,0.0,1036.06,1036.06,1,1
362,2198,4912.75,545.8611111111111,462.59,441.1046906190311,1232.89,81.73,9,0
364,2325,8409.67,764.5154545454545,788.9,283.4863467387322,1310.6,165.43,11,0
375,2174,5496.78,687.0975,620.31,496.66195933451553,1498.88,110.34,8,0
377,2326,7556.54,944.5675,1017.84,191.57418106310675,1149.95,558.09,8,0
382,390,1104.3,1104.3,1104.3,0.0,1104.3,1104.3,1,1
383,2547,6679.84,834.98,820.18,466.9653126609849,1724.05,276.08,8,0
387,980,461.19,461.19,461.19,0.0,461.19,461.19,1,1
389,2081,10059.32,914.4836363636364,1029.53,302.9349613786011,1400.17,202.16,11,0
390,1309,778.01,778.01,778.01,0.0,778.01,778.01,1,1
390,2612,905.03,905.03,905.03,0.0,905.03,905.03,1,1
394,1724,651.66,651.66,651.66,0.0,651.66,651.66,1,1
395,2402,5680.62,405.75857142857143,536.3,221.58310723786414,651.93,17.11,14,0
398,2136,6716.47,839.55875,832.13,414.8622729959391,1644.79,301.31,8,0
407,2586,7260.2,806.6888888888889,795.35,392.60658309064445,1259.52,69.08,9,0
416,1444,528.68,528.68,528.68,0.0,528.68,528.68,1,1
419,2176,3851.23,427.9144444444444,456.66,288.49625543978516,1008.95,30.6,9,0
424,2114,4128.530000000001,516.0662500000001,612.3800000000001,283.37572201369994,836.82,93.9,8,0
433,1104,487.86,487.86,487.86,0.0,487.86,487.86,1,1
433,1852,2184.11,2184.11,2184.11,0.0,2184.11,2184.11,1,1
444,2200,5439.97,543.9970000000001,465.43,258.57043429208994,1246.67,364.67,10,0
445,2525,231.38,231.38,231.38,0.0,231.38,231.38,1,1
466,2615,3678.17,459.77125,386.985,279.8540645937501,977.81,226.95,8,0
470,2216,6940.84,216.90125,139.99,210.94973516487056,1006.79,139.99,32,0
474,2700,8142.27,814.2270000000001,606.1899999999999,457.24866091900395,1917.92,500.2,10,0
501,2605,4930.24,616.28,522.745,339.1540756057636,1350.99,308.84,8,0
503,2425,15416.33,963.520625,1108.61,212.9259245987909,1136.01,461.99,16,0
508,2424,5992.21,749.02625,434.505,579.6222339701093,1695.88,217.89,8,0
523,2277,5559.01,694.87625,684.825,330.12672622743355,1140.49,304.57,8,0
533,2456,13802.720000000001,985.9085714285715,1060.15,265.1304062548827,1310.87,397.88,14,0
542,2467,4922.32,703.1885714285714,537.38,359.38998791603217,1323.24,407.61,7,0
550,2567,10758.43,1075.843,918.57,482.49087224641994,2144.36,359.47,10,0
580,2465,4386.18,548.2725,496.59000000000003,377.0774421691878,1169.88,144.42,8,0
596,2135,8536.94,853.6940000000001,1011.32,222.21226184789072,1082.84,555.23,10,0
604,2352,5942.91,594.2909999999999,539.72,624.995085144231,1891.44,22.72,10,0
620,1733,1015.88,1015.88,1015.88,0.0,1015.88,1015.88,1,1
622,2270,3089.13,514.855,558.895,369.42909001593256,1045.39,21.55,6,0
642,2638,5211.82,744.5457142857142,782.47,319.80677227857154,1225.63,189.85,7,0
644,1639,821.78,821.78,821.78,0.0,821.78,821.78,1,1
658,1660,1727.83,1727.83,1727.83,0.0,1727.83,1727.83,1,1
658,1961,1327.02,1327.02,1327.02,0.0,1327.02,1327.02,1,1
658,2039,161.83,161.83,161.83,0.0,161.83,161.83,1,1
658,2107,207.46,207.46,207.46,0.0,207.46,207.46,1,1
672,2583,6701.4400000000005,670.144,627.115,509.0933914147995,1290.94,23.01,10,0
682,2358,6813.62,757.0688888888889,996.92,461.5876900017061,1155.31,97.67,9,0
693,2302,3432.73,429.09125,473.4,195.41175841485514,653.56,192.36,8,0
697,2228,4934.32,548.2577777777777,405.21,435.28945521278644,1520.8,5.99,9,0
723,2324,4882.67,813.7783333333333,817.87,436.5544413434213,1386.47,139.82,6,0
725,2646,5387.12,598.5688888888889,675.03,345.3219939941722,1079.54,28.88,9,0
729,2014,585.16,585.16,585.16,0.0,585.16,585.16,1,1
733,2209,4504.42,500.49111111111114,344.1,393.6970869032575,1407.55,59.68,9,0
734,2731,1531.98,382.995,263.185,362.53053466800094,886.93,118.68,4,0
737,2488,29488.12,1474.406,1685.75,436.8639348138647,1834.17,436.56,20,0
744,1104,815.55,815.55,815.55,0.0,815.55,815.55,1,1
744,1852,1091.57,1091.57,1091.57,0.0,1091.57,1091.57,1,1
780,2709,7496.34,576.6415384615385,690.03,228.75932479522933,890.61,136.44,13,0
783,2154,7532.1900000000005,941.5237500000001,952.645,261.90805452827476,1400.17,560.98,8,0
786,2717,4534.52,647.7885714285715,741.86,510.21952058006593,1551.93,18.36,7,0
792,2578,5514.5599999999995,689.3199999999999,742.8050000000001,247.91350202381935,1077.77,382.26,8,0
802,2639,14105.91,940.394,1083.66,321.44449333771894,1477.1,149.87,15,0
813,2752,5217.360000000001,579.7066666666667,694.32,296.3206713595931,833.82,102.44,9,0
814,2531,253.51,253.51,253.51,0.0,253.51,253.51,1,1
832,2627,10065.74,1006.574,1059.1950000000002,367.4657083986054,1618.63,351.73,10,0
841,1328,877.6,877.6,877.6,0.0,877.6,877.6,1,1
854,2748,8027.07,1003.38375,1150.835,557.3694096874686,1837.69,76.6,8,0
855,2659,22666.2,1192.957894736842,1330.18,263.2007050095874,1330.18,565.32,19,0
861,2317,15620.0,743.8095238095239,646.95,187.16735186661666,1152.57,487.53,21,0
868,1116,765.68,765.68,765.68,0.0,765.68,765.68,1,1
876,2316,3390.89,423.86125,281.73,323.1358542443321,939.43,74.4,8,0
884,2082,20985.55,1498.9678571428572,1992.04,708.6124201909681,1992.04,224.89,14,0
891,1733,1122.44,1122.44,1122.44,0.0,1122.44,1122.44,1,1
892,2536,6325.7,790.7125,916.0,281.0215131952915,1085.06,209.98,8,0
901,2220,4526.650000000001,646.6642857142858,555.47,341.0455977264205,1178.38,238.48,7,0
903,1146,617.2,617.2,617.2,0.0,617.2,617.2,1,1
903,1568,1427.23,1427.23,1427.23,0.0,1427.23,1427.23,1,1
903,2173,6187.47,773.43375,643.15,275.2854489402124,1217.65,584.73,8,0
910,2606,13360.32,1336.032,1420.04,402.40123298353177,1792.53,527.37,10,0
918,2410,7192.28,899.035,944.75,467.57185473770465,1439.01,159.34,8,0
931,2312,6707.32,958.1885714285714,691.55,574.8425671848069,2067.79,376.61,7,0
934,2145,4600.44,575.055,637.0,368.3649715780727,1209.23,20.67,8,0
936,2150,4746.09,593.26125,571.86,320.28475336967165,985.53,251.19,8,0
936,2618,26461.45,853.5951612903226,815.09,126.69983911778704,1343.08,800.49,31,0
937,1219,661.75,661.75,661.75,0.0,661.75,661.75,1,1
957,2074,3068.16,438.3085714285714,347.61,228.93886712603515,711.44,185.2,7,0
959,2758,6689.4400000000005,836.1800000000001,748.225,436.4248624252028,1649.22,259.52,8,0
962,1246,936.79,936.79,936.79,0.0,936.79,936.79,1,1
972,2502,6523.26,931.8942857142857,1020.88,348.2854862445052,1283.36,291.39,7,0
1028,2153,10187.7,848.975,878.07,300.9564003004724,1323.44,42.55,12,0
1031,2075,5630.42,938.4033333333333,1056.805,426.7190606788812,1333.0,278.88,6,0
1035,2675,7158.4400000000005,795.3822222222223,877.61,377.60811318673285,1183.47,233.84,9,0
1062,2141,6396.83,581.53,398.57,526.375738707627,1507.95,141.02,11,0
1078,2261,4099.05,409.90500000000003,176.81,412.6352321697431,1026.82,48.91,10,0
