sum,mean,median,std,max,min,in_degree,out_degree,n_unique_in,n_unique_out,is_sar
2782.45,556.49,492.47,361.55035278644107,1130.3,130.72,5,0,1,0,0
4273.71,854.742,682.01,559.8989732710714,1832.76,493.73,5,0,1,0,0
1917.8400000000001,383.56800000000004,316.63,243.89298579499984,640.21,127.9,5,0,1,0,0
9292.34,774.3616666666667,1030.82,678.8404049799432,1188.16,-1188.16,11,1,1,1,0
2921.2,365.15,193.61,283.92033072677276,885.33,176.33,8,0,1,0,0
22739.769999999997,273.97313253012044,265.59,156.5921391115499,1410.08,-533.73,82,1,1,1,1
3733.37,746.674,1093.2,813.125727473925,1598.79,-518.18,4,1,2,1,1
1138.65,379.55,321.38,178.2805146391495,579.65,237.62,3,0,2,0,0
992.37,992.37,992.37,0.0,992.37,992.37,1,0,1,0,0
1275.48,637.74,637.74,162.8184074360144,752.87,522.61,2,0,1,0,0
1806.43,602.1433333333333,514.69,404.30704499592053,1043.02,248.72,3,0,2,0,0
1159.6000000000001,386.53333333333336,124.19,469.28766128392226,928.33,107.08,3,0,3,0,1
-48.61000000000013,-12.152500000000032,-213.48499999999999,1259.8754360484743,1609.5,-1231.14,2,2,2,2,1
2588.9,647.225,742.58,231.91550192544986,797.35,306.39,4,0,2,0,0
267.76,267.76,267.76,0.0,267.76,267.76,1,0,1,0,0
4626.69,660.9557142857142,653.75,416.85153111778067,1250.31,131.46,7,0,6,0,1
2070.34,690.1133333333333,814.86,438.79708548864966,1053.03,202.45,3,0,2,0,0
1958.95,652.9833333333333,884.64,442.7736889578392,931.87,142.44,3,0,2,0,0
1286.71,428.90333333333336,756.22,775.0889602060741,986.64,-456.15,2,1,2,1,1
1768.88,353.776,488.52,817.4078182461923,1015.36,-989.59,4,1,3,1,1
634.0,317.0,317.0,404.8610586361696,603.28,30.72,2,0,2,0,0
988.56,329.52,585.7,775.4161104207212,944.43,-541.57,2,1,2,1,1
1822.21,607.4033333333333,699.18,410.1497995041974,963.89,159.14,3,0,2,0,0
2974.52,743.63,818.5350000000001,223.24944359766423,920.73,416.72,4,0,3,0,1
3276.5699999999997,546.0949999999999,710.1899999999999,588.7965521553264,1012.44,-553.69,5,1,3,1,1
1582.07,395.5175,791.035,1185.216369399135,1319.06,-1319.06,3,1,3,1,1
1457.33,728.665,728.665,870.7383614209264,1344.37,112.96,2,0,2,0,0
1680.17,840.085,840.085,214.17557295359333,991.53,688.64,2,0,2,0,0
1975.0800000000002,493.77000000000004,808.565,1253.9109466784314,1613.23,-1255.28,3,1,2,1,1
1253.87,626.935,626.935,536.828397209015,1006.53,247.34,2,0,1,0,0
3151.52,787.88,900.565,334.2022600162961,1045.23,305.16,4,0,2,0,0
403.24,403.24,403.24,0.0,403.24,403.24,1,0,1,0,0
472.35,472.35,472.35,0.0,472.35,472.35,1,0,1,0,0
3075.19,1025.0633333333333,769.88,488.5376477133909,1588.35,716.96,3,0,2,0,0
807.19,807.19,807.19,0.0,807.19,807.19,1,0,1,0,0
2347.98,782.66,806.06,137.8180409090189,907.28,634.64,3,0,2,0,0
1495.39,498.46333333333337,637.94,440.9901597919542,852.85,4.6,3,0,2,0,0
1479.17,493.0566666666667,399.55,262.79768384316736,789.82,289.8,3,0,2,0,0
1482.85,370.7125,136.39,486.8112425690954,1100.55,109.52,4,0,2,0,0
1416.03,708.015,708.015,270.15014575232044,899.04,516.99,2,0,2,0,0
-1812.2999999999997,-362.4599999999999,-551.55,1147.946221105327,1244.0,-1422.36,2,3,2,3,1
2576.46,515.292,619.2,829.6239189958303,1613.17,-688.01,4,1,3,1,1
2193.33,731.11,718.64,220.64943666368148,957.73,516.96,3,0,2,0,0
1890.6,630.1999999999999,777.3,565.3888308058447,1107.5,5.8,3,0,2,0,0
1716.47,858.235,858.235,227.38432762615804,1019.02,697.45,2,0,2,0,0
1829.4,914.7,914.7,90.89150565371891,978.97,850.43,2,0,2,0,0
3008.38,752.095,727.065,646.4013682174051,1434.74,119.51,4,0,2,0,0
3708.3500000000004,1236.1166666666668,1461.13,827.5600608012288,1927.9,319.32,3,0,2,0,0
-50.099999999999795,-7.157142857142828,648.39,977.5190141153996,844.46,-1479.25,4,3,2,3,1
1644.73,822.365,822.365,167.8742209214983,941.07,703.66,2,0,2,0,0
764.69,764.69,764.69,0.0,764.69,764.69,1,0,1,0,0
180.6,90.3,90.3,17.05541556221953,102.36,78.24,2,0,2,0,0
386.93999999999994,128.98,194.41,974.2242782337134,1068.84,-876.31,2,1,2,1,1
3525.62,881.405,888.3399999999999,320.3968465824843,1243.05,505.89,4,0,3,0,1
