account,num_incoming_txs_1_366,sum_incoming_txs_1_366,num_outgoing_txs_1_366,sum_outgoing_txs_1_366,num_txs_1_366,sum_txs_1_366,num_unique_counterparties_1_366,num_incoming_txs_1_183,sum_incoming_txs_1_183,num_outgoing_txs_1_183,sum_outgoing_txs_1_183,num_txs_1_183,sum_txs_1_183,num_unique_counterparties_1_183,num_incoming_txs_184_366,sum_incoming_txs_184_366,num_outgoing_txs_184_366,sum_outgoing_txs_184_366,num_txs_184_366,sum_txs_184_366,num_unique_counterparties_184_366,num_phone_changes,num_days_in_bank,is_sar
2768.0,13.0,1224.07,1.0,91.65,14.0,1315.72,2.0,2.0,193.91000000000003,0.0,0.0,2.0,193.91000000000003,2.0,11.0,1030.16,1.0,91.65,12.0,1121.81,2.0,0.0,366.0,0.0
2772.0,5.0,499.28,0.0,0.0,5.0,499.28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,499.28,0.0,0.0,5.0,499.28,1.0,0.0,362.0,0.0
2774.0,12.0,1116.77,1.0,98.17,13.0,1214.9399999999998,1.0,1.0,98.17,0.0,0.0,1.0,98.17,1.0,11.0,1018.6000000000001,1.0,98.17,12.0,1116.77,1.0,0.0,359.0,0.0
2775.0,38.0,3359.3699999999994,1.0,118.6,39.0,3477.97,1.0,13.0,1160.5600000000002,0.0,0.0,13.0,1160.5600000000002,1.0,25.0,2198.81,1.0,118.6,26.0,2317.41,1.0,0.0,364.0,0.0
2781.0,9.0,961.57,0.0,0.0,9.0,961.57,1.0,2.0,221.74,0.0,0.0,2.0,221.74,1.0,7.0,739.83,0.0,0.0,7.0,739.83,1.0,0.0,347.0,0.0
2782.0,5.0,488.81,0.0,0.0,5.0,488.81,1.0,1.0,87.0,0.0,0.0,1.0,87.0,1.0,4.0,401.81,0.0,0.0,4.0,401.81,1.0,0.0,349.0,0.0
2786.0,5.0,531.46,0.0,0.0,5.0,531.46,1.0,1.0,94.67,0.0,0.0,1.0,94.67,1.0,4.0,436.79,0.0,0.0,4.0,436.79,1.0,0.0,280.0,0.0
2792.0,19.0,1868.67,1.0,72.79,20.0,1941.4599999999998,3.0,5.0,477.25000000000006,0.0,0.0,5.0,477.25000000000006,3.0,14.0,1391.4199999999998,1.0,72.79,15.0,1464.2099999999998,3.0,0.0,366.0,0.0
2794.0,5.0,497.78000000000003,1.0,101.47,6.0,599.25,1.0,1.0,101.47,1.0,101.47,2.0,202.94,1.0,4.0,396.31,0.0,0.0,4.0,396.31,1.0,0.0,365.0,0.0
2796.0,5.0,509.98,0.0,0.0,5.0,509.98,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,509.98,0.0,0.0,5.0,509.98,1.0,0.0,362.0,0.0
2797.0,8.0,736.5799999999999,0.0,0.0,8.0,736.5799999999999,2.0,2.0,176.4,0.0,0.0,2.0,176.4,1.0,6.0,560.18,0.0,0.0,6.0,560.18,2.0,0.0,366.0,0.0
2801.0,34.0,3682.25,0.0,0.0,34.0,3682.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,3682.25,0.0,0.0,34.0,3682.25,1.0,0.0,365.0,0.0
2807.0,5.0,518.1,0.0,0.0,5.0,518.1,1.0,2.0,199.89,0.0,0.0,2.0,199.89,1.0,3.0,318.21,0.0,0.0,3.0,318.21,1.0,0.0,351.0,0.0
2808.0,5.0,482.35,0.0,0.0,5.0,482.35,1.0,2.0,184.89,0.0,0.0,2.0,184.89,1.0,3.0,297.46,0.0,0.0,3.0,297.46,1.0,0.0,304.0,0.0
2816.0,16.0,1569.3200000000002,0.0,0.0,16.0,1569.3200000000002,1.0,2.0,200.92000000000002,0.0,0.0,2.0,200.92000000000002,1.0,14.0,1368.4,0.0,0.0,14.0,1368.4,1.0,0.0,365.0,0.0
2821.0,8.0,727.61,0.0,0.0,8.0,727.61,1.0,3.0,275.51,0.0,0.0,3.0,275.51,1.0,5.0,452.1,0.0,0.0,5.0,452.1,1.0,0.0,355.0,0.0
2823.0,6.0,524.53,0.0,0.0,6.0,524.53,1.0,1.0,70.77,0.0,0.0,1.0,70.77,1.0,5.0,453.76,0.0,0.0,5.0,453.76,1.0,0.0,358.0,0.0
2824.0,26.0,2518.49,1.0,72.1,27.0,2590.5899999999997,1.0,11.0,1053.5,1.0,72.1,12.0,1125.6000000000001,1.0,15.0,1464.9900000000002,0.0,0.0,15.0,1464.9900000000002,1.0,0.0,364.0,0.0
2826.0,18.0,1665.8300000000002,1.0,93.15,19.0,1758.9800000000002,1.0,1.0,93.15,0.0,0.0,1.0,93.15,1.0,17.0,1572.68,1.0,93.15,18.0,1665.8300000000002,1.0,0.0,363.0,0.0
2831.0,165.0,15993.189999999999,1.0,104.55,166.0,16097.74,2.0,71.0,6879.849999999999,0.0,0.0,71.0,6879.849999999999,1.0,92.0,8919.760000000002,1.0,104.55,93.0,9024.310000000001,2.0,0.0,365.0,0.0
2832.0,5.0,526.76,1.0,101.44,6.0,628.1999999999999,1.0,2.0,204.37,0.0,0.0,2.0,204.37,1.0,3.0,322.39,1.0,101.44,4.0,423.83,1.0,0.0,323.0,0.0
2836.0,6.0,647.38,0.0,0.0,6.0,647.38,1.0,3.0,314.58000000000004,0.0,0.0,3.0,314.58000000000004,1.0,3.0,332.8,0.0,0.0,3.0,332.8,1.0,0.0,363.0,0.0
2840.0,11.0,1135.3400000000001,0.0,0.0,11.0,1135.3400000000001,1.0,3.0,305.37,0.0,0.0,3.0,305.37,1.0,8.0,829.97,0.0,0.0,8.0,829.97,1.0,0.0,359.0,0.0
2843.0,5.0,543.86,0.0,0.0,5.0,543.86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,543.86,0.0,0.0,5.0,543.86,1.0,0.0,358.0,0.0
2845.0,5.0,510.19,0.0,0.0,5.0,510.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,510.19,0.0,0.0,5.0,510.19,1.0,0.0,334.0,0.0
2846.0,9.0,1019.4100000000001,0.0,0.0,9.0,1019.4100000000001,1.0,3.0,364.08,0.0,0.0,3.0,364.08,1.0,6.0,655.3299999999999,0.0,0.0,6.0,655.3299999999999,1.0,0.0,352.0,0.0
2848.0,5.0,517.06,0.0,0.0,5.0,517.06,1.0,1.0,107.72,0.0,0.0,1.0,107.72,1.0,4.0,409.34,0.0,0.0,4.0,409.34,1.0,0.0,320.0,0.0
2849.0,5.0,459.17,0.0,0.0,5.0,459.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,459.17,0.0,0.0,5.0,459.17,1.0,0.0,347.0,0.0
2853.0,6.0,666.69,0.0,0.0,6.0,666.69,1.0,1.0,129.49,0.0,0.0,1.0,129.49,1.0,5.0,537.2,0.0,0.0,5.0,537.2,1.0,0.0,340.0,0.0
2858.0,5.0,479.33,1.0,92.89,6.0,572.2199999999999,1.0,2.0,187.07999999999998,0.0,0.0,2.0,187.07999999999998,1.0,3.0,292.25,1.0,92.89,4.0,385.14,1.0,0.0,344.0,0.0
2859.0,7.0,732.4900000000001,0.0,0.0,7.0,732.4900000000001,1.0,1.0,101.97,0.0,0.0,1.0,101.97,1.0,6.0,630.52,0.0,0.0,6.0,630.52,1.0,0.0,365.0,0.0
2867.0,5.0,489.89,0.0,0.0,5.0,489.89,1.0,1.0,99.88,0.0,0.0,1.0,99.88,1.0,4.0,390.01,0.0,0.0,4.0,390.01,1.0,0.0,360.0,0.0
2868.0,6.0,609.61,1.0,107.78,7.0,717.39,1.0,2.0,218.97,0.0,0.0,2.0,218.97,1.0,4.0,390.64,1.0,107.78,5.0,498.42,1.0,0.0,359.0,0.0
2872.0,5.0,499.53,0.0,0.0,5.0,499.53,1.0,1.0,101.55,0.0,0.0,1.0,101.55,1.0,4.0,397.98,0.0,0.0,4.0,397.98,1.0,0.0,357.0,0.0
2875.0,5.0,526.69,1.0,103.0,6.0,629.69,1.0,2.0,204.75,1.0,103.0,3.0,307.75,1.0,3.0,321.94,0.0,0.0,3.0,321.94,1.0,0.0,360.0,0.0
2882.0,0.0,0.0,1.0,92.09,1.0,92.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,92.09,1.0,92.09,1.0,0.0,234.0,0.0
2885.0,5.0,502.85,0.0,0.0,5.0,502.85,1.0,1.0,109.89,0.0,0.0,1.0,109.89,1.0,4.0,392.96000000000004,0.0,0.0,4.0,392.96000000000004,1.0,0.0,364.0,0.0
2894.0,5.0,507.45000000000005,0.0,0.0,5.0,507.45000000000005,1.0,1.0,100.23,0.0,0.0,1.0,100.23,1.0,4.0,407.22,0.0,0.0,4.0,407.22,1.0,0.0,357.0,0.0
2896.0,8.0,856.82,0.0,0.0,8.0,856.82,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,856.82,0.0,0.0,8.0,856.82,1.0,0.0,359.0,0.0
2897.0,5.0,520.45,1.0,102.69,6.0,623.1400000000001,1.0,1.0,102.69,1.0,102.69,2.0,205.38,1.0,4.0,417.76,0.0,0.0,4.0,417.76,1.0,0.0,356.0,0.0
2900.0,11.0,1170.71,1.0,94.35,12.0,1265.06,2.0,4.0,413.53999999999996,0.0,0.0,4.0,413.53999999999996,2.0,7.0,757.17,1.0,94.35,8.0,851.52,2.0,0.0,356.0,0.0
2909.0,12.0,1174.62,1.0,87.87,13.0,1262.4899999999998,2.0,1.0,87.87,1.0,87.87,2.0,175.74,1.0,11.0,1086.75,0.0,0.0,11.0,1086.75,2.0,0.0,365.0,0.0
2910.0,5.0,481.8,0.0,0.0,5.0,481.8,1.0,1.0,110.81,0.0,0.0,1.0,110.81,1.0,4.0,370.99,0.0,0.0,4.0,370.99,1.0,0.0,354.0,0.0
2911.0,6.0,596.02,1.0,110.54,7.0,706.56,1.0,3.0,305.26,0.0,0.0,3.0,305.26,1.0,3.0,290.76,1.0,110.54,4.0,401.3,1.0,0.0,350.0,0.0
2917.0,6.0,599.23,0.0,0.0,6.0,599.23,1.0,1.0,90.6,0.0,0.0,1.0,90.6,1.0,4.0,426.76,0.0,0.0,4.0,426.76,1.0,0.0,365.0,0.0
2921.0,4.0,380.04,0.0,0.0,4.0,380.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,380.04,0.0,0.0,4.0,380.04,1.0,0.0,366.0,0.0
2923.0,7.0,656.9,1.0,102.15,8.0,759.05,1.0,1.0,102.15,0.0,0.0,1.0,102.15,1.0,6.0,554.75,1.0,102.15,7.0,656.9000000000001,1.0,0.0,360.0,0.0
2924.0,5.0,463.74,0.0,0.0,5.0,463.74,1.0,1.0,77.89,0.0,0.0,1.0,77.89,1.0,4.0,385.85,0.0,0.0,4.0,385.85,1.0,0.0,360.0,0.0
2928.0,16.0,1513.46,1.0,102.73,17.0,1616.1900000000003,1.0,1.0,102.73,0.0,0.0,1.0,102.73,1.0,15.0,1410.7300000000005,1.0,102.73,16.0,1513.46,1.0,0.0,359.0,0.0
2933.0,13.0,1359.1699999999996,1.0,83.63,14.0,1442.7999999999997,2.0,5.0,510.35999999999996,0.0,0.0,5.0,510.35999999999996,2.0,8.0,848.8100000000001,1.0,83.63,9.0,932.44,2.0,0.0,353.0,0.0
2936.0,14.0,1480.6299999999999,1.0,117.63,15.0,1598.2599999999998,1.0,3.0,313.88,0.0,0.0,3.0,313.88,1.0,11.0,1166.75,1.0,117.63,12.0,1284.38,1.0,0.0,362.0,0.0
2939.0,5.0,512.52,0.0,0.0,5.0,512.52,1.0,1.0,99.7,0.0,0.0,1.0,99.7,1.0,4.0,412.82,0.0,0.0,4.0,412.82,1.0,0.0,324.0,0.0
