account,num_incoming_txs_1_366,sum_incoming_txs_1_366,num_outgoing_txs_1_366,sum_outgoing_txs_1_366,num_txs_1_366,sum_txs_1_366,num_unique_counterparties_1_366,num_incoming_txs_1_183,sum_incoming_txs_1_183,num_outgoing_txs_1_183,sum_outgoing_txs_1_183,num_txs_1_183,sum_txs_1_183,num_unique_counterparties_1_183,num_incoming_txs_184_366,sum_incoming_txs_184_366,num_outgoing_txs_184_366,sum_outgoing_txs_184_366,num_txs_184_366,sum_txs_184_366,num_unique_counterparties_184_366,num_phone_changes,num_days_in_bank,is_sar
7244.0,1.0,102.45,6.0,588.1,7.0,690.5500000000002,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,102.45,6.0,588.1,7.0,690.5500000000002,2.0,0.0,106.0,0.0
8976.0,0.0,0.0,2.0,175.05,2.0,175.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,175.05,2.0,175.05,1.0,0.0,39.0,0.0
9724.0,8.0,734.56,26.0,2368.64,34.0,3103.2000000000003,3.0,0.0,0.0,11.0,1002.3100000000001,11.0,1002.3100000000001,1.0,8.0,734.56,14.0,1277.1200000000001,22.0,2011.6800000000003,3.0,0.0,366.0,0.0
9725.0,1.0,93.64,5.0,462.21,6.0,555.85,2.0,0.0,0.0,1.0,87.79,1.0,87.79,1.0,1.0,93.64,4.0,374.42,5.0,468.06,2.0,0.0,366.0,0.0
9726.0,0.0,0.0,5.0,513.47,5.0,513.47,1.0,0.0,0.0,1.0,105.88,1.0,105.88,1.0,0.0,0.0,4.0,407.59,4.0,407.59,1.0,0.0,360.0,0.0
9727.0,2.0,193.98000000000002,5.0,498.08000000000004,7.0,692.0600000000001,2.0,1.0,85.84,1.0,108.14,2.0,193.98000000000002,2.0,1.0,108.14,4.0,389.94,5.0,498.08000000000004,1.0,0.0,360.0,0.0
9728.0,1.0,102.02,5.0,485.75,6.0,587.77,2.0,0.0,0.0,1.0,100.65,1.0,100.65,1.0,1.0,102.02,4.0,385.1,5.0,487.12,2.0,0.0,357.0,0.0
9729.0,1.0,103.99,6.0,685.49,7.0,789.48,2.0,0.0,0.0,2.0,222.3,2.0,222.3,1.0,1.0,103.99,4.0,463.18999999999994,5.0,567.18,2.0,0.0,350.0,0.0
9730.0,2.0,194.52,5.0,516.31,7.0,710.83,2.0,0.0,0.0,1.0,101.23,1.0,101.23,1.0,2.0,194.52,4.0,415.08000000000004,6.0,609.6,2.0,0.0,364.0,0.0
9731.0,1.0,99.88,5.0,493.15,6.0,593.03,2.0,0.0,0.0,2.0,194.44,2.0,194.44,1.0,1.0,99.88,3.0,298.71,4.0,398.59,2.0,0.0,364.0,0.0
9732.0,1.0,97.04,6.0,596.32,7.0,693.36,2.0,1.0,97.04,0.0,0.0,1.0,97.04,1.0,0.0,0.0,6.0,596.32,6.0,596.32,1.0,0.0,349.0,0.0
9733.0,2.0,180.76999999999998,8.0,826.6,10.0,1007.37,2.0,0.0,0.0,3.0,299.33000000000004,3.0,299.33000000000004,1.0,2.0,180.76999999999998,5.0,527.27,7.0,708.04,2.0,0.0,366.0,0.0
9734.0,1.0,76.77,5.0,470.56,6.0,547.3299999999999,2.0,1.0,76.77,2.0,193.85,3.0,270.62,2.0,0.0,0.0,3.0,276.71,3.0,276.71,1.0,0.0,343.0,0.0
9735.0,1.0,98.35,5.0,489.40999999999997,6.0,587.76,2.0,1.0,98.35,0.0,0.0,1.0,98.35,1.0,0.0,0.0,5.0,489.40999999999997,5.0,489.40999999999997,1.0,0.0,354.0,0.0
9736.0,1.0,100.75,5.0,526.34,6.0,627.0899999999999,2.0,1.0,100.75,2.0,200.53,3.0,301.28,2.0,0.0,0.0,3.0,325.81,3.0,325.81,1.0,0.0,307.0,0.0
9737.0,2.0,196.20999999999998,5.0,592.9300000000001,7.0,789.1400000000001,2.0,0.0,0.0,2.0,204.64,2.0,204.64,1.0,2.0,196.20999999999998,3.0,388.29,5.0,584.5,2.0,0.0,366.0,0.0
9738.0,8.0,806.99,5.0,574.4,13.0,1381.3899999999999,2.0,1.0,101.76,2.0,243.44,3.0,345.20000000000005,2.0,7.0,705.2299999999999,3.0,330.96000000000004,10.0,1036.19,2.0,0.0,350.0,0.0
9739.0,1.0,103.71,24.0,2371.92,25.0,2475.63,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,103.71,24.0,2371.92,25.0,2475.63,2.0,0.0,366.0,0.0
9740.0,1.0,98.5,5.0,508.2,6.0,606.7,2.0,1.0,98.5,1.0,113.46,2.0,211.95999999999998,2.0,0.0,0.0,4.0,394.74,4.0,394.74,1.0,0.0,362.0,0.0
