account,num_incoming_txs_1_366,sum_incoming_txs_1_366,num_outgoing_txs_1_366,sum_outgoing_txs_1_366,num_txs_1_366,sum_txs_1_366,num_unique_counterparties_1_366,num_incoming_txs_1_183,sum_incoming_txs_1_183,num_outgoing_txs_1_183,sum_outgoing_txs_1_183,num_txs_1_183,sum_txs_1_183,num_unique_counterparties_1_183,num_incoming_txs_184_366,sum_incoming_txs_184_366,num_outgoing_txs_184_366,sum_outgoing_txs_184_366,num_txs_184_366,sum_txs_184_366,num_unique_counterparties_184_366,num_phone_changes,num_days_in_bank,is_sar
3297.0,5.0,479.34,0.0,0.0,5.0,479.34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,479.34,0.0,0.0,5.0,479.34,1.0,0.0,355.0,0.0
3794.0,0.0,0.0,2.0,209.7,2.0,209.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,209.7,2.0,209.7,1.0,0.0,53.0,0.0
8419.0,2.0,19994.35,9.0,30556.4,11.0,50550.75,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19994.35,9.0,30556.4,11.0,50550.75,6.0,1.0,135.0,1.0
8490.0,1.0,77.73,4.0,409.74,5.0,487.47,1.0,0.0,0.0,1.0,77.73,1.0,77.73,1.0,1.0,77.73,3.0,332.01,4.0,409.74,1.0,0.0,343.0,0.0
8491.0,1.0,104.41,6.0,579.23,7.0,683.64,2.0,0.0,0.0,1.0,91.96,1.0,91.96,1.0,1.0,104.41,5.0,487.2699999999999,6.0,591.68,2.0,0.0,366.0,0.0
8492.0,1.0,72.19,5.0,447.8,6.0,519.99,2.0,0.0,0.0,1.0,85.1,1.0,85.1,1.0,1.0,72.19,4.0,362.7,5.0,434.89000000000004,2.0,0.0,355.0,0.0
8493.0,1.0,87.32,5.0,503.96,6.0,591.28,2.0,0.0,0.0,2.0,205.48000000000002,2.0,205.48000000000002,1.0,1.0,87.32,3.0,298.48,4.0,385.8,2.0,0.0,334.0,0.0
8494.0,1.0,101.11,6.0,548.99,7.0,650.0999999999999,2.0,0.0,0.0,1.0,89.68,1.0,89.68,1.0,1.0,101.11,5.0,459.31,6.0,560.4200000000001,2.0,0.0,345.0,0.0
8495.0,2.0,201.91000000000003,6.0,652.1800000000001,8.0,854.09,2.0,0.0,0.0,1.0,90.51,1.0,90.51,1.0,2.0,201.91000000000003,5.0,561.67,7.0,763.5800000000002,2.0,0.0,366.0,0.0
8496.0,1.0,124.11,5.0,489.71,6.0,613.8199999999999,2.0,0.0,0.0,2.0,182.01,2.0,182.01,1.0,1.0,124.11,3.0,307.7,4.0,431.81,2.0,0.0,326.0,0.0
8497.0,6.0,630.3399999999999,5.0,491.0899999999999,11.0,1121.43,3.0,2.0,210.76999999999998,1.0,89.74,3.0,300.51,3.0,4.0,419.57,4.0,401.35,8.0,820.9200000000001,2.0,0.0,360.0,0.0
8498.0,1.0,106.92,4.0,416.25,5.0,523.17,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,106.92,4.0,416.25,5.0,523.17,2.0,0.0,362.0,0.0
8499.0,1.0,102.4,6.0,558.8000000000001,7.0,661.2,2.0,1.0,102.4,3.0,275.03000000000003,4.0,377.43,2.0,0.0,0.0,3.0,283.77,3.0,283.77,1.0,0.0,364.0,0.0
8500.0,1.0,106.34,5.0,508.25,6.0,614.59,2.0,1.0,106.34,1.0,106.34,2.0,212.68,2.0,0.0,0.0,4.0,401.90999999999997,4.0,401.90999999999997,1.0,0.0,338.0,0.0
8501.0,1.0,103.81,6.0,588.1999999999999,7.0,692.01,2.0,0.0,0.0,1.0,95.91,1.0,95.91,1.0,1.0,103.81,5.0,492.28999999999996,6.0,596.1,2.0,0.0,363.0,0.0
8502.0,1.0,90.61,14.0,1367.74,15.0,1458.3499999999997,2.0,0.0,0.0,4.0,396.52,4.0,396.52,1.0,1.0,90.61,10.0,971.22,11.0,1061.83,2.0,0.0,362.0,0.0
8503.0,2.0,184.82,5.0,531.25,7.0,716.0699999999999,2.0,1.0,97.79,2.0,221.08,3.0,318.87,1.0,1.0,87.03,3.0,310.16999999999996,4.0,397.19999999999993,2.0,0.0,348.0,0.0
8504.0,0.0,0.0,4.0,359.64,4.0,359.64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,359.64,4.0,359.64,1.0,0.0,351.0,0.0
8505.0,2.0,190.43,5.0,519.33,7.0,709.76,2.0,1.0,101.11,2.0,190.43,3.0,291.54,2.0,1.0,89.32,3.0,328.9,4.0,418.22,1.0,0.0,360.0,0.0
8506.0,1.0,99.42,6.0,630.2299999999999,7.0,729.65,2.0,1.0,99.42,3.0,315.99,4.0,415.41,2.0,0.0,0.0,3.0,314.24,3.0,314.24,1.0,0.0,297.0,0.0
8507.0,2.0,206.66,5.0,498.25,7.0,704.9100000000001,2.0,0.0,0.0,1.0,93.38,1.0,93.38,1.0,2.0,206.66,4.0,404.87,6.0,611.5300000000001,2.0,0.0,359.0,0.0
8508.0,1.0,101.41,5.0,535.55,6.0,636.9599999999999,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,101.41,5.0,535.55,6.0,636.9599999999999,2.0,0.0,362.0,0.0
8509.0,1.0,97.02,5.0,508.73999999999995,6.0,605.76,2.0,1.0,97.02,1.0,94.71,2.0,191.73,2.0,0.0,0.0,4.0,414.03,4.0,414.03,1.0,0.0,305.0,0.0
8510.0,2.0,194.76999999999998,5.0,473.22,7.0,667.99,2.0,1.0,77.07,4.0,379.82,5.0,456.89,2.0,1.0,117.7,1.0,93.4,2.0,211.10000000000002,1.0,0.0,333.0,0.0
8511.0,1.0,110.27,5.0,539.97,6.0,650.2399999999999,2.0,0.0,0.0,1.0,114.43,1.0,114.43,1.0,1.0,110.27,4.0,425.54,5.0,535.81,2.0,0.0,363.0,0.0
8512.0,0.0,0.0,4.0,404.90999999999997,4.0,404.90999999999997,1.0,0.0,0.0,1.0,104.59,1.0,104.59,1.0,0.0,0.0,3.0,300.32000000000005,3.0,300.32000000000005,1.0,0.0,263.0,0.0
8513.0,0.0,0.0,4.0,383.95,4.0,383.95,1.0,0.0,0.0,2.0,203.05,2.0,203.05,1.0,0.0,0.0,2.0,180.9,2.0,180.9,1.0,0.0,314.0,0.0
8514.0,1.0,96.27,8.0,818.8199999999999,9.0,915.09,2.0,1.0,96.27,1.0,98.6,2.0,194.87,2.0,0.0,0.0,7.0,720.22,7.0,720.22,1.0,0.0,364.0,0.0
8515.0,1.0,109.26,6.0,645.04,7.0,754.3,2.0,1.0,109.26,1.0,107.52,2.0,216.78,2.0,0.0,0.0,5.0,537.52,5.0,537.52,1.0,0.0,319.0,0.0
8516.0,1.0,117.1,5.0,519.39,6.0,636.49,2.0,1.0,117.1,1.0,98.77,2.0,215.87,2.0,0.0,0.0,4.0,420.62,4.0,420.62,1.0,0.0,334.0,0.0
8517.0,0.0,0.0,6.0,547.9000000000001,6.0,547.9000000000001,1.0,0.0,0.0,1.0,99.02,1.0,99.02,1.0,0.0,0.0,5.0,448.88,5.0,448.88,1.0,0.0,366.0,0.0
8518.0,2.0,208.91,4.0,398.65999999999997,6.0,607.5699999999999,2.0,0.0,0.0,1.0,99.89,1.0,99.89,1.0,2.0,208.91,3.0,298.77,5.0,507.67999999999995,2.0,0.0,363.0,0.0
