account,num_incoming_txs_1_366,sum_incoming_txs_1_366,num_outgoing_txs_1_366,sum_outgoing_txs_1_366,num_txs_1_366,sum_txs_1_366,num_unique_counterparties_1_366,num_incoming_txs_1_183,sum_incoming_txs_1_183,num_outgoing_txs_1_183,sum_outgoing_txs_1_183,num_txs_1_183,sum_txs_1_183,num_unique_counterparties_1_183,num_incoming_txs_184_366,sum_incoming_txs_184_366,num_outgoing_txs_184_366,sum_outgoing_txs_184_366,num_txs_184_366,sum_txs_184_366,num_unique_counterparties_184_366,num_phone_changes,num_days_in_bank,is_sar
0.0,71.0,7242.400000000001,56.0,5497.530000000001,127.0,12739.93,60.0,18.0,1771.8400000000001,18.0,1766.68,36.0,3538.52,23.0,52.0,5376.45,38.0,3730.8499999999995,90.0,9107.3,42.0,0.0,366.0,0.0
1.0,53.0,5235.469999999999,42.0,4207.55,95.0,9443.02,46.0,15.0,1455.24,14.0,1417.6499999999999,29.0,2872.8900000000003,21.0,38.0,3780.23,28.0,2789.9,66.0,6570.129999999999,32.0,0.0,366.0,0.0
2.0,131.0,12769.33,48.0,4815.84,179.0,17585.17,62.0,46.0,4422.35,15.0,1548.8899999999999,61.0,5971.24,24.0,84.0,8225.6,32.0,3167.59,116.0,11393.19,46.0,0.0,366.0,0.0
3.0,38.0,3983.6300000000006,54.0,5363.8,92.0,9347.430000000004,58.0,8.0,863.23,10.0,990.8599999999999,18.0,1854.09,14.0,29.0,3025.5600000000004,43.0,4291.97,72.0,7317.53,48.0,0.0,363.0,0.0
4.0,56.0,5681.49,46.0,4587.759999999999,102.0,10269.25,54.0,12.0,1228.8700000000001,13.0,1273.63,25.0,2502.5000000000005,18.0,44.0,4452.620000000001,32.0,3221.01,76.0,7673.630000000002,41.0,0.0,365.0,0.0
5.0,214.0,18259.17,41.0,4029.2200000000003,255.0,22288.389999999996,46.0,92.0,7645.029999999997,7.0,687.3399999999999,99.0,8332.369999999997,12.0,121.0,10532.819999999996,33.0,3248.73,154.0,13781.55,39.0,0.0,365.0,0.0
6.0,61.0,6302.77,48.0,4718.44,109.0,11021.21,54.0,19.0,1942.3799999999999,10.0,997.1399999999999,29.0,2939.52,19.0,42.0,4360.389999999999,38.0,3721.3,80.0,8081.6900000000005,45.0,0.0,366.0,0.0
7.0,29.0,2957.2499999999995,52.0,5123.010000000001,81.0,8080.259999999999,56.0,5.0,507.68,9.0,920.3599999999999,14.0,1428.04,13.0,24.0,2449.5699999999997,42.0,4111.96,66.0,6561.530000000001,46.0,0.0,364.0,0.0
8.0,174.0,16391.34,47.0,4633.299999999999,221.0,21024.64,54.0,48.0,4492.290000000001,13.0,1323.8600000000001,61.0,5816.15,21.0,125.0,11806.76,34.0,3309.4399999999996,159.0,15116.199999999999,41.0,0.0,366.0,0.0
9.0,47.0,4589.84,51.0,5135.599999999999,98.0,9725.440000000002,55.0,13.0,1276.07,8.0,783.02,21.0,2059.09,13.0,34.0,3313.7700000000004,43.0,4352.580000000001,77.0,7666.349999999999,47.0,0.0,365.0,0.0
10.0,75.0,7708.68,38.0,3784.51,113.0,11493.189999999999,48.0,18.0,1870.64,10.0,991.64,28.0,2862.2799999999993,20.0,57.0,5838.039999999999,28.0,2792.8700000000003,85.0,8630.909999999998,38.0,0.0,366.0,0.0
11.0,39.0,3920.91,40.0,3895.45,79.0,7816.359999999999,43.0,11.0,1136.0300000000002,8.0,775.59,19.0,1911.6200000000001,12.0,28.0,2784.88,32.0,3119.8599999999997,60.0,5904.74,37.0,0.0,364.0,0.0
12.0,27.0,2629.97,40.0,4051.2200000000003,67.0,6681.1900000000005,44.0,6.0,597.9,7.0,674.29,13.0,1272.1899999999998,10.0,21.0,2032.0699999999997,33.0,3376.9300000000003,54.0,5409.000000000001,38.0,0.0,365.0,0.0
13.0,59.0,5908.790000000001,47.0,4754.0599999999995,106.0,10662.849999999999,54.0,17.0,1714.45,10.0,995.66,27.0,2710.1100000000006,18.0,42.0,4194.34,37.0,3758.4000000000005,79.0,7952.740000000002,44.0,0.0,366.0,0.0
14.0,25.0,2624.9,36.0,3565.8100000000004,61.0,6190.71,39.0,3.0,288.24,9.0,910.4599999999999,12.0,1198.7,11.0,22.0,2336.6600000000003,27.0,2655.3500000000004,49.0,4992.009999999999,30.0,0.0,366.0,0.0
15.0,127.0,12037.479999999996,37.0,3653.55,164.0,15691.029999999999,45.0,42.0,3985.66,11.0,1063.8000000000002,53.0,5049.459999999999,20.0,85.0,8051.82,26.0,2589.7500000000005,111.0,10641.57,35.0,0.0,362.0,0.0
16.0,37.0,3794.18,29.0,2900.5100000000007,66.0,6694.6900000000005,34.0,9.0,891.28,8.0,782.12,17.0,1673.3999999999999,14.0,28.0,2902.9,20.0,2016.59,48.0,4919.49,25.0,0.0,365.0,0.0
17.0,41.0,4077.02,43.0,4352.95,84.0,8429.969999999998,49.0,10.0,1014.4200000000001,15.0,1553.17,25.0,2567.59,22.0,31.0,3062.5999999999995,28.0,2799.78,59.0,5862.380000000001,34.0,0.0,366.0,0.0
18.0,30.0,2919.6800000000003,39.0,3769.3600000000006,69.0,6689.04,44.0,7.0,673.02,8.0,781.29,15.0,1454.31,13.0,23.0,2246.6599999999994,30.0,2893.28,53.0,5139.94,36.0,0.0,362.0,0.0
19.0,75.0,6881.809999999999,43.0,4245.57,118.0,11127.379999999997,49.0,4.0,433.73,12.0,1212.0800000000002,16.0,1645.81,13.0,71.0,6448.079999999999,30.0,2931.9399999999996,101.0,9380.02,38.0,0.0,366.0,0.0
20.0,107.0,11220.48,39.0,3826.1800000000007,146.0,15046.66,46.0,16.0,1553.4099999999999,7.0,710.66,23.0,2264.07,13.0,90.0,9559.710000000001,31.0,3017.1900000000005,121.0,12576.9,39.0,0.0,365.0,0.0
21.0,51.0,5206.0,39.0,3926.5399999999995,90.0,9132.539999999999,42.0,13.0,1328.26,11.0,1156.91,24.0,2485.17,17.0,38.0,3877.7400000000002,28.0,2769.6299999999997,66.0,6647.370000000001,31.0,0.0,366.0,0.0
22.0,94.0,9296.199999999999,45.0,4467.0199999999995,139.0,13763.22,56.0,13.0,1280.2299999999998,11.0,1030.3500000000001,24.0,2310.58,20.0,81.0,8015.97,31.0,3103.6700000000005,112.0,11119.640000000001,42.0,0.0,366.0,0.0
23.0,104.0,10976.359999999999,39.0,3921.8500000000004,143.0,14898.21,46.0,30.0,3211.1400000000003,9.0,880.8799999999999,39.0,4092.0200000000004,18.0,73.0,7655.63,30.0,3040.9700000000003,103.0,10696.6,37.0,0.0,366.0,0.0
24.0,21.0,2271.51,36.0,3617.0400000000004,57.0,5888.55,39.0,6.0,655.8199999999999,7.0,694.15,13.0,1349.9699999999998,9.0,15.0,1615.6899999999998,28.0,2829.5000000000005,43.0,4445.1900000000005,30.0,0.0,363.0,0.0
25.0,24.0,2400.0299999999997,33.0,3336.15,57.0,5736.18,36.0,7.0,693.86,9.0,936.97,16.0,1630.8300000000002,12.0,17.0,1706.1699999999998,24.0,2399.1800000000003,41.0,4105.35,28.0,0.0,366.0,0.0
26.0,73.0,7262.76,31.0,3051.6400000000003,104.0,10314.4,39.0,17.0,1695.9399999999998,7.0,709.02,24.0,2404.96,13.0,56.0,5566.820000000001,24.0,2342.62,80.0,7909.4400000000005,32.0,0.0,366.0,0.0
27.0,25.0,2602.54,39.0,3917.0900000000006,64.0,6519.629999999999,41.0,6.0,614.3,10.0,987.0899999999999,16.0,1601.3899999999999,12.0,19.0,1988.24,27.0,2719.6200000000003,46.0,4707.86,30.0,0.0,364.0,0.0
28.0,52.0,5376.420000000001,35.0,3437.96,87.0,8814.380000000001,40.0,8.0,837.23,11.0,1106.69,19.0,1943.92,17.0,44.0,4539.19,24.0,2331.27,68.0,6870.46,30.0,0.0,365.0,0.0
29.0,57.0,5777.349999999999,40.0,4042.7000000000003,97.0,9820.05,44.0,5.0,535.54,11.0,1174.1599999999999,16.0,1709.7,14.0,51.0,5142.140000000001,29.0,2868.54,80.0,8010.68,36.0,0.0,365.0,0.0
30.0,77.0,7604.049999999998,36.0,3538.35,113.0,11142.400000000001,43.0,6.0,654.44,7.0,654.76,13.0,1309.2,12.0,71.0,6949.609999999998,29.0,2883.59,100.0,9833.2,36.0,0.0,365.0,0.0
31.0,39.0,3817.7599999999998,38.0,3745.1800000000003,77.0,7562.9400000000005,43.0,13.0,1243.73,11.0,1094.13,24.0,2337.8599999999997,16.0,25.0,2478.2699999999995,27.0,2651.0499999999997,52.0,5129.320000000001,32.0,0.0,366.0,0.0
32.0,31.0,3326.9400000000005,38.0,3836.6700000000005,69.0,7163.609999999998,42.0,5.0,511.14,9.0,910.5100000000001,14.0,1421.6499999999999,11.0,26.0,2815.8,29.0,2926.16,55.0,5741.959999999997,35.0,0.0,364.0,0.0
33.0,21.0,2205.0299999999997,34.0,3388.8300000000004,55.0,5593.8600000000015,40.0,3.0,344.0,10.0,1022.6099999999999,13.0,1366.61,12.0,17.0,1765.32,24.0,2366.22,41.0,4131.54,30.0,0.0,366.0,0.0
34.0,26.0,2561.5099999999998,44.0,4367.92,70.0,6929.429999999999,46.0,4.0,405.4,6.0,613.1199999999999,10.0,1018.5200000000001,9.0,22.0,2156.11,38.0,3754.7999999999997,60.0,5910.91,40.0,0.0,366.0,0.0
35.0,88.0,8759.49,35.0,3405.0,123.0,12164.49,45.0,15.0,1505.9800000000002,9.0,849.98,24.0,2355.96,15.0,72.0,7150.789999999999,26.0,2555.0200000000004,98.0,9705.81,35.0,0.0,365.0,0.0
36.0,15.0,1495.9,37.0,3615.4300000000003,52.0,5111.329999999999,40.0,1.0,101.23,16.0,1525.3400000000001,17.0,1626.5700000000002,17.0,14.0,1394.67,21.0,2090.09,35.0,3484.7599999999993,24.0,0.0,364.0,0.0
37.0,44.0,4443.37,36.0,3411.9699999999993,80.0,7855.34,41.0,10.0,1024.7,9.0,881.34,19.0,1906.0399999999997,13.0,34.0,3418.6699999999996,27.0,2530.63,61.0,5949.3,32.0,0.0,365.0,0.0
38.0,53.0,5582.980000000001,34.0,3331.2000000000003,87.0,8914.179999999998,41.0,8.0,850.0600000000001,10.0,997.56,18.0,1847.62,15.0,45.0,4732.920000000001,24.0,2333.64,69.0,7066.560000000001,33.0,0.0,366.0,0.0
39.0,23.0,2216.7300000000005,33.0,3275.04,56.0,5491.7699999999995,38.0,5.0,501.5400000000001,9.0,919.6999999999999,14.0,1421.2399999999998,11.0,18.0,1715.1899999999998,24.0,2355.34,42.0,4070.53,28.0,0.0,365.0,0.0
40.0,67.0,6810.000000000001,33.0,3308.75,100.0,10118.75,41.0,11.0,1127.66,8.0,836.9399999999999,19.0,1964.6,16.0,56.0,5682.34,24.0,2362.5699999999997,80.0,8044.91,32.0,0.0,366.0,0.0
41.0,27.0,2588.5799999999995,26.0,2599.15,53.0,5187.73,30.0,7.0,645.8699999999999,5.0,492.70000000000005,12.0,1138.57,7.0,20.0,1942.7099999999998,21.0,2106.45,41.0,4049.16,26.0,0.0,366.0,0.0
42.0,64.0,6534.28,20.0,1961.2800000000002,84.0,8495.560000000001,28.0,11.0,1101.3600000000001,6.0,612.6,17.0,1713.96,11.0,53.0,5432.919999999999,14.0,1348.6799999999998,67.0,6781.6,23.0,0.0,364.0,0.0
43.0,66.0,6789.53,15.0,1490.85,81.0,8280.380000000001,25.0,18.0,1855.74,4.0,405.97999999999996,22.0,2261.72,12.0,48.0,4933.79,11.0,1084.87,59.0,6018.660000000001,20.0,0.0,364.0,0.0
44.0,57.0,5624.04,38.0,3758.37,95.0,9382.409999999998,49.0,11.0,1125.16,10.0,942.67,21.0,2067.83,16.0,46.0,4498.88,27.0,2718.6299999999997,73.0,7217.510000000001,38.0,0.0,364.0,0.0
45.0,45.0,4454.57,24.0,2359.67,69.0,6814.240000000001,29.0,3.0,294.66999999999996,3.0,285.89,6.0,580.56,6.0,42.0,4159.9,21.0,2073.7799999999997,63.0,6233.68,27.0,0.0,365.0,0.0
46.0,36.0,3792.1600000000003,33.0,3379.5099999999998,69.0,7171.670000000001,38.0,6.0,609.52,8.0,778.6700000000001,14.0,1388.19,12.0,30.0,3182.6400000000012,25.0,2600.8399999999997,55.0,5783.480000000001,30.0,0.0,366.0,0.0
