account,num_outgoing_txs_1,num_outgoing_txs_2,num_outgoing_txs_3,sum_outgoing_txs_1,sum_outgoing_txs_2,sum_outgoing_txs_3,freq_outgoing_txs_1,freq_outgoing_txs_2,freq_outgoing_txs_3,num_txs_1,num_txs_2,num_txs_3,sum_txs_1,sum_txs_2,sum_txs_3,freq_txs_1,freq_txs_2,freq_txs_3,num_unique_counterparties_1,num_unique_counterparties_2,num_unique_counterparties_3,freq_unique_counterparties_1,freq_unique_counterparties_2,freq_unique_counterparties_3,num_phone_changes_1,num_phone_changes_2,num_phone_changes_3,freq_phone_changes_1,freq_phone_changes_2,freq_phone_changes_3,num_bank_changes_1,num_bank_changes_2,num_bank_changes_3,freq_bank_changes_1,freq_bank_changes_2,freq_bank_changes_3,is_sar
27,5,5,5,3044.31,3044.31,3044.31,0.01366120218579235,0.0273224043715847,0.040983606557377046,5,5,5,3044.31,3044.31,3044.31,0.01366120218579235,0.0273224043715847,0.040983606557377046,4,4,4,0.01092896174863388,0.02185792349726776,0.03278688524590164,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
130,3,3,3,1622.94,1622.94,1622.94,0.00819672131147541,0.01639344262295082,0.02459016393442623,3,3,3,1622.94,1622.94,1622.94,0.00819672131147541,0.01639344262295082,0.02459016393442623,3,3,3,0.00819672131147541,0.01639344262295082,0.02459016393442623,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
245,20,20,20,11724.280000000002,11724.280000000002,11724.280000000002,0.0546448087431694,0.1092896174863388,0.16393442622950818,20,20,20,11724.280000000002,11724.280000000002,11724.280000000002,0.0546448087431694,0.1092896174863388,0.16393442622950818,8,8,8,0.02185792349726776,0.04371584699453552,0.06557377049180328,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
247,27,20,18,16915.61,13031.52,12205.18,0.07377049180327869,0.1092896174863388,0.14754098360655737,27,20,18,16915.61,13031.52,12205.18,0.07377049180327869,0.1092896174863388,0.14754098360655737,19,15,14,0.05191256830601093,0.08196721311475409,0.11475409836065574,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
389,18,16,15,10831.22,9150.87,8752.93,0.04918032786885246,0.08743169398907104,0.12295081967213115,18,16,15,10831.22,9150.87,8752.93,0.04918032786885246,0.08743169398907104,0.12295081967213115,12,10,10,0.03278688524590164,0.0546448087431694,0.08196721311475409,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
463,38,35,29,26662.170000000002,25095.83,20029.840000000004,0.10382513661202186,0.1912568306010929,0.23770491803278687,38,35,29,26662.170000000002,25095.83,20029.840000000004,0.10382513661202186,0.1912568306010929,0.23770491803278687,11,10,8,0.030054644808743168,0.0546448087431694,0.06557377049180328,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
550,6,6,6,4017.74,4017.74,4017.74,0.01639344262295082,0.03278688524590164,0.04918032786885246,6,6,6,4017.74,4017.74,4017.74,0.01639344262295082,0.03278688524590164,0.04918032786885246,6,6,6,0.01639344262295082,0.03278688524590164,0.04918032786885246,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
628,12,12,12,8212.06,8212.06,8212.06,0.03278688524590164,0.06557377049180328,0.09836065573770492,12,12,12,8212.06,8212.06,8212.06,0.03278688524590164,0.06557377049180328,0.09836065573770492,6,6,6,0.01639344262295082,0.03278688524590164,0.04918032786885246,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
716,13,13,13,7493.7,7493.7,7493.7,0.03551912568306011,0.07103825136612021,0.10655737704918032,13,13,13,7493.7,7493.7,7493.7,0.03551912568306011,0.07103825136612021,0.10655737704918032,11,11,11,0.030054644808743168,0.060109289617486336,0.09016393442622951,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
850,4,4,4,2908.2,2908.2,2908.2,0.01092896174863388,0.02185792349726776,0.03278688524590164,4,4,4,2908.2,2908.2,2908.2,0.01092896174863388,0.02185792349726776,0.03278688524590164,4,4,4,0.01092896174863388,0.02185792349726776,0.03278688524590164,-1,-1,-1,-0.00273224043715847,-0.00546448087431694,-0.00819672131147541,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,0
864,18,17,17,12666.02,12546.03,12546.03,0.04918032786885246,0.09289617486338798,0.13934426229508196,18,17,17,12666.02,12546.03,12546.03,0.04918032786885246,0.09289617486338798,0.13934426229508196,13,13,13,0.03551912568306011,0.07103825136612021,0.10655737704918032,0,0,0,0.0,0.0,0.0,1,0,0,0.00273224043715847,0.0,0.0,0
866,25,20,16,18515.99,14891.510000000002,11730.37,0.06830601092896176,0.1092896174863388,0.13114754098360656,25,20,16,18515.99,14891.510000000002,11730.37,0.06830601092896176,0.1092896174863388,0.13114754098360656,16,15,11,0.04371584699453552,0.08196721311475409,0.09016393442622951,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
876,10,10,8,6151.34,6151.34,4533.57,0.0273224043715847,0.0546448087431694,0.06557377049180328,10,10,8,6151.34,6151.34,4533.57,0.0273224043715847,0.0546448087431694,0.06557377049180328,7,7,5,0.01912568306010929,0.03825136612021858,0.040983606557377046,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
881,7,7,7,5288.169999999999,5288.169999999999,5288.169999999999,0.01912568306010929,0.03825136612021858,0.05737704918032787,7,7,7,5288.169999999999,5288.169999999999,5288.169999999999,0.01912568306010929,0.03825136612021858,0.05737704918032787,6,6,6,0.01639344262295082,0.03278688524590164,0.04918032786885246,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,0,0,0,0.0,0.0,0.0,0
962,4,4,4,598.21,598.21,598.21,0.01092896174863388,0.02185792349726776,0.03278688524590164,4,4,4,598.21,598.21,598.21,0.01092896174863388,0.02185792349726776,0.03278688524590164,3,3,3,0.00819672131147541,0.01639344262295082,0.02459016393442623,0,0,0,0.0,0.0,0.0,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,0
