account,num_outgoing_txs_1,num_outgoing_txs_2,num_outgoing_txs_3,sum_outgoing_txs_1,sum_outgoing_txs_2,sum_outgoing_txs_3,freq_outgoing_txs_1,freq_outgoing_txs_2,freq_outgoing_txs_3,num_txs_1,num_txs_2,num_txs_3,sum_txs_1,sum_txs_2,sum_txs_3,freq_txs_1,freq_txs_2,freq_txs_3,num_unique_counterparties_1,num_unique_counterparties_2,num_unique_counterparties_3,freq_unique_counterparties_1,freq_unique_counterparties_2,freq_unique_counterparties_3,num_phone_changes_1,num_phone_changes_2,num_phone_changes_3,freq_phone_changes_1,freq_phone_changes_2,freq_phone_changes_3,num_bank_changes_1,num_bank_changes_2,num_bank_changes_3,freq_bank_changes_1,freq_bank_changes_2,freq_bank_changes_3,is_sar
31,3,3,3,1334.32,1334.32,1334.32,0.00819672131147541,0.01639344262295082,0.02459016393442623,3,3,3,1334.32,1334.32,1334.32,0.00819672131147541,0.01639344262295082,0.02459016393442623,2,2,2,0.00546448087431694,0.01092896174863388,0.01639344262295082,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
37,6,6,6,4646.44,4646.44,4646.44,0.01639344262295082,0.03278688524590164,0.04918032786885246,6,6,6,4646.44,4646.44,4646.44,0.01639344262295082,0.03278688524590164,0.04918032786885246,5,5,5,0.01366120218579235,0.0273224043715847,0.040983606557377046,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
41,14,14,14,8377.57,8377.57,8377.57,0.03825136612021858,0.07650273224043716,0.11475409836065574,14,14,14,8377.57,8377.57,8377.57,0.03825136612021858,0.07650273224043716,0.11475409836065574,8,8,8,0.02185792349726776,0.04371584699453552,0.06557377049180328,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,0,0,0,0.0,0.0,0.0,0
73,21,21,16,13862.73,13862.73,11334.37,0.05737704918032787,0.11475409836065574,0.13114754098360656,21,21,16,13862.73,13862.73,11334.37,0.05737704918032787,0.11475409836065574,0.13114754098360656,14,14,11,0.03825136612021858,0.07650273224043716,0.09016393442622951,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,0,0,0,0.0,0.0,0.0,0
158,13,13,13,10054.599999999999,10054.599999999999,10054.599999999999,0.03551912568306011,0.07103825136612021,0.10655737704918032,13,13,13,10054.599999999999,10054.599999999999,10054.599999999999,0.03551912568306011,0.07103825136612021,0.10655737704918032,12,12,12,0.03278688524590164,0.06557377049180328,0.09836065573770492,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
276,5,5,5,2858.1499999999996,2858.1499999999996,2858.1499999999996,0.01366120218579235,0.0273224043715847,0.040983606557377046,5,5,5,2858.1499999999996,2858.1499999999996,2858.1499999999996,0.01366120218579235,0.0273224043715847,0.040983606557377046,5,5,5,0.01366120218579235,0.0273224043715847,0.040983606557377046,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
294,10,9,8,7186.27,6606.4,5358.620000000001,0.0273224043715847,0.04918032786885246,0.06557377049180328,10,9,8,7186.27,6606.4,5358.620000000001,0.0273224043715847,0.04918032786885246,0.06557377049180328,9,8,8,0.02459016393442623,0.04371584699453552,0.06557377049180328,1,0,0,0.00273224043715847,0.0,0.0,0,0,0,0.0,0.0,0.0,0
373,31,22,18,20308.97,14463.5,12160.150000000001,0.08469945355191257,0.12021857923497267,0.14754098360655737,31,22,18,20308.97,14463.5,12160.150000000001,0.08469945355191257,0.12021857923497267,0.14754098360655737,15,12,12,0.040983606557377046,0.06557377049180328,0.09836065573770492,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
375,12,12,10,9039.54,9039.54,8150.119999999999,0.03278688524590164,0.06557377049180328,0.08196721311475409,12,12,10,9039.54,9039.54,8150.119999999999,0.03278688524590164,0.06557377049180328,0.08196721311475409,8,8,7,0.02185792349726776,0.04371584699453552,0.05737704918032787,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
412,24,24,19,16799.440000000002,16799.440000000002,13118.94,0.06557377049180328,0.13114754098360656,0.1557377049180328,24,24,19,16799.440000000002,16799.440000000002,13118.94,0.06557377049180328,0.13114754098360656,0.1557377049180328,8,8,6,0.02185792349726776,0.04371584699453552,0.04918032786885246,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,0,0,0,0.0,0.0,0.0,0
416,19,16,15,14645.98,12393.460000000001,11787.0,0.05191256830601093,0.08743169398907104,0.12295081967213115,19,16,15,14645.98,12393.460000000001,11787.0,0.05191256830601093,0.08743169398907104,0.12295081967213115,14,12,11,0.03825136612021858,0.06557377049180328,0.09016393442622951,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
