account,num_incoming_txs_1_366,sum_incoming_txs_1_366,num_outgoing_txs_1_366,sum_outgoing_txs_1_366,num_txs_1_366,sum_txs_1_366,num_unique_counterparties_1_366,num_incoming_txs_1_183,sum_incoming_txs_1_183,num_outgoing_txs_1_183,sum_outgoing_txs_1_183,num_txs_1_183,sum_txs_1_183,num_unique_counterparties_1_183,num_incoming_txs_184_366,sum_incoming_txs_184_366,num_outgoing_txs_184_366,sum_outgoing_txs_184_366,num_txs_184_366,sum_txs_184_366,num_unique_counterparties_184_366,num_phone_changes,num_days_in_bank,is_sar
92.0,31.0,13026.15,14.0,1419.29,45.0,14445.439999999999,19.0,6.0,10499.339999999998,0.0,0.0,6.0,10499.339999999998,2.0,25.0,2526.8100000000004,14.0,1419.29,39.0,3946.1000000000004,18.0,0.0,221.0,1.0
7180.0,6.0,591.8000000000001,6.0,581.43,12.0,1173.23,3.0,1.0,88.41,2.0,189.47,3.0,277.88,2.0,5.0,503.39,4.0,391.96,9.0,895.35,3.0,0.0,359.0,0.0
7181.0,1.0,97.9,4.0,420.84,5.0,518.74,1.0,0.0,0.0,2.0,203.58,2.0,203.58,1.0,1.0,97.9,2.0,217.26,3.0,315.15999999999997,1.0,0.0,342.0,0.0
7182.0,1.0,77.27,7.0,734.85,8.0,812.1200000000001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,77.27,7.0,734.85,8.0,812.1200000000001,2.0,0.0,362.0,0.0
7183.0,1.0,107.41,5.0,499.65999999999997,6.0,607.07,2.0,0.0,0.0,1.0,96.71,1.0,96.71,1.0,1.0,107.41,4.0,402.95000000000005,5.0,510.36,2.0,0.0,362.0,0.0
7184.0,1.0,82.91,6.0,544.42,7.0,627.3299999999999,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,82.91,6.0,544.42,7.0,627.3299999999999,2.0,0.0,362.0,0.0
7185.0,1.0,100.64,7.0,670.8499999999999,8.0,771.49,2.0,0.0,0.0,2.0,196.62,2.0,196.62,1.0,1.0,100.64,5.0,474.22999999999996,6.0,574.8699999999999,2.0,0.0,332.0,0.0
7186.0,1.0,105.88,5.0,532.79,6.0,638.67,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,105.88,5.0,532.79,6.0,638.67,2.0,0.0,360.0,0.0
7187.0,1.0,88.74,5.0,504.04,6.0,592.78,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,88.74,5.0,504.04,6.0,592.78,2.0,0.0,366.0,0.0
7188.0,1.0,80.01,5.0,481.46000000000004,6.0,561.47,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.01,5.0,481.46000000000004,6.0,561.47,2.0,0.0,365.0,0.0
7189.0,1.0,96.18,5.0,484.96,6.0,581.1400000000001,2.0,1.0,96.18,2.0,194.29000000000002,3.0,290.47,2.0,0.0,0.0,3.0,290.67,3.0,290.67,1.0,0.0,294.0,0.0
7190.0,1.0,106.28,5.0,505.32,6.0,611.6,2.0,0.0,0.0,2.0,187.14,2.0,187.14,1.0,1.0,106.28,3.0,318.18,4.0,424.46,2.0,0.0,341.0,0.0
