account,num_incoming_txs_1_366,sum_incoming_txs_1_366,num_outgoing_txs_1_366,sum_outgoing_txs_1_366,num_txs_1_366,sum_txs_1_366,num_unique_counterparties_1_366,num_incoming_txs_1_183,sum_incoming_txs_1_183,num_outgoing_txs_1_183,sum_outgoing_txs_1_183,num_txs_1_183,sum_txs_1_183,num_unique_counterparties_1_183,num_incoming_txs_184_366,sum_incoming_txs_184_366,num_outgoing_txs_184_366,sum_outgoing_txs_184_366,num_txs_184_366,sum_txs_184_366,num_unique_counterparties_184_366,num_phone_changes,num_days_in_bank,is_sar
6554.0,2.0,188.78,3.0,292.25,5.0,481.03,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,188.78,3.0,292.25,5.0,481.03,2.0,0.0,33.0,0.0
7284.0,1.0,90.76,6.0,563.9200000000001,7.0,654.68,2.0,0.0,0.0,1.0,95.74,1.0,95.74,1.0,1.0,90.76,5.0,468.18,6.0,558.94,2.0,0.0,362.0,0.0
7285.0,1.0,96.98,10.0,958.8900000000001,11.0,1055.8700000000001,1.0,0.0,0.0,1.0,96.98,1.0,96.98,1.0,1.0,96.98,9.0,861.9100000000001,10.0,958.8900000000001,1.0,0.0,366.0,0.0
7286.0,1.0,96.2,5.0,466.21999999999997,6.0,562.42,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,96.2,5.0,466.21999999999997,6.0,562.42,2.0,0.0,364.0,0.0
7287.0,2.0,196.61,20.0,1853.8100000000002,22.0,2050.42,2.0,1.0,104.17,8.0,749.75,9.0,853.9200000000001,2.0,1.0,92.44,12.0,1104.0600000000002,13.0,1196.5000000000002,1.0,0.0,358.0,0.0
7288.0,1.0,86.32,4.0,383.54,5.0,469.85999999999996,1.0,0.0,0.0,2.0,187.88,2.0,187.88,1.0,1.0,86.32,2.0,195.66,3.0,281.98,1.0,0.0,362.0,0.0
7289.0,1.0,102.95,5.0,520.13,6.0,623.08,2.0,0.0,0.0,1.0,114.81,1.0,114.81,1.0,1.0,102.95,4.0,405.32,5.0,508.27,2.0,0.0,365.0,0.0
7290.0,10.0,949.61,18.0,1663.56,28.0,2613.17,3.0,0.0,0.0,5.0,474.22999999999996,5.0,474.22999999999996,1.0,10.0,949.61,13.0,1189.3300000000002,23.0,2138.94,3.0,0.0,365.0,0.0
7291.0,1.0,111.68,8.0,825.08,9.0,936.76,2.0,0.0,0.0,2.0,198.34,2.0,198.34,1.0,1.0,111.68,6.0,626.74,7.0,738.4200000000001,2.0,0.0,343.0,0.0
7292.0,1.0,97.63,7.0,688.42,8.0,786.05,2.0,1.0,97.63,1.0,97.63,2.0,195.26,2.0,0.0,0.0,6.0,590.79,6.0,590.79,1.0,0.0,344.0,0.0
