account,num_incoming_txs_1_366,sum_incoming_txs_1_366,num_outgoing_txs_1_366,sum_outgoing_txs_1_366,num_txs_1_366,sum_txs_1_366,num_unique_counterparties_1_366,num_incoming_txs_1_183,sum_incoming_txs_1_183,num_outgoing_txs_1_183,sum_outgoing_txs_1_183,num_txs_1_183,sum_txs_1_183,num_unique_counterparties_1_183,num_incoming_txs_184_366,sum_incoming_txs_184_366,num_outgoing_txs_184_366,sum_outgoing_txs_184_366,num_txs_184_366,sum_txs_184_366,num_unique_counterparties_184_366,num_phone_changes,num_days_in_bank,is_sar
4115.0,2.0,214.47,10.0,1009.54,12.0,1224.01,2.0,0.0,0.0,4.0,421.13,4.0,421.13,1.0,2.0,214.47,6.0,588.41,8.0,802.8799999999999,2.0,0.0,361.0,0.0
4116.0,2.0,218.26999999999998,5.0,518.24,7.0,736.51,2.0,1.0,95.57,1.0,95.57,2.0,191.14,1.0,1.0,122.7,4.0,422.67,5.0,545.37,2.0,0.0,365.0,0.0
4117.0,7.0,742.48,6.0,592.8199999999999,13.0,1335.2999999999997,3.0,3.0,328.29999999999995,4.0,398.40999999999997,7.0,726.71,2.0,4.0,414.18,2.0,194.41000000000003,6.0,608.5899999999999,3.0,0.0,353.0,0.0
4118.0,1.0,98.96,5.0,491.77,6.0,590.73,2.0,1.0,98.96,1.0,92.78,2.0,191.74,2.0,0.0,0.0,4.0,398.98999999999995,4.0,398.98999999999995,1.0,0.0,344.0,0.0
4119.0,2.0,210.82999999999998,7.0,709.2499999999999,9.0,920.08,2.0,1.0,99.46,2.0,212.24,3.0,311.7,1.0,1.0,111.37,5.0,497.01,6.0,608.38,2.0,0.0,366.0,0.0
4120.0,6.0,591.91,5.0,507.72,11.0,1099.6299999999999,3.0,1.0,89.86,0.0,0.0,1.0,89.86,1.0,5.0,502.05,5.0,507.72,10.0,1009.7700000000001,3.0,0.0,363.0,0.0
4121.0,1.0,99.82,6.0,661.76,7.0,761.5799999999999,2.0,1.0,99.82,1.0,127.97,2.0,227.79,2.0,0.0,0.0,5.0,533.79,5.0,533.79,1.0,0.0,365.0,0.0
4122.0,2.0,197.86,6.0,636.34,8.0,834.2,2.0,2.0,197.86,1.0,84.79,3.0,282.65000000000003,2.0,0.0,0.0,5.0,551.5500000000001,5.0,551.5500000000001,1.0,0.0,352.0,0.0
4123.0,1.0,113.07,5.0,527.76,6.0,640.83,2.0,0.0,0.0,1.0,100.09,1.0,100.09,1.0,1.0,113.07,4.0,427.66999999999996,5.0,540.74,2.0,0.0,323.0,0.0
4124.0,1.0,109.63,6.0,619.8800000000001,7.0,729.51,2.0,0.0,0.0,3.0,317.04,3.0,317.04,1.0,1.0,109.63,3.0,302.84,4.0,412.46999999999997,2.0,0.0,269.0,0.0
4125.0,1.0,101.77,7.0,660.55,8.0,762.3199999999999,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,101.77,7.0,660.55,8.0,762.3199999999999,2.0,0.0,365.0,0.0
4126.0,7.0,705.33,5.0,506.18999999999994,12.0,1211.52,3.0,0.0,0.0,1.0,102.33,1.0,102.33,1.0,7.0,705.33,4.0,403.86,11.0,1109.19,3.0,0.0,366.0,0.0
4127.0,2.0,207.04000000000002,32.0,3487.38,34.0,3694.42,2.0,1.0,116.15,1.0,90.89,2.0,207.04000000000002,2.0,1.0,90.89,31.0,3396.4899999999993,32.0,3487.38,1.0,0.0,365.0,0.0
4128.0,1.0,99.91,17.0,1566.46,18.0,1666.3700000000001,2.0,0.0,0.0,7.0,646.55,7.0,646.55,1.0,1.0,99.91,10.0,919.9099999999999,11.0,1019.8199999999999,2.0,0.0,354.0,0.0
4129.0,2.0,214.99,6.0,10557.59,8.0,10772.58,3.0,1.0,104.78,4.0,451.02,5.0,555.8,2.0,0.0,0.0,2.0,10106.57,2.0,10106.57,2.0,0.0,270.0,1.0
4130.0,16.0,1639.97,5.0,524.74,21.0,2164.71,4.0,5.0,507.53999999999996,1.0,111.11,6.0,618.65,3.0,11.0,1132.4299999999998,4.0,413.63,15.0,1546.06,4.0,0.0,364.0,0.0
4131.0,1.0,104.82,5.0,496.13999999999993,6.0,600.96,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,104.82,5.0,496.13999999999993,6.0,600.96,2.0,0.0,353.0,0.0
4132.0,1.0,106.09,15.0,1823.4299999999996,16.0,1929.52,2.0,0.0,0.0,1.0,102.81,1.0,102.81,1.0,1.0,106.09,14.0,1720.6199999999997,15.0,1826.7099999999996,2.0,0.0,363.0,0.0
4133.0,10.0,962.8599999999999,5.0,502.14,15.0,1465.0,3.0,2.0,191.42,0.0,0.0,2.0,191.42,1.0,8.0,771.4399999999999,5.0,502.14,13.0,1273.5800000000002,3.0,0.0,364.0,0.0
4134.0,2.0,197.4,5.0,482.08000000000004,7.0,679.48,2.0,0.0,0.0,2.0,196.09,2.0,196.09,1.0,2.0,197.4,3.0,285.99,5.0,483.39,2.0,0.0,362.0,0.0
4135.0,7.0,678.92,6.0,543.71,13.0,1222.6299999999999,3.0,2.0,187.86,1.0,78.73,3.0,266.59000000000003,2.0,5.0,491.06,5.0,464.98,10.0,956.0400000000001,3.0,0.0,345.0,0.0
4136.0,1.0,105.98,1.0,105.98,2.0,211.96,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,105.98,1.0,105.98,2.0,211.96,2.0,0.0,260.0,0.0
4137.0,6.0,586.64,6.0,670.1999999999999,12.0,1256.84,3.0,4.0,379.82,0.0,0.0,4.0,379.82,1.0,2.0,206.82,5.0,568.85,7.0,775.6700000000001,3.0,0.0,366.0,0.0
4138.0,1.0,111.76,1.0,111.76,2.0,223.52,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,111.76,1.0,111.76,2.0,223.52,2.0,0.0,303.0,0.0
