account,num_incoming_txs_1_366,sum_incoming_txs_1_366,num_outgoing_txs_1_366,sum_outgoing_txs_1_366,num_txs_1_366,sum_txs_1_366,num_unique_counterparties_1_366,num_incoming_txs_1_183,sum_incoming_txs_1_183,num_outgoing_txs_1_183,sum_outgoing_txs_1_183,num_txs_1_183,sum_txs_1_183,num_unique_counterparties_1_183,num_incoming_txs_184_366,sum_incoming_txs_184_366,num_outgoing_txs_184_366,sum_outgoing_txs_184_366,num_txs_184_366,sum_txs_184_366,num_unique_counterparties_184_366,num_phone_changes,num_days_in_bank,is_sar
4583.0,4.0,372.61,0.0,0.0,4.0,372.61,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,372.61,0.0,0.0,4.0,372.61,1.0,0.0,27.0,0.0
9099.0,2.0,163.4,18.0,1634.9500000000003,20.0,1798.3500000000004,2.0,1.0,80.51,9.0,807.93,10.0,888.4399999999999,2.0,1.0,82.89,9.0,827.02,10.0,909.91,1.0,0.0,355.0,0.0
9100.0,2.0,182.77999999999997,5.0,539.43,7.0,722.2099999999999,2.0,1.0,95.21,3.0,298.09,4.0,393.29999999999995,2.0,1.0,87.57,2.0,241.34,3.0,328.90999999999997,1.0,0.0,312.0,0.0
9101.0,2.0,197.52,6.0,587.65,8.0,785.17,2.0,0.0,0.0,1.0,89.01,1.0,89.01,1.0,2.0,197.52,5.0,498.64,7.0,696.16,2.0,0.0,362.0,0.0
9102.0,1.0,100.91,11.0,1139.45,12.0,1240.3600000000004,2.0,0.0,0.0,4.0,417.48,4.0,417.48,1.0,1.0,100.91,7.0,721.97,8.0,822.88,2.0,0.0,347.0,0.0
9103.0,2.0,216.41,9.0,825.62,11.0,1042.03,2.0,1.0,103.67,1.0,112.74,2.0,216.41,2.0,1.0,112.74,8.0,712.88,9.0,825.62,1.0,0.0,355.0,0.0
9104.0,1.0,86.83,5.0,487.43000000000006,6.0,574.26,2.0,1.0,86.83,0.0,0.0,1.0,86.83,1.0,0.0,0.0,5.0,487.43000000000006,5.0,487.43000000000006,1.0,0.0,366.0,0.0
9105.0,1.0,99.82,26.0,2023.6000000000001,27.0,2123.4200000000005,2.0,0.0,0.0,10.0,742.6,10.0,742.6,1.0,1.0,99.82,16.0,1281.0,17.0,1380.8200000000002,2.0,0.0,357.0,0.0
9106.0,2.0,187.07,4.0,387.3,6.0,574.37,2.0,1.0,89.81,1.0,89.81,2.0,179.62,1.0,1.0,97.26,3.0,297.49,4.0,394.75,2.0,0.0,365.0,0.0
9107.0,1.0,97.09,5.0,485.52,6.0,582.61,2.0,0.0,0.0,1.0,89.34,1.0,89.34,1.0,1.0,97.09,4.0,396.18000000000006,5.0,493.27,2.0,0.0,311.0,0.0
9108.0,1.0,109.73,8.0,756.77,9.0,866.5,2.0,0.0,0.0,2.0,184.64,2.0,184.64,1.0,1.0,109.73,6.0,572.13,7.0,681.8599999999999,2.0,0.0,363.0,0.0
9109.0,1.0,109.32,24.0,2419.96,25.0,2529.2799999999997,2.0,0.0,0.0,1.0,84.99,1.0,84.99,1.0,1.0,109.32,23.0,2334.9700000000003,24.0,2444.29,2.0,0.0,366.0,0.0
9110.0,1.0,89.86,6.0,586.45,7.0,676.3100000000001,2.0,0.0,0.0,1.0,94.34,1.0,94.34,1.0,1.0,89.86,5.0,492.11,6.0,581.97,2.0,0.0,359.0,0.0
9111.0,2.0,206.76999999999998,5.0,481.99,7.0,688.76,2.0,1.0,105.11,1.0,105.11,2.0,210.22,1.0,1.0,101.66,4.0,376.88,5.0,478.53999999999996,2.0,0.0,366.0,0.0
9112.0,1.0,96.28,9.0,865.0,10.0,961.28,2.0,1.0,96.28,2.0,182.14,3.0,278.41999999999996,2.0,0.0,0.0,7.0,682.8599999999999,7.0,682.8599999999999,1.0,0.0,345.0,0.0
9113.0,1.0,85.1,5.0,463.81,6.0,548.91,2.0,1.0,85.1,1.0,85.1,2.0,170.2,2.0,0.0,0.0,3.0,292.05,3.0,292.05,1.0,0.0,350.0,0.0
9114.0,2.0,197.32,5.0,482.2,7.0,679.52,2.0,1.0,91.28,2.0,183.14,3.0,274.42,1.0,1.0,106.04,3.0,299.06,4.0,405.1,2.0,0.0,363.0,0.0
9115.0,1.0,96.36,5.0,514.06,6.0,610.42,2.0,1.0,96.36,2.0,202.42000000000002,3.0,298.78,2.0,0.0,0.0,3.0,311.64,3.0,311.64,1.0,0.0,338.0,0.0
9116.0,1.0,78.41,12.0,1237.88,13.0,1316.2900000000002,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,78.41,12.0,1237.88,13.0,1316.2900000000002,2.0,0.0,356.0,0.0
9117.0,1.0,98.19,59.0,6040.169999999999,60.0,6138.359999999999,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,98.19,59.0,6040.169999999999,60.0,6138.359999999999,2.0,0.0,366.0,0.0
9118.0,6.0,578.91,13.0,1236.39,19.0,1815.3,3.0,2.0,180.09,3.0,275.25,5.0,455.34000000000003,2.0,4.0,398.82000000000005,10.0,961.14,14.0,1359.96,3.0,0.0,356.0,0.0
9119.0,2.0,187.48,5.0,495.4,7.0,682.88,2.0,0.0,0.0,2.0,184.66,2.0,184.66,1.0,2.0,187.48,3.0,310.74,5.0,498.2199999999999,2.0,0.0,366.0,0.0
9120.0,6.0,584.68,6.0,547.47,12.0,1132.1500000000003,3.0,3.0,298.69,0.0,0.0,3.0,298.69,2.0,3.0,285.99,6.0,547.47,9.0,833.4599999999999,2.0,0.0,361.0,0.0
9121.0,1.0,104.2,8.0,869.89,9.0,974.09,2.0,1.0,104.2,1.0,108.88,2.0,213.07999999999998,2.0,0.0,0.0,7.0,761.01,7.0,761.01,1.0,0.0,365.0,0.0
9122.0,1.0,101.55,5.0,521.01,6.0,622.56,2.0,0.0,0.0,2.0,219.34,2.0,219.34,1.0,1.0,101.55,3.0,301.67,4.0,403.22,2.0,0.0,363.0,0.0
9123.0,1.0,86.68,6.0,567.1899999999999,7.0,653.8699999999999,2.0,0.0,0.0,2.0,187.1,2.0,187.1,1.0,1.0,86.68,4.0,380.09000000000003,5.0,466.77000000000004,2.0,0.0,354.0,0.0
9124.0,1.0,95.03,5.0,486.99,6.0,582.02,2.0,0.0,0.0,2.0,196.1,2.0,196.1,1.0,1.0,95.03,3.0,290.89,4.0,385.91999999999996,2.0,0.0,347.0,0.0
9125.0,1.0,91.33,9.0,900.3300000000002,10.0,991.6600000000002,2.0,0.0,0.0,2.0,201.4,2.0,201.4,1.0,1.0,91.33,7.0,698.9300000000001,8.0,790.26,2.0,0.0,336.0,0.0
9126.0,2.0,206.70999999999998,5.0,482.78999999999996,7.0,689.5,2.0,0.0,0.0,1.0,98.14,1.0,98.14,1.0,2.0,206.70999999999998,4.0,384.65,6.0,591.36,2.0,0.0,352.0,0.0
9127.0,1.0,102.45,5.0,565.79,6.0,668.24,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,102.45,5.0,565.79,6.0,668.24,2.0,0.0,321.0,0.0
9128.0,1.0,83.11,5.0,445.29,6.0,528.4000000000001,2.0,1.0,83.11,1.0,83.11,2.0,166.22,2.0,0.0,0.0,4.0,362.18,4.0,362.18,1.0,0.0,359.0,0.0
9129.0,1.0,107.88,5.0,461.75,6.0,569.63,2.0,1.0,107.88,2.0,179.01,3.0,286.89,2.0,0.0,0.0,3.0,282.74,3.0,282.74,1.0,0.0,359.0,0.0
9130.0,2.0,236.70999999999998,5.0,543.01,7.0,779.72,2.0,0.0,0.0,1.0,118.57,1.0,118.57,1.0,2.0,236.70999999999998,4.0,424.44,6.0,661.15,2.0,0.0,365.0,0.0
9131.0,1.0,109.79,4.0,391.91,5.0,501.70000000000005,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,109.79,4.0,391.91,5.0,501.70000000000005,2.0,0.0,353.0,0.0
9132.0,1.0,98.09,5.0,471.84,6.0,569.9300000000001,2.0,0.0,0.0,1.0,95.77,1.0,95.77,1.0,1.0,98.09,4.0,376.07,5.0,474.16,2.0,0.0,342.0,0.0
9133.0,2.0,193.55,6.0,630.25,8.0,823.8000000000001,2.0,1.0,86.98,2.0,193.55,3.0,280.53000000000003,2.0,1.0,106.57,4.0,436.7,5.0,543.27,1.0,0.0,354.0,0.0
9134.0,1.0,95.55,16.0,1463.53,17.0,1559.08,2.0,0.0,0.0,3.0,274.83,3.0,274.83,1.0,1.0,95.55,13.0,1188.6999999999998,14.0,1284.2499999999998,2.0,0.0,359.0,0.0
9135.0,0.0,0.0,6.0,642.76,6.0,642.76,1.0,0.0,0.0,2.0,224.78,2.0,224.78,1.0,0.0,0.0,4.0,417.98,4.0,417.98,1.0,0.0,350.0,0.0
9136.0,1.0,105.93,5.0,534.98,6.0,640.9100000000001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,105.93,5.0,534.98,6.0,640.9100000000001,2.0,0.0,352.0,0.0
9137.0,2.0,187.42000000000002,5.0,427.09000000000003,7.0,614.51,2.0,0.0,0.0,2.0,168.19,2.0,168.19,1.0,2.0,187.42000000000002,3.0,258.9,5.0,446.32,2.0,0.0,306.0,0.0
9138.0,2.0,206.35000000000002,8.0,829.06,10.0,1035.41,2.0,1.0,98.73,1.0,107.62,2.0,206.35000000000002,2.0,1.0,107.62,7.0,721.44,8.0,829.0600000000001,1.0,0.0,365.0,0.0
9139.0,1.0,91.31,5.0,512.3399999999999,6.0,603.65,2.0,0.0,0.0,1.0,99.7,1.0,99.7,1.0,1.0,91.31,4.0,412.64,5.0,503.95,2.0,0.0,356.0,0.0
9140.0,2.0,217.82999999999998,6.0,622.71,8.0,840.54,2.0,1.0,108.97,3.0,319.26,4.0,428.23,2.0,1.0,108.86,3.0,303.45,4.0,412.31,1.0,0.0,348.0,0.0
9141.0,1.0,94.76,5.0,526.41,6.0,621.1700000000001,2.0,0.0,0.0,1.0,96.08,1.0,96.08,1.0,1.0,94.76,4.0,430.33,5.0,525.09,2.0,0.0,340.0,0.0
9142.0,1.0,87.96,5.0,493.73999999999995,6.0,581.6999999999999,2.0,1.0,87.96,1.0,113.58,2.0,201.54,2.0,0.0,0.0,3.0,286.25,3.0,286.25,1.0,0.0,337.0,0.0
9143.0,2.0,211.23000000000002,5.0,478.72,7.0,689.9499999999999,2.0,0.0,0.0,2.0,200.94,2.0,200.94,1.0,2.0,211.23000000000002,3.0,277.78000000000003,5.0,489.01000000000005,2.0,0.0,358.0,0.0
9144.0,0.0,0.0,4.0,418.22,4.0,418.22,1.0,0.0,0.0,1.0,107.4,1.0,107.4,1.0,0.0,0.0,3.0,310.82,3.0,310.82,1.0,0.0,344.0,0.0
9145.0,2.0,223.56,7.0,720.3199999999999,9.0,943.8799999999999,2.0,0.0,0.0,2.0,203.01999999999998,2.0,203.01999999999998,1.0,2.0,223.56,5.0,517.3,7.0,740.8600000000001,2.0,0.0,354.0,0.0
9146.0,1.0,119.5,49.0,4951.04,50.0,5070.54,2.0,0.0,0.0,1.0,94.99,1.0,94.99,1.0,1.0,119.5,48.0,4856.05,49.0,4975.55,2.0,0.0,366.0,0.0
9147.0,1.0,101.18,5.0,478.6,6.0,579.78,2.0,0.0,0.0,1.0,93.46,1.0,93.46,1.0,1.0,101.18,4.0,385.14,5.0,486.32000000000005,2.0,0.0,362.0,0.0
9148.0,1.0,109.47,19.0,1627.7699999999998,20.0,1737.2399999999998,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,109.47,19.0,1627.7699999999998,20.0,1737.2399999999998,2.0,0.0,363.0,0.0
9149.0,1.0,92.35,6.0,628.4699999999999,7.0,720.8199999999999,2.0,1.0,92.35,1.0,106.8,2.0,199.14999999999998,2.0,0.0,0.0,4.0,414.87,4.0,414.87,1.0,0.0,319.0,0.0
9150.0,1.0,88.46,9.0,929.4399999999999,10.0,1017.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,88.46,9.0,929.4399999999999,10.0,1017.9,2.0,0.0,352.0,0.0
9151.0,1.0,117.71,5.0,516.8000000000001,6.0,634.51,2.0,1.0,117.71,2.0,219.31,3.0,337.02,2.0,0.0,0.0,3.0,297.49,3.0,297.49,1.0,0.0,362.0,0.0
9152.0,1.0,82.23,5.0,501.0200000000001,6.0,583.25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,82.23,5.0,501.0200000000001,6.0,583.25,2.0,0.0,360.0,0.0
