account,num_incoming_txs_1_366,sum_incoming_txs_1_366,num_outgoing_txs_1_366,sum_outgoing_txs_1_366,num_txs_1_366,sum_txs_1_366,num_unique_counterparties_1_366,num_incoming_txs_1_183,sum_incoming_txs_1_183,num_outgoing_txs_1_183,sum_outgoing_txs_1_183,num_txs_1_183,sum_txs_1_183,num_unique_counterparties_1_183,num_incoming_txs_184_366,sum_incoming_txs_184_366,num_outgoing_txs_184_366,sum_outgoing_txs_184_366,num_txs_184_366,sum_txs_184_366,num_unique_counterparties_184_366,num_phone_changes,num_days_in_bank,is_sar
8852.0,1.0,118.18,5.0,517.1300000000001,6.0,635.3100000000002,2.0,0.0,0.0,1.0,104.44,1.0,104.44,1.0,1.0,118.18,4.0,412.69,5.0,530.87,2.0,0.0,349.0,0.0
8853.0,2.0,196.35000000000002,13.0,1200.22,15.0,1396.57,2.0,0.0,0.0,6.0,566.8100000000001,6.0,566.8100000000001,1.0,2.0,196.35000000000002,7.0,633.4100000000001,9.0,829.7600000000001,2.0,0.0,362.0,0.0
8854.0,1.0,81.05,5.0,466.53000000000003,6.0,547.58,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,81.05,5.0,466.53000000000003,6.0,547.58,2.0,0.0,366.0,0.0
8855.0,1.0,112.52,5.0,509.99999999999994,6.0,622.52,2.0,1.0,112.52,1.0,107.06,2.0,219.57999999999998,2.0,0.0,0.0,4.0,402.94,4.0,402.94,1.0,0.0,363.0,0.0
8856.0,1.0,89.23,7.0,20502.100000000002,8.0,20591.33,4.0,0.0,0.0,3.0,20099.550000000003,3.0,20099.550000000003,3.0,1.0,89.23,4.0,402.54999999999995,5.0,491.78,2.0,1.0,362.0,1.0
8857.0,2.0,204.49,5.0,505.59000000000003,7.0,710.08,2.0,0.0,0.0,1.0,100.65,1.0,100.65,1.0,2.0,204.49,4.0,404.93999999999994,6.0,609.4300000000001,2.0,0.0,365.0,0.0
8858.0,1.0,95.22,284.0,26610.259999999995,285.0,26705.479999999996,2.0,1.0,95.22,99.0,9273.899999999998,100.0,9369.119999999999,2.0,0.0,0.0,183.0,17149.039999999997,183.0,17149.039999999997,1.0,0.0,366.0,0.0
8859.0,1.0,106.15,10.0,1012.78,11.0,1118.9299999999998,2.0,0.0,0.0,3.0,291.69,3.0,291.69,1.0,1.0,106.15,7.0,721.09,8.0,827.24,2.0,0.0,361.0,0.0
8860.0,1.0,99.75,5.0,544.63,6.0,644.38,2.0,0.0,0.0,1.0,125.38,1.0,125.38,1.0,1.0,99.75,4.0,419.25,5.0,519.0,2.0,0.0,353.0,0.0
8861.0,1.0,113.08,94.0,10209.749999999996,95.0,10322.829999999996,2.0,0.0,0.0,1.0,118.01,1.0,118.01,1.0,1.0,113.08,93.0,10091.74,94.0,10204.819999999998,2.0,0.0,366.0,0.0
8862.0,1.0,108.91,5.0,485.04999999999995,6.0,593.9599999999999,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,108.91,5.0,485.04999999999995,6.0,593.9599999999999,2.0,0.0,350.0,0.0
8863.0,1.0,92.68,5.0,519.54,6.0,612.22,2.0,0.0,0.0,2.0,208.95,2.0,208.95,1.0,1.0,92.68,3.0,310.59000000000003,4.0,403.27000000000004,2.0,0.0,359.0,0.0
8864.0,2.0,205.35000000000002,7.0,725.3100000000002,9.0,930.6600000000001,2.0,0.0,0.0,2.0,221.23000000000002,2.0,221.23000000000002,1.0,2.0,205.35000000000002,5.0,504.0799999999999,7.0,709.4300000000001,2.0,0.0,351.0,0.0
8865.0,2.0,183.22,5.0,516.88,7.0,700.1,2.0,0.0,0.0,2.0,199.99,2.0,199.99,1.0,2.0,183.22,3.0,316.89,5.0,500.11,2.0,0.0,341.0,0.0
8866.0,12.0,11095.079999999996,315.0,35446.02000000001,327.0,46541.10000000001,4.0,3.0,10188.71,128.0,14423.040000000006,131.0,24611.750000000007,3.0,9.0,906.37,185.0,20797.62000000001,194.0,21703.99000000001,3.0,1.0,366.0,1.0
8867.0,1.0,95.75,5.0,505.76000000000005,6.0,601.51,2.0,0.0,0.0,1.0,83.2,1.0,83.2,1.0,1.0,95.75,4.0,422.56,5.0,518.31,2.0,0.0,344.0,0.0
8868.0,2.0,10087.0,5.0,456.7,7.0,10543.7,3.0,1.0,9993.19,1.0,90.77,2.0,10083.960000000001,2.0,1.0,93.81,4.0,365.93,5.0,459.74,2.0,0.0,350.0,1.0
8869.0,1.0,106.48,5.0,511.37,6.0,617.8499999999999,2.0,0.0,0.0,1.0,103.19,1.0,103.19,1.0,1.0,106.48,4.0,408.18,5.0,514.6600000000001,2.0,0.0,358.0,0.0
8870.0,1.0,90.75,5.0,487.30999999999995,6.0,578.06,2.0,0.0,0.0,1.0,98.22,1.0,98.22,1.0,1.0,90.75,4.0,389.09000000000003,5.0,479.84000000000003,2.0,0.0,360.0,0.0
8871.0,1.0,96.01,6.0,596.8,7.0,692.81,2.0,0.0,0.0,1.0,93.34,1.0,93.34,1.0,1.0,96.01,5.0,503.46000000000004,6.0,599.47,2.0,0.0,353.0,0.0
8872.0,7.0,734.02,6.0,562.94,13.0,1296.9599999999998,3.0,0.0,0.0,1.0,105.23,1.0,105.23,1.0,7.0,734.02,5.0,457.71000000000004,12.0,1191.73,3.0,0.0,361.0,0.0
8873.0,2.0,209.82,10.0,1055.64,12.0,1265.46,2.0,0.0,0.0,2.0,204.48000000000002,2.0,204.48000000000002,1.0,2.0,209.82,8.0,851.1600000000001,10.0,1060.98,2.0,0.0,347.0,0.0
8874.0,2.0,197.73000000000002,6.0,594.77,8.0,792.5,2.0,0.0,0.0,2.0,211.52,2.0,211.52,1.0,1.0,109.04,4.0,383.25,5.0,492.29,1.0,0.0,364.0,0.0
9805.0,1.0,103.57,3.0,298.63,4.0,402.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,103.57,3.0,298.63,4.0,402.2,2.0,0.0,114.0,0.0
