account,num_outgoing_txs_1,num_outgoing_txs_2,num_outgoing_txs_3,sum_outgoing_txs_1,sum_outgoing_txs_2,sum_outgoing_txs_3,freq_outgoing_txs_1,freq_outgoing_txs_2,freq_outgoing_txs_3,num_txs_1,num_txs_2,num_txs_3,sum_txs_1,sum_txs_2,sum_txs_3,freq_txs_1,freq_txs_2,freq_txs_3,num_unique_counterparties_1,num_unique_counterparties_2,num_unique_counterparties_3,freq_unique_counterparties_1,freq_unique_counterparties_2,freq_unique_counterparties_3,num_phone_changes_1,num_phone_changes_2,num_phone_changes_3,freq_phone_changes_1,freq_phone_changes_2,freq_phone_changes_3,num_bank_changes_1,num_bank_changes_2,num_bank_changes_3,freq_bank_changes_1,freq_bank_changes_2,freq_bank_changes_3,is_sar
17,8,8,7,6752.59,6752.59,5206.24,0.02185792349726776,0.04371584699453552,0.05737704918032787,8,8,7,6752.59,6752.59,5206.24,0.02185792349726776,0.04371584699453552,0.05737704918032787,7,7,6,0.01912568306010929,0.03825136612021858,0.04918032786885246,-1,-1,0,-0.00273224043715847,-0.00546448087431694,0.0,1,1,0,0.00273224043715847,0.00546448087431694,0.0,0
103,19,19,19,11819.92,11819.92,11819.92,0.05191256830601093,0.10382513661202186,0.1557377049180328,19,19,19,11819.92,11819.92,11819.92,0.05191256830601093,0.10382513661202186,0.1557377049180328,11,11,11,0.030054644808743168,0.060109289617486336,0.09016393442622951,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
155,16,16,16,9845.01,9845.01,9845.01,0.04371584699453552,0.08743169398907104,0.13114754098360656,16,16,16,9845.01,9845.01,9845.01,0.04371584699453552,0.08743169398907104,0.13114754098360656,8,8,8,0.02185792349726776,0.04371584699453552,0.06557377049180328,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
630,23,23,23,17332.09,17332.09,17332.09,0.06284153005464481,0.12568306010928962,0.1885245901639344,23,23,23,17332.09,17332.09,17332.09,0.06284153005464481,0.12568306010928962,0.1885245901639344,9,9,9,0.02459016393442623,0.04918032786885246,0.07377049180327869,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
831,4,4,4,2779.8999999999996,2779.8999999999996,2779.8999999999996,0.01092896174863388,0.02185792349726776,0.03278688524590164,4,4,4,2779.8999999999996,2779.8999999999996,2779.8999999999996,0.01092896174863388,0.02185792349726776,0.03278688524590164,4,4,4,0.01092896174863388,0.02185792349726776,0.03278688524590164,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
986,52,33,32,26193.779999999995,10933.88,10326.72,0.14207650273224043,0.18032786885245902,0.26229508196721313,52,33,32,26193.779999999995,10933.88,10326.72,0.14207650273224043,0.18032786885245902,0.26229508196721313,7,6,6,0.01912568306010929,0.03278688524590164,0.04918032786885246,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
1002,5,3,2,2553.3199999999997,1596.0,1222.6399999999999,0.01366120218579235,0.01639344262295082,0.01639344262295082,5,3,2,2553.3199999999997,1596.0,1222.6399999999999,0.01366120218579235,0.01639344262295082,0.01639344262295082,4,3,2,0.01092896174863388,0.01639344262295082,0.01639344262295082,1,1,0,0.00273224043715847,0.00546448087431694,0.0,0,0,0,0.0,0.0,0.0,0
1175,10,8,5,7371.92,6377.35,4515.1900000000005,0.0273224043715847,0.04371584699453552,0.040983606557377046,10,8,5,7371.92,6377.35,4515.1900000000005,0.0273224043715847,0.04371584699453552,0.040983606557377046,8,6,4,0.02185792349726776,0.03278688524590164,0.03278688524590164,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
1206,8,6,5,5815.55,4900.8,4168.240000000001,0.02185792349726776,0.03278688524590164,0.040983606557377046,8,6,5,5815.55,4900.8,4168.240000000001,0.02185792349726776,0.03278688524590164,0.040983606557377046,6,5,5,0.01639344262295082,0.0273224043715847,0.040983606557377046,1,1,0,0.00273224043715847,0.00546448087431694,0.0,0,0,0,0.0,0.0,0.0,0
1219,1,1,1,897.69,897.69,897.69,0.00273224043715847,0.00546448087431694,0.00819672131147541,1,1,1,897.69,897.69,897.69,0.00273224043715847,0.00546448087431694,0.00819672131147541,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
1386,12,12,12,9713.22,9713.22,9713.22,0.03278688524590164,0.06557377049180328,0.09836065573770492,12,12,12,9713.22,9713.22,9713.22,0.03278688524590164,0.06557377049180328,0.09836065573770492,7,7,7,0.01912568306010929,0.03825136612021858,0.05737704918032787,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
1461,2,2,2,1912.38,1912.38,1912.38,0.00546448087431694,0.01092896174863388,0.01639344262295082,2,2,2,1912.38,1912.38,1912.38,0.00546448087431694,0.01092896174863388,0.01639344262295082,2,2,2,0.00546448087431694,0.01092896174863388,0.01639344262295082,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
1584,1,0,0,835.97,0.0,0.0,0.00273224043715847,0.0,0.0,1,0,0,835.97,0.0,0.0,0.00273224043715847,0.0,0.0,1,0,0,0.00273224043715847,0.0,0.0,0,0,0,0.0,0.0,0.0,0,-1,-1,0.0,0.0,0.0,0
1631,10,9,6,5373.7,4646.29,3208.0000000000005,0.0273224043715847,0.04918032786885246,0.04918032786885246,10,9,6,5373.7,4646.29,3208.0000000000005,0.0273224043715847,0.04918032786885246,0.04918032786885246,6,5,3,0.01639344262295082,0.0273224043715847,0.02459016393442623,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
1750,3,3,3,1830.27,1830.27,1830.27,0.00819672131147541,0.01639344262295082,0.02459016393442623,3,3,3,1830.27,1830.27,1830.27,0.00819672131147541,0.01639344262295082,0.02459016393442623,3,3,3,0.00819672131147541,0.01639344262295082,0.02459016393442623,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,0,0,0,0.0,0.0,0.0,0
