account,num_outgoing_txs_1,num_outgoing_txs_2,num_outgoing_txs_3,sum_outgoing_txs_1,sum_outgoing_txs_2,sum_outgoing_txs_3,freq_outgoing_txs_1,freq_outgoing_txs_2,freq_outgoing_txs_3,num_txs_1,num_txs_2,num_txs_3,sum_txs_1,sum_txs_2,sum_txs_3,freq_txs_1,freq_txs_2,freq_txs_3,num_unique_counterparties_1,num_unique_counterparties_2,num_unique_counterparties_3,freq_unique_counterparties_1,freq_unique_counterparties_2,freq_unique_counterparties_3,num_phone_changes_1,num_phone_changes_2,num_phone_changes_3,freq_phone_changes_1,freq_phone_changes_2,freq_phone_changes_3,num_bank_changes_1,num_bank_changes_2,num_bank_changes_3,freq_bank_changes_1,freq_bank_changes_2,freq_bank_changes_3,is_sar
170,8,8,5,5383.32,5383.32,3742.57,0.02185792349726776,0.04371584699453552,0.040983606557377046,8,8,5,5383.32,5383.32,3742.57,0.02185792349726776,0.04371584699453552,0.040983606557377046,5,5,5,0.01366120218579235,0.0273224043715847,0.040983606557377046,-1,-1,0,-0.00273224043715847,-0.00546448087431694,0.0,1,1,0,0.00273224043715847,0.00546448087431694,0.0,0
357,31,23,19,21659.03,15098.74,12175.93,0.08469945355191257,0.12568306010928962,0.1557377049180328,31,23,19,21659.03,15098.74,12175.93,0.08469945355191257,0.12568306010928962,0.1557377049180328,13,10,9,0.03551912568306011,0.0546448087431694,0.07377049180327869,0,0,0,0.0,0.0,0.0,1,1,0,0.00273224043715847,0.00546448087431694,0.0,0
406,13,8,7,8000.57,5661.91,5204.67,0.03551912568306011,0.04371584699453552,0.05737704918032787,13,8,7,8000.57,5661.91,5204.67,0.03551912568306011,0.04371584699453552,0.05737704918032787,7,6,5,0.01912568306010929,0.03278688524590164,0.040983606557377046,0,0,0,0.0,0.0,0.0,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,0
446,44,35,27,29881.510000000002,24384.510000000006,18929.700000000004,0.12021857923497267,0.1912568306010929,0.22131147540983606,44,35,27,29881.510000000002,24384.510000000006,18929.700000000004,0.12021857923497267,0.1912568306010929,0.22131147540983606,21,21,17,0.05737704918032787,0.11475409836065574,0.13934426229508196,0,0,0,0.0,0.0,0.0,1,0,0,0.00273224043715847,0.0,0.0,0
536,19,15,13,12674.53,10457.09,9612.68,0.05191256830601093,0.08196721311475409,0.10655737704918032,19,15,13,12674.53,10457.09,9612.68,0.05191256830601093,0.08196721311475409,0.10655737704918032,14,12,11,0.03825136612021858,0.06557377049180328,0.09016393442622951,1,1,0,0.00273224043715847,0.00546448087431694,0.0,1,0,0,0.00273224043715847,0.0,0.0,0
579,15,12,10,11360.730000000001,8299.16,7761.13,0.040983606557377046,0.06557377049180328,0.08196721311475409,15,12,10,11360.730000000001,8299.16,7761.13,0.040983606557377046,0.06557377049180328,0.08196721311475409,11,8,7,0.030054644808743168,0.04371584699453552,0.05737704918032787,0,0,0,0.0,0.0,0.0,1,1,0,0.00273224043715847,0.00546448087431694,0.0,0
594,15,13,13,10663.860000000002,9284.05,9284.05,0.040983606557377046,0.07103825136612021,0.10655737704918032,15,13,13,10663.860000000002,9284.05,9284.05,0.040983606557377046,0.07103825136612021,0.10655737704918032,8,6,6,0.02185792349726776,0.03278688524590164,0.04918032786885246,0,0,0,0.0,0.0,0.0,1,0,0,0.00273224043715847,0.0,0.0,0
601,30,24,17,18538.850000000002,14238.2,9986.94,0.08196721311475409,0.13114754098360656,0.13934426229508196,30,24,17,18538.850000000002,14238.2,9986.94,0.08196721311475409,0.13114754098360656,0.13934426229508196,8,8,6,0.02185792349726776,0.04371584699453552,0.04918032786885246,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,0
603,21,19,18,12105.69,11410.37,10686.47,0.05737704918032787,0.10382513661202186,0.14754098360655737,21,19,18,12105.69,11410.37,10686.47,0.05737704918032787,0.10382513661202186,0.14754098360655737,12,12,12,0.03278688524590164,0.06557377049180328,0.09836065573770492,0,0,0,0.0,0.0,0.0,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,0
608,82,80,59,52034.240000000005,50346.59,36471.00000000001,0.22404371584699453,0.4371584699453552,0.48360655737704916,82,80,59,52034.240000000005,50346.59,36471.00000000001,0.22404371584699453,0.4371584699453552,0.48360655737704916,9,9,7,0.02459016393442623,0.04918032786885246,0.05737704918032787,0,0,0,0.0,0.0,0.0,1,0,0,0.00273224043715847,0.0,0.0,0
617,20,17,13,14941.350000000002,12353.730000000001,9580.940000000002,0.0546448087431694,0.09289617486338798,0.10655737704918032,20,17,13,14941.350000000002,12353.730000000001,9580.940000000002,0.0546448087431694,0.09289617486338798,0.10655737704918032,12,10,8,0.03278688524590164,0.0546448087431694,0.06557377049180328,2,1,0,0.00546448087431694,0.00546448087431694,0.0,1,0,0,0.00273224043715847,0.0,0.0,0
795,9,6,4,6936.81,4281.74,2689.34,0.02459016393442623,0.03278688524590164,0.03278688524590164,9,6,4,6936.81,4281.74,2689.34,0.02459016393442623,0.03278688524590164,0.03278688524590164,7,6,4,0.01912568306010929,0.03278688524590164,0.03278688524590164,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,2,1,0,0.00546448087431694,0.00546448087431694,0.0,0
816,24,22,21,18066.18,16805.67,16423.23,0.06557377049180328,0.12021857923497267,0.1721311475409836,24,22,21,18066.18,16805.67,16423.23,0.06557377049180328,0.12021857923497267,0.1721311475409836,5,5,4,0.01366120218579235,0.0273224043715847,0.03278688524590164,0,0,0,0.0,0.0,0.0,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,0
915,29,25,20,22296.249999999996,20269.779999999995,16343.42,0.07923497267759563,0.1366120218579235,0.16393442622950818,29,25,20,22296.249999999996,20269.779999999995,16343.42,0.07923497267759563,0.1366120218579235,0.16393442622950818,16,14,13,0.04371584699453552,0.07650273224043716,0.10655737704918032,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
999,27,23,22,17691.31,15073.939999999999,14824.89,0.07377049180327869,0.12568306010928962,0.18032786885245902,27,23,22,17691.31,15073.939999999999,14824.89,0.07377049180327869,0.12568306010928962,0.18032786885245902,12,12,12,0.03278688524590164,0.06557377049180328,0.09836065573770492,0,0,0,0.0,0.0,0.0,1,1,0,0.00273224043715847,0.00546448087431694,0.0,0
1009,7,4,3,4764.08,2739.3,2273.59,0.01912568306010929,0.02185792349726776,0.02459016393442623,7,4,3,4764.08,2739.3,2273.59,0.01912568306010929,0.02185792349726776,0.02459016393442623,5,4,3,0.01366120218579235,0.02185792349726776,0.02459016393442623,0,0,0,0.0,0.0,0.0,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,0
1015,5,4,3,4560.32,4211.39,3354.22,0.01366120218579235,0.02185792349726776,0.02459016393442623,5,4,3,4560.32,4211.39,3354.22,0.01366120218579235,0.02185792349726776,0.02459016393442623,2,2,2,0.00546448087431694,0.01092896174863388,0.01639344262295082,-1,-1,-2,-0.00273224043715847,-0.00546448087431694,-0.01639344262295082,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,1
1036,8,6,5,6968.549999999999,4942.83,4366.14,0.02185792349726776,0.03278688524590164,0.040983606557377046,8,6,5,6968.549999999999,4942.83,4366.14,0.02185792349726776,0.03278688524590164,0.040983606557377046,4,4,4,0.01092896174863388,0.02185792349726776,0.03278688524590164,0,0,0,0.0,0.0,0.0,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,0
1096,4,3,3,3522.7799999999997,2977.5,2977.5,0.01092896174863388,0.01639344262295082,0.02459016393442623,4,3,3,3522.7799999999997,2977.5,2977.5,0.01092896174863388,0.01639344262295082,0.02459016393442623,3,3,3,0.00819672131147541,0.01639344262295082,0.02459016393442623,0,0,0,0.0,0.0,0.0,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,0
1150,9,7,4,6317.08,4907.199999999999,2417.46,0.02459016393442623,0.03825136612021858,0.03278688524590164,9,7,4,6317.08,4907.199999999999,2417.46,0.02459016393442623,0.03825136612021858,0.03278688524590164,7,7,4,0.01912568306010929,0.03825136612021858,0.03278688524590164,2,2,2,0.00546448087431694,0.01092896174863388,0.01639344262295082,1,0,0,0.00273224043715847,0.0,0.0,0
1337,7,6,4,6215.629999999999,5562.57,3873.9199999999996,0.01912568306010929,0.03278688524590164,0.03278688524590164,7,6,4,6215.629999999999,5562.57,3873.9199999999996,0.01912568306010929,0.03278688524590164,0.03278688524590164,5,5,4,0.01366120218579235,0.0273224043715847,0.03278688524590164,0,0,0,0.0,0.0,0.0,1,1,0,0.00273224043715847,0.00546448087431694,0.0,0
1366,10,7,5,8815.6,5440.400000000001,3665.21,0.0273224043715847,0.03825136612021858,0.040983606557377046,10,7,5,8815.6,5440.400000000001,3665.21,0.0273224043715847,0.03825136612021858,0.040983606557377046,3,3,3,0.00819672131147541,0.01639344262295082,0.02459016393442623,0,0,0,0.0,0.0,0.0,1,0,0,0.00273224043715847,0.0,0.0,0
1466,10,8,6,8555.43,6691.53,4665.139999999999,0.0273224043715847,0.04371584699453552,0.04918032786885246,10,8,6,8555.43,6691.53,4665.139999999999,0.0273224043715847,0.04371584699453552,0.04918032786885246,4,4,4,0.01092896174863388,0.02185792349726776,0.03278688524590164,0,0,0,0.0,0.0,0.0,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,0
1579,9,7,4,3924.0299999999997,3020.0499999999997,1357.1,0.02459016393442623,0.03825136612021858,0.03278688524590164,9,7,4,3924.0299999999997,3020.0499999999997,1357.1,0.02459016393442623,0.03825136612021858,0.03278688524590164,2,2,2,0.00546448087431694,0.01092896174863388,0.01639344262295082,0,0,0,0.0,0.0,0.0,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,0
1622,5,4,4,2569.8300000000004,2055.71,2055.71,0.01366120218579235,0.02185792349726776,0.03278688524590164,5,4,4,2569.8300000000004,2055.71,2055.71,0.01366120218579235,0.02185792349726776,0.03278688524590164,5,4,4,0.01366120218579235,0.02185792349726776,0.03278688524590164,0,0,0,0.0,0.0,0.0,1,0,0,0.00273224043715847,0.0,0.0,0
1626,9,7,6,7006.1900000000005,5536.08,4454.799999999999,0.02459016393442623,0.03825136612021858,0.04918032786885246,9,7,6,7006.1900000000005,5536.08,4454.799999999999,0.02459016393442623,0.03825136612021858,0.04918032786885246,7,6,5,0.01912568306010929,0.03278688524590164,0.040983606557377046,0,0,1,0.0,0.0,0.00819672131147541,1,1,0,0.00273224043715847,0.00546448087431694,0.0,1
1660,3,3,2,1752.21,1752.21,992.17,0.00819672131147541,0.01639344262295082,0.01639344262295082,3,3,2,1752.21,1752.21,992.17,0.00819672131147541,0.01639344262295082,0.01639344262295082,2,2,2,0.00546448087431694,0.01092896174863388,0.01639344262295082,1,1,0,0.00273224043715847,0.00546448087431694,0.0,0,0,0,0.0,0.0,0.0,0
1685,7,7,7,5275.55,5275.55,5275.55,0.01912568306010929,0.03825136612021858,0.05737704918032787,7,7,7,5275.55,5275.55,5275.55,0.01912568306010929,0.03825136612021858,0.05737704918032787,3,3,3,0.00819672131147541,0.01639344262295082,0.02459016393442623,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,0
1764,3,3,1,2079.91,2079.91,825.89,0.00819672131147541,0.01639344262295082,0.00819672131147541,3,3,1,2079.91,2079.91,825.89,0.00819672131147541,0.01639344262295082,0.00819672131147541,2,2,1,0.00546448087431694,0.01092896174863388,0.00819672131147541,0,0,0,0.0,0.0,0.0,1,1,0,0.00273224043715847,0.00546448087431694,0.0,0
2057,2,2,2,1441.71,1441.71,1441.71,0.00546448087431694,0.01092896174863388,0.01639344262295082,2,2,2,1441.71,1441.71,1441.71,0.00546448087431694,0.01092896174863388,0.01639344262295082,2,2,2,0.00546448087431694,0.01092896174863388,0.01639344262295082,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
2270,11,6,5,7578.37,3775.5299999999997,2754.24,0.030054644808743168,0.03278688524590164,0.040983606557377046,11,6,5,7578.37,3775.5299999999997,2754.24,0.030054644808743168,0.03278688524590164,0.040983606557377046,7,5,4,0.01912568306010929,0.0273224043715847,0.03278688524590164,0,0,0,0.0,0.0,0.0,1,1,0,0.00273224043715847,0.00546448087431694,0.0,0
2345,7,5,5,3931.92,3223.16,3223.16,0.01912568306010929,0.0273224043715847,0.040983606557377046,7,5,5,3931.92,3223.16,3223.16,0.01912568306010929,0.0273224043715847,0.040983606557377046,6,5,5,0.01639344262295082,0.0273224043715847,0.040983606557377046,0,0,0,0.0,0.0,0.0,1,0,0,0.00273224043715847,0.0,0.0,0
2394,11,9,6,4400.389999999999,3336.34,2367.0,0.030054644808743168,0.04918032786885246,0.04918032786885246,11,9,6,4400.389999999999,3336.34,2367.0,0.030054644808743168,0.04918032786885246,0.04918032786885246,2,2,2,0.00546448087431694,0.01092896174863388,0.01639344262295082,0,0,0,0.0,0.0,0.0,1,1,0,0.00273224043715847,0.00546448087431694,0.0,0
2500,3,2,1,1555.97,980.01,700.74,0.00819672131147541,0.01092896174863388,0.00819672131147541,3,2,1,1555.97,980.01,700.74,0.00819672131147541,0.01092896174863388,0.00819672131147541,3,2,1,0.00819672131147541,0.01092896174863388,0.00819672131147541,0,0,0,0.0,0.0,0.0,1,1,0,0.00273224043715847,0.00546448087431694,0.0,0
2560,8,8,4,5973.77,5973.77,3501.06,0.02185792349726776,0.04371584699453552,0.03278688524590164,8,8,4,5973.77,5973.77,3501.06,0.02185792349726776,0.04371584699453552,0.03278688524590164,7,7,4,0.01912568306010929,0.03825136612021858,0.03278688524590164,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,0,0,0,0.0,0.0,0.0,0
2573,2,2,2,1334.3899999999999,1334.3899999999999,1334.3899999999999,0.00546448087431694,0.01092896174863388,0.01639344262295082,2,2,2,1334.3899999999999,1334.3899999999999,1334.3899999999999,0.00546448087431694,0.01092896174863388,0.01639344262295082,2,2,2,0.00546448087431694,0.01092896174863388,0.01639344262295082,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
2602,8,7,6,6313.66,5473.9800000000005,4869.12,0.02185792349726776,0.03825136612021858,0.04918032786885246,8,7,6,6313.66,5473.9800000000005,4869.12,0.02185792349726776,0.03825136612021858,0.04918032786885246,8,7,6,0.02185792349726776,0.03825136612021858,0.04918032786885246,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
2651,3,2,2,2697.39,1530.0900000000001,1530.0900000000001,0.00819672131147541,0.01092896174863388,0.01639344262295082,3,2,2,2697.39,1530.0900000000001,1530.0900000000001,0.00819672131147541,0.01092896174863388,0.01639344262295082,3,2,2,0.00819672131147541,0.01092896174863388,0.01639344262295082,0,0,0,0.0,0.0,0.0,1,0,0,0.00273224043715847,0.0,0.0,0
