account,num_outgoing_txs_1,num_outgoing_txs_2,num_outgoing_txs_3,sum_outgoing_txs_1,sum_outgoing_txs_2,sum_outgoing_txs_3,freq_outgoing_txs_1,freq_outgoing_txs_2,freq_outgoing_txs_3,num_txs_1,num_txs_2,num_txs_3,sum_txs_1,sum_txs_2,sum_txs_3,freq_txs_1,freq_txs_2,freq_txs_3,num_unique_counterparties_1,num_unique_counterparties_2,num_unique_counterparties_3,freq_unique_counterparties_1,freq_unique_counterparties_2,freq_unique_counterparties_3,num_phone_changes_1,num_phone_changes_2,num_phone_changes_3,freq_phone_changes_1,freq_phone_changes_2,freq_phone_changes_3,num_bank_changes_1,num_bank_changes_2,num_bank_changes_3,freq_bank_changes_1,freq_bank_changes_2,freq_bank_changes_3,is_sar
18,10,10,10,7364.4400000000005,7364.4400000000005,7364.4400000000005,0.0273224043715847,0.0546448087431694,0.08196721311475409,10,10,10,7364.4400000000005,7364.4400000000005,7364.4400000000005,0.0273224043715847,0.0546448087431694,0.08196721311475409,10,10,10,0.0273224043715847,0.0546448087431694,0.08196721311475409,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,0,0,0,0.0,0.0,0.0,0
80,44,42,37,24243.719999999998,23629.82,20598.759999999995,0.12021857923497267,0.22950819672131148,0.30327868852459017,44,42,37,24243.719999999998,23629.82,20598.759999999995,0.12021857923497267,0.22950819672131148,0.30327868852459017,8,8,8,0.02185792349726776,0.04371584699453552,0.06557377049180328,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
304,14,13,13,7558.360000000001,6926.670000000001,6926.670000000001,0.03825136612021858,0.07103825136612021,0.10655737704918032,14,13,13,7558.360000000001,6926.670000000001,6926.670000000001,0.03825136612021858,0.07103825136612021,0.10655737704918032,9,8,8,0.02459016393442623,0.04371584699453552,0.06557377049180328,0,0,0,0.0,0.0,0.0,1,0,0,0.00273224043715847,0.0,0.0,0
493,2,2,2,988.79,988.79,988.79,0.00546448087431694,0.01092896174863388,0.01639344262295082,2,2,2,988.79,988.79,988.79,0.00546448087431694,0.01092896174863388,0.01639344262295082,2,2,2,0.00546448087431694,0.01092896174863388,0.01639344262295082,0,0,0,0.0,0.0,0.0,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,0
499,14,13,13,9114.03,8488.070000000002,8488.070000000002,0.03825136612021858,0.07103825136612021,0.10655737704918032,14,13,13,9114.03,8488.070000000002,8488.070000000002,0.03825136612021858,0.07103825136612021,0.10655737704918032,11,10,10,0.030054644808743168,0.0546448087431694,0.08196721311475409,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,1,0,0,0.00273224043715847,0.0,0.0,0
602,1,1,1,625.51,625.51,625.51,0.00273224043715847,0.00546448087431694,0.00819672131147541,1,1,1,625.51,625.51,625.51,0.00273224043715847,0.00546448087431694,0.00819672131147541,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
624,19,17,13,12286.35,11153.71,8578.92,0.05191256830601093,0.09289617486338798,0.10655737704918032,19,17,13,12286.35,11153.71,8578.92,0.05191256830601093,0.09289617486338798,0.10655737704918032,12,10,9,0.03278688524590164,0.0546448087431694,0.07377049180327869,0,0,0,0.0,0.0,0.0,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,0
820,6,6,5,3179.8599999999997,3179.8599999999997,2790.58,0.01639344262295082,0.03278688524590164,0.040983606557377046,6,6,5,3179.8599999999997,3179.8599999999997,2790.58,0.01639344262295082,0.03278688524590164,0.040983606557377046,6,6,5,0.01639344262295082,0.03278688524590164,0.040983606557377046,-1,-1,-1,-0.00273224043715847,-0.00546448087431694,-0.00819672131147541,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,0
944,12,11,11,7290.09,6594.01,6594.01,0.03278688524590164,0.060109289617486336,0.09016393442622951,12,11,11,7290.09,6594.01,6594.01,0.03278688524590164,0.060109289617486336,0.09016393442622951,7,6,6,0.01912568306010929,0.03278688524590164,0.04918032786885246,0,0,0,0.0,0.0,0.0,1,0,0,0.00273224043715847,0.0,0.0,0
950,16,16,15,8845.51,8845.51,8266.849999999999,0.04371584699453552,0.08743169398907104,0.12295081967213115,16,16,15,8845.51,8845.51,8266.849999999999,0.04371584699453552,0.08743169398907104,0.12295081967213115,12,12,11,0.03278688524590164,0.06557377049180328,0.09016393442622951,0,0,0,0.0,0.0,0.0,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,0
