account,num_outgoing_txs_1,num_outgoing_txs_2,num_outgoing_txs_3,sum_outgoing_txs_1,sum_outgoing_txs_2,sum_outgoing_txs_3,freq_outgoing_txs_1,freq_outgoing_txs_2,freq_outgoing_txs_3,num_txs_1,num_txs_2,num_txs_3,sum_txs_1,sum_txs_2,sum_txs_3,freq_txs_1,freq_txs_2,freq_txs_3,num_unique_counterparties_1,num_unique_counterparties_2,num_unique_counterparties_3,freq_unique_counterparties_1,freq_unique_counterparties_2,freq_unique_counterparties_3,num_phone_changes_1,num_phone_changes_2,num_phone_changes_3,freq_phone_changes_1,freq_phone_changes_2,freq_phone_changes_3,num_bank_changes_1,num_bank_changes_2,num_bank_changes_3,freq_bank_changes_1,freq_bank_changes_2,freq_bank_changes_3,is_sar
58,23,23,23,15465.620000000004,15465.620000000004,15465.620000000004,0.06284153005464481,0.12568306010928962,0.1885245901639344,23,23,23,15465.620000000004,15465.620000000004,15465.620000000004,0.06284153005464481,0.12568306010928962,0.1885245901639344,7,7,7,0.01912568306010929,0.03825136612021858,0.05737704918032787,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
253,14,14,14,11265.21,11265.21,11265.21,0.03825136612021858,0.07650273224043716,0.11475409836065574,14,14,14,11265.21,11265.21,11265.21,0.03825136612021858,0.07650273224043716,0.11475409836065574,11,11,11,0.030054644808743168,0.060109289617486336,0.09016393442622951,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
262,15,15,15,8282.19,8282.19,8282.19,0.040983606557377046,0.08196721311475409,0.12295081967213115,15,15,15,8282.19,8282.19,8282.19,0.040983606557377046,0.08196721311475409,0.12295081967213115,7,7,7,0.01912568306010929,0.03825136612021858,0.05737704918032787,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
320,12,10,8,7723.519999999999,6444.950000000001,5274.860000000001,0.03278688524590164,0.0546448087431694,0.06557377049180328,12,10,8,7723.519999999999,6444.950000000001,5274.860000000001,0.03278688524590164,0.0546448087431694,0.06557377049180328,10,8,7,0.0273224043715847,0.04371584699453552,0.05737704918032787,1,0,0,0.00273224043715847,0.0,0.0,0,0,0,0.0,0.0,0.0,0
347,40,39,27,21598.97,21143.05,15256.189999999999,0.1092896174863388,0.21311475409836064,0.22131147540983606,40,39,27,21598.97,21143.05,15256.189999999999,0.1092896174863388,0.21311475409836064,0.22131147540983606,21,20,17,0.05737704918032787,0.1092896174863388,0.13934426229508196,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
485,3,3,3,2091.4,2091.4,2091.4,0.00819672131147541,0.01639344262295082,0.02459016393442623,3,3,3,2091.4,2091.4,2091.4,0.00819672131147541,0.01639344262295082,0.02459016393442623,3,3,3,0.00819672131147541,0.01639344262295082,0.02459016393442623,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
491,5,5,5,4050.41,4050.41,4050.41,0.01366120218579235,0.0273224043715847,0.040983606557377046,5,5,5,4050.41,4050.41,4050.41,0.01366120218579235,0.0273224043715847,0.040983606557377046,5,5,5,0.01366120218579235,0.0273224043715847,0.040983606557377046,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
619,1,1,1,711.27,711.27,711.27,0.00273224043715847,0.00546448087431694,0.00819672131147541,1,1,1,711.27,711.27,711.27,0.00273224043715847,0.00546448087431694,0.00819672131147541,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
626,8,8,8,4579.54,4579.54,4579.54,0.02185792349726776,0.04371584699453552,0.06557377049180328,8,8,8,4579.54,4579.54,4579.54,0.02185792349726776,0.04371584699453552,0.06557377049180328,4,4,4,0.01092896174863388,0.02185792349726776,0.03278688524590164,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
649,3,3,3,1642.52,1642.52,1642.52,0.00819672131147541,0.01639344262295082,0.02459016393442623,3,3,3,1642.52,1642.52,1642.52,0.00819672131147541,0.01639344262295082,0.02459016393442623,3,3,3,0.00819672131147541,0.01639344262295082,0.02459016393442623,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
705,16,16,12,10832.14,10832.14,7787.66,0.04371584699453552,0.08743169398907104,0.09836065573770492,16,16,12,10832.14,10832.14,7787.66,0.04371584699453552,0.08743169398907104,0.09836065573770492,14,14,10,0.03825136612021858,0.07650273224043716,0.08196721311475409,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
814,6,6,6,5022.2699999999995,5022.2699999999995,5022.2699999999995,0.01639344262295082,0.03278688524590164,0.04918032786885246,6,6,6,5022.2699999999995,5022.2699999999995,5022.2699999999995,0.01639344262295082,0.03278688524590164,0.04918032786885246,5,5,5,0.01366120218579235,0.0273224043715847,0.040983606557377046,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
1031,12,11,9,7010.1,6534.76,5244.36,0.03278688524590164,0.060109289617486336,0.07377049180327869,12,11,9,7010.1,6534.76,5244.36,0.03278688524590164,0.060109289617486336,0.07377049180327869,4,4,3,0.01092896174863388,0.02185792349726776,0.02459016393442623,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
1121,2,2,2,2153.69,2153.69,2153.69,0.00546448087431694,0.01092896174863388,0.01639344262295082,2,2,2,2153.69,2153.69,2153.69,0.00546448087431694,0.01092896174863388,0.01639344262295082,2,2,2,0.00546448087431694,0.01092896174863388,0.01639344262295082,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
1157,6,6,6,4276.780000000001,4276.780000000001,4276.780000000001,0.01639344262295082,0.03278688524590164,0.04918032786885246,6,6,6,4276.780000000001,4276.780000000001,4276.780000000001,0.01639344262295082,0.03278688524590164,0.04918032786885246,3,3,3,0.00819672131147541,0.01639344262295082,0.02459016393442623,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
1270,7,5,3,4788.52,3833.86,1901.5,0.01912568306010929,0.0273224043715847,0.02459016393442623,7,5,3,4788.52,3833.86,1901.5,0.01912568306010929,0.0273224043715847,0.02459016393442623,3,3,2,0.00819672131147541,0.01639344262295082,0.01639344262295082,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
1721,11,11,11,7321.52,7321.52,7321.52,0.030054644808743168,0.060109289617486336,0.09016393442622951,11,11,11,7321.52,7321.52,7321.52,0.030054644808743168,0.060109289617486336,0.09016393442622951,6,6,6,0.01639344262295082,0.03278688524590164,0.04918032786885246,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,0,0,0,0.0,0.0,0.0,0
1743,9,9,6,5118.989999999999,5118.989999999999,3722.05,0.02459016393442623,0.04918032786885246,0.04918032786885246,9,9,6,5118.989999999999,5118.989999999999,3722.05,0.02459016393442623,0.04918032786885246,0.04918032786885246,8,8,5,0.02185792349726776,0.04371584699453552,0.040983606557377046,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
1787,21,21,17,4984.77,4984.77,4264.33,0.05737704918032787,0.11475409836065574,0.13934426229508196,21,21,17,4984.77,4984.77,4264.33,0.05737704918032787,0.11475409836065574,0.13934426229508196,2,2,2,0.00546448087431694,0.01092896174863388,0.01639344262295082,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,0,0,0,0.0,0.0,0.0,0
1999,7,7,6,4245.9,4245.9,3441.0299999999997,0.01912568306010929,0.03825136612021858,0.04918032786885246,7,7,6,4245.9,4245.9,3441.0299999999997,0.01912568306010929,0.03825136612021858,0.04918032786885246,7,7,6,0.01912568306010929,0.03825136612021858,0.04918032786885246,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
