account,num_outgoing_txs_1,num_outgoing_txs_2,num_outgoing_txs_3,sum_outgoing_txs_1,sum_outgoing_txs_2,sum_outgoing_txs_3,freq_outgoing_txs_1,freq_outgoing_txs_2,freq_outgoing_txs_3,num_txs_1,num_txs_2,num_txs_3,sum_txs_1,sum_txs_2,sum_txs_3,freq_txs_1,freq_txs_2,freq_txs_3,num_unique_counterparties_1,num_unique_counterparties_2,num_unique_counterparties_3,freq_unique_counterparties_1,freq_unique_counterparties_2,freq_unique_counterparties_3,num_phone_changes_1,num_phone_changes_2,num_phone_changes_3,freq_phone_changes_1,freq_phone_changes_2,freq_phone_changes_3,num_bank_changes_1,num_bank_changes_2,num_bank_changes_3,freq_bank_changes_1,freq_bank_changes_2,freq_bank_changes_3,is_sar
77,9,9,9,4936.570000000001,4936.570000000001,4936.570000000001,0.02459016393442623,0.04918032786885246,0.07377049180327869,9,9,9,4936.570000000001,4936.570000000001,4936.570000000001,0.02459016393442623,0.04918032786885246,0.07377049180327869,7,7,7,0.01912568306010929,0.03825136612021858,0.05737704918032787,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
156,6,6,6,2748.2,2748.2,2748.2,0.01639344262295082,0.03278688524590164,0.04918032786885246,6,6,6,2748.2,2748.2,2748.2,0.01639344262295082,0.03278688524590164,0.04918032786885246,5,5,5,0.01366120218579235,0.0273224043715847,0.040983606557377046,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
201,7,7,7,4455.76,4455.76,4455.76,0.01912568306010929,0.03825136612021858,0.05737704918032787,7,7,7,4455.76,4455.76,4455.76,0.01912568306010929,0.03825136612021858,0.05737704918032787,7,7,7,0.01912568306010929,0.03825136612021858,0.05737704918032787,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
360,9,9,9,5987.5199999999995,5987.5199999999995,5987.5199999999995,0.02459016393442623,0.04918032786885246,0.07377049180327869,9,9,9,5987.5199999999995,5987.5199999999995,5987.5199999999995,0.02459016393442623,0.04918032786885246,0.07377049180327869,7,7,7,0.01912568306010929,0.03825136612021858,0.05737704918032787,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
383,5,5,5,4018.75,4018.75,4018.75,0.01366120218579235,0.0273224043715847,0.040983606557377046,5,5,5,4018.75,4018.75,4018.75,0.01366120218579235,0.0273224043715847,0.040983606557377046,3,3,3,0.00819672131147541,0.01639344262295082,0.02459016393442623,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
429,13,13,13,8527.58,8527.58,8527.58,0.03551912568306011,0.07103825136612021,0.10655737704918032,13,13,13,8527.58,8527.58,8527.58,0.03551912568306011,0.07103825136612021,0.10655737704918032,8,8,8,0.02185792349726776,0.04371584699453552,0.06557377049180328,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
449,3,3,3,1961.75,1961.75,1961.75,0.00819672131147541,0.01639344262295082,0.02459016393442623,3,3,3,1961.75,1961.75,1961.75,0.00819672131147541,0.01639344262295082,0.02459016393442623,3,3,3,0.00819672131147541,0.01639344262295082,0.02459016393442623,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
740,12,12,12,9915.25,9915.25,9915.25,0.03278688524590164,0.06557377049180328,0.09836065573770492,12,12,12,9915.25,9915.25,9915.25,0.03278688524590164,0.06557377049180328,0.09836065573770492,6,6,6,0.01639344262295082,0.03278688524590164,0.04918032786885246,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
762,36,36,30,26446.530000000002,26446.530000000002,22439.730000000003,0.09836065573770492,0.19672131147540983,0.2459016393442623,36,36,30,26446.530000000002,26446.530000000002,22439.730000000003,0.09836065573770492,0.19672131147540983,0.2459016393442623,8,8,7,0.02185792349726776,0.04371584699453552,0.05737704918032787,1,1,0,0.00273224043715847,0.00546448087431694,0.0,0,0,0,0.0,0.0,0.0,0
767,16,11,9,8084.25,5301.51,3536.7799999999997,0.04371584699453552,0.060109289617486336,0.07377049180327869,16,11,9,8084.25,5301.51,3536.7799999999997,0.04371584699453552,0.060109289617486336,0.07377049180327869,7,5,5,0.01912568306010929,0.0273224043715847,0.040983606557377046,1,0,0,0.00273224043715847,0.0,0.0,0,0,0,0.0,0.0,0.0,0
