account,num_outgoing_txs_1,num_outgoing_txs_2,num_outgoing_txs_3,sum_outgoing_txs_1,sum_outgoing_txs_2,sum_outgoing_txs_3,freq_outgoing_txs_1,freq_outgoing_txs_2,freq_outgoing_txs_3,num_txs_1,num_txs_2,num_txs_3,sum_txs_1,sum_txs_2,sum_txs_3,freq_txs_1,freq_txs_2,freq_txs_3,num_unique_counterparties_1,num_unique_counterparties_2,num_unique_counterparties_3,freq_unique_counterparties_1,freq_unique_counterparties_2,freq_unique_counterparties_3,num_phone_changes_1,num_phone_changes_2,num_phone_changes_3,freq_phone_changes_1,freq_phone_changes_2,freq_phone_changes_3,num_bank_changes_1,num_bank_changes_2,num_bank_changes_3,freq_bank_changes_1,freq_bank_changes_2,freq_bank_changes_3,is_sar
54,42,39,31,28933.73,27020.45,21172.88,0.11475409836065574,0.21311475409836064,0.2540983606557377,42,39,31,28933.73,27020.45,21172.88,0.11475409836065574,0.21311475409836064,0.2540983606557377,13,13,11,0.03551912568306011,0.07103825136612021,0.09016393442622951,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,1,0,0,0.00273224043715847,0.0,0.0,0
109,9,9,8,4007.1800000000003,4007.1800000000003,3348.8199999999997,0.02459016393442623,0.04918032786885246,0.06557377049180328,9,9,8,4007.1800000000003,4007.1800000000003,3348.8199999999997,0.02459016393442623,0.04918032786885246,0.06557377049180328,4,4,3,0.01092896174863388,0.02185792349726776,0.02459016393442623,0,0,-1,0.0,0.0,-0.00819672131147541,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,0
140,7,6,6,4149.349999999999,3251.75,3251.75,0.01912568306010929,0.03278688524590164,0.04918032786885246,7,6,6,4149.349999999999,3251.75,3251.75,0.01912568306010929,0.03278688524590164,0.04918032786885246,6,5,5,0.01639344262295082,0.0273224043715847,0.040983606557377046,-1,0,0,-0.00273224043715847,0.0,0.0,1,0,0,0.00273224043715847,0.0,0.0,0
365,21,20,20,14590.580000000002,13815.630000000001,13815.630000000001,0.05737704918032787,0.1092896174863388,0.16393442622950818,21,20,20,14590.580000000002,13815.630000000001,13815.630000000001,0.05737704918032787,0.1092896174863388,0.16393442622950818,9,9,9,0.02459016393442623,0.04918032786885246,0.07377049180327869,0,0,0,0.0,0.0,0.0,1,0,0,0.00273224043715847,0.0,0.0,0
411,6,5,5,4482.41,3476.5199999999995,3476.5199999999995,0.01639344262295082,0.0273224043715847,0.040983606557377046,6,5,5,4482.41,3476.5199999999995,3476.5199999999995,0.01639344262295082,0.0273224043715847,0.040983606557377046,5,4,4,0.01366120218579235,0.02185792349726776,0.03278688524590164,0,0,0,0.0,0.0,0.0,1,0,0,0.00273224043715847,0.0,0.0,0
447,11,11,8,8547.91,8547.91,5840.29,0.030054644808743168,0.060109289617486336,0.06557377049180328,11,11,8,8547.91,8547.91,5840.29,0.030054644808743168,0.060109289617486336,0.06557377049180328,9,9,8,0.02459016393442623,0.04918032786885246,0.06557377049180328,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,0,0,0,0.0,0.0,0.0,0
507,9,9,9,6509.879999999999,6509.879999999999,6509.879999999999,0.02459016393442623,0.04918032786885246,0.07377049180327869,9,9,9,6509.879999999999,6509.879999999999,6509.879999999999,0.02459016393442623,0.04918032786885246,0.07377049180327869,6,6,6,0.01639344262295082,0.03278688524590164,0.04918032786885246,-1,-1,-1,-0.00273224043715847,-0.00546448087431694,-0.00819672131147541,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,0
534,11,11,11,6327.86,6327.86,6327.86,0.030054644808743168,0.060109289617486336,0.09016393442622951,11,11,11,6327.86,6327.86,6327.86,0.030054644808743168,0.060109289617486336,0.09016393442622951,8,8,8,0.02185792349726776,0.04371584699453552,0.06557377049180328,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0
598,20,19,17,11995.350000000002,11820.580000000002,10990.86,0.0546448087431694,0.10382513661202186,0.13934426229508196,20,19,17,11995.350000000002,11820.580000000002,10990.86,0.0546448087431694,0.10382513661202186,0.13934426229508196,13,13,11,0.03551912568306011,0.07103825136612021,0.09016393442622951,0,-1,-1,0.0,-0.00546448087431694,-0.00819672131147541,1,1,1,0.00273224043715847,0.00546448087431694,0.00819672131147541,0
614,14,14,11,8906.439999999999,8906.439999999999,7472.400000000001,0.03825136612021858,0.07650273224043716,0.09016393442622951,14,14,11,8906.439999999999,8906.439999999999,7472.400000000001,0.03825136612021858,0.07650273224043716,0.09016393442622951,8,8,7,0.02185792349726776,0.04371584699453552,0.05737704918032787,0,0,0,0.0,0.0,0.0,1,1,0,0.00273224043715847,0.00546448087431694,0.0,0
