account,num_outgoing_txs_1,num_outgoing_txs_2,num_outgoing_txs_3,sum_outgoing_txs_1,sum_outgoing_txs_2,sum_outgoing_txs_3,freq_outgoing_txs_1,freq_outgoing_txs_2,freq_outgoing_txs_3,num_txs_1,num_txs_2,num_txs_3,sum_txs_1,sum_txs_2,sum_txs_3,freq_txs_1,freq_txs_2,freq_txs_3,num_unique_counterparties_1,num_unique_counterparties_2,num_unique_counterparties_3,freq_unique_counterparties_1,freq_unique_counterparties_2,freq_unique_counterparties_3,num_phone_changes_1,num_phone_changes_2,num_phone_changes_3,freq_phone_changes_1,freq_phone_changes_2,freq_phone_changes_3,num_bank_changes_1,num_bank_changes_2,num_bank_changes_3,freq_bank_changes_1,freq_bank_changes_2,freq_bank_changes_3,is_sar
0.0,23.0,16.0,11.0,17408.9,12291.619999999999,9450.529999999999,0.06284153005464481,0.08743169398907104,0.09016393442622951,23.0,16.0,11.0,17408.9,12291.619999999999,9450.529999999999,0.06284153005464481,0.08743169398907104,0.09016393442622951,17.0,12.0,8.0,0.04644808743169399,0.06557377049180328,0.06557377049180328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,16.0,13.0,10.0,10276.45,8276.86,7302.08,0.04371584699453552,0.07103825136612021,0.08196721311475409,16.0,13.0,10.0,10276.45,8276.86,7302.08,0.04371584699453552,0.07103825136612021,0.08196721311475409,10.0,9.0,8.0,0.0273224043715847,0.04918032786885246,0.06557377049180328,1.0,0.0,0.0,0.00273224043715847,0.0,0.0,1.0,0.0,0.0,0.00273224043715847,0.0,0.0,0.0
2.0,36.0,28.0,25.0,24120.01,18558.01,16300.509999999998,0.09836065573770492,0.15300546448087432,0.20491803278688525,36.0,28.0,25.0,24120.01,18558.01,16300.509999999998,0.09836065573770492,0.15300546448087432,0.20491803278688525,24.0,20.0,18.0,0.06557377049180328,0.1092896174863388,0.14754098360655737,0.0,-1.0,-2.0,0.0,-0.00546448087431694,-0.01639344262295082,1.0,1.0,1.0,0.00273224043715847,0.00546448087431694,0.00819672131147541,1.0
3.0,29.0,27.0,25.0,23711.870000000003,22783.49,22048.72,0.07923497267759563,0.14754098360655737,0.20491803278688525,29.0,27.0,25.0,23711.870000000003,22783.49,22048.72,0.07923497267759563,0.14754098360655737,0.20491803278688525,11.0,10.0,10.0,0.030054644808743168,0.0546448087431694,0.08196721311475409,1.0,0.0,0.0,0.00273224043715847,0.0,0.0,1.0,1.0,1.0,0.00273224043715847,0.00546448087431694,0.00819672131147541,1.0
4.0,24.0,19.0,13.0,15988.73,13383.630000000001,8560.15,0.06557377049180328,0.10382513661202186,0.10655737704918032,24.0,19.0,13.0,15988.73,13383.630000000001,8560.15,0.06557377049180328,0.10382513661202186,0.10655737704918032,12.0,11.0,6.0,0.03278688524590164,0.060109289617486336,0.04918032786885246,0.0,-2.0,0.0,0.0,-0.01092896174863388,0.0,1.0,1.0,0.0,0.00273224043715847,0.00546448087431694,0.0,0.0
5.0,16.0,14.0,12.0,17298.57,14946.889999999998,12165.33,0.04371584699453552,0.07650273224043716,0.09836065573770492,16.0,14.0,12.0,17298.57,14946.889999999998,12165.33,0.04371584699453552,0.07650273224043716,0.09836065573770492,14.0,13.0,11.0,0.03825136612021858,0.07103825136612021,0.09016393442622951,0.0,1.0,0.0,0.0,0.00546448087431694,0.0,1.0,0.0,0.0,0.00273224043715847,0.0,0.0,1.0
6.0,42.0,34.0,30.0,26062.89,20765.81,18430.55,0.11475409836065574,0.18579234972677597,0.2459016393442623,42.0,34.0,30.0,26062.89,20765.81,18430.55,0.11475409836065574,0.18579234972677597,0.2459016393442623,18.0,17.0,16.0,0.04918032786885246,0.09289617486338798,0.13114754098360656,1.0,0.0,0.0,0.00273224043715847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,28.0,21.0,18.0,18829.070000000003,13011.83,11292.4,0.07650273224043716,0.11475409836065574,0.14754098360655737,28.0,21.0,18.0,18829.070000000003,13011.83,11292.4,0.07650273224043716,0.11475409836065574,0.14754098360655737,14.0,11.0,10.0,0.03825136612021858,0.060109289617486336,0.08196721311475409,1.0,0.0,-1.0,0.00273224043715847,0.0,-0.00819672131147541,1.0,1.0,1.0,0.00273224043715847,0.00546448087431694,0.00819672131147541,1.0
8.0,38.0,26.0,21.0,23164.100000000002,16491.61,12896.259999999998,0.10382513661202186,0.14207650273224043,0.1721311475409836,38.0,26.0,21.0,23164.100000000002,16491.61,12896.259999999998,0.10382513661202186,0.14207650273224043,0.1721311475409836,27.0,21.0,18.0,0.07377049180327869,0.11475409836065574,0.14754098360655737,1.0,1.0,1.0,0.00273224043715847,0.00546448087431694,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,20.0,16.0,13.0,15331.640000000001,11297.960000000001,9821.490000000002,0.0546448087431694,0.08743169398907104,0.10655737704918032,20.0,16.0,13.0,15331.640000000001,11297.960000000001,9821.490000000002,0.0546448087431694,0.08743169398907104,0.10655737704918032,16.0,12.0,10.0,0.04371584699453552,0.06557377049180328,0.08196721311475409,2.0,2.0,1.0,0.00546448087431694,0.01092896174863388,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.0,11.0,9.0,7.0,6260.06,4939.29,3892.4700000000003,0.030054644808743168,0.04918032786885246,0.05737704918032787,11.0,9.0,7.0,6260.06,4939.29,3892.4700000000003,0.030054644808743168,0.04918032786885246,0.05737704918032787,8.0,6.0,6.0,0.02185792349726776,0.03278688524590164,0.04918032786885246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,42.0,34.0,28.0,24832.78,20187.64,17232.18,0.11475409836065574,0.18579234972677597,0.22950819672131148,42.0,34.0,28.0,24832.78,20187.64,17232.18,0.11475409836065574,0.18579234972677597,0.22950819672131148,15.0,14.0,13.0,0.040983606557377046,0.07650273224043716,0.10655737704918032,1.0,1.0,0.0,0.00273224043715847,0.00546448087431694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,38.0,33.0,28.0,16489.61,14092.89,12009.490000000002,0.10382513661202186,0.18032786885245902,0.22950819672131148,38.0,33.0,28.0,16489.61,14092.89,12009.490000000002,0.10382513661202186,0.18032786885245902,0.22950819672131148,14.0,13.0,11.0,0.03825136612021858,0.07103825136612021,0.09016393442622951,1.0,1.0,1.0,0.00273224043715847,0.00546448087431694,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,26.0,21.0,16.0,16540.31,13473.02,10811.43,0.07103825136612021,0.11475409836065574,0.13114754098360656,26.0,21.0,16.0,16540.31,13473.02,10811.43,0.07103825136612021,0.11475409836065574,0.13114754098360656,19.0,16.0,14.0,0.05191256830601093,0.08743169398907104,0.11475409836065574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,23.0,20.0,17.0,13683.350000000002,12236.050000000001,10390.85,0.06284153005464481,0.1092896174863388,0.13934426229508196,23.0,20.0,17.0,13683.350000000002,12236.050000000001,10390.85,0.06284153005464481,0.1092896174863388,0.13934426229508196,15.0,14.0,14.0,0.040983606557377046,0.07650273224043716,0.11475409836065574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,26.0,20.0,18.0,15501.119999999999,10728.990000000002,9734.21,0.07103825136612021,0.1092896174863388,0.14754098360655737,26.0,20.0,18.0,15501.119999999999,10728.990000000002,9734.21,0.07103825136612021,0.1092896174863388,0.14754098360655737,15.0,11.0,10.0,0.040983606557377046,0.060109289617486336,0.08196721311475409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,21.0,18.0,13.0,14308.470000000001,12385.48,8128.3,0.05737704918032787,0.09836065573770492,0.10655737704918032,21.0,18.0,13.0,14308.470000000001,12385.48,8128.3,0.05737704918032787,0.09836065573770492,0.10655737704918032,14.0,11.0,9.0,0.03825136612021858,0.060109289617486336,0.07377049180327869,1.0,1.0,1.0,0.00273224043715847,0.00546448087431694,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17.0,24.0,19.0,14.0,14912.75,11631.95,9244.92,0.06557377049180328,0.10382513661202186,0.11475409836065574,24.0,19.0,14.0,14912.75,11631.95,9244.92,0.06557377049180328,0.10382513661202186,0.11475409836065574,20.0,17.0,14.0,0.0546448087431694,0.09289617486338798,0.11475409836065574,1.0,0.0,0.0,0.00273224043715847,0.0,0.0,1.0,1.0,0.0,0.00273224043715847,0.00546448087431694,0.0,1.0
18.0,24.0,16.0,12.0,14254.310000000001,9020.64,6682.719999999999,0.06557377049180328,0.08743169398907104,0.09836065573770492,24.0,16.0,12.0,14254.310000000001,9020.64,6682.719999999999,0.06557377049180328,0.08743169398907104,0.09836065573770492,11.0,7.0,6.0,0.030054644808743168,0.03825136612021858,0.04918032786885246,1.0,1.0,0.0,0.00273224043715847,0.00546448087431694,0.0,1.0,1.0,0.0,0.00273224043715847,0.00546448087431694,0.0,1.0
19.0,23.0,14.0,11.0,12743.960000000001,7183.52,4695.119999999999,0.06284153005464481,0.07650273224043716,0.09016393442622951,23.0,14.0,11.0,12743.960000000001,7183.52,4695.119999999999,0.06284153005464481,0.07650273224043716,0.09016393442622951,15.0,10.0,7.0,0.040983606557377046,0.0546448087431694,0.05737704918032787,1.0,0.0,0.0,0.00273224043715847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
