2023-07-02_21:42:13: {'batch_size': 512, 'beta': 0.1, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 0.0, 'weight_decay': 0.0} {'loss': 0.7082921955734491, 'accuracy': 0.9652670787234731, 'recall': 0.07804270382395381, 'precision': 0.02031394519701062, 'f1': 0.02191828115887984}
2023-07-02_21:43:31: {'batch_size': 512, 'beta': 0.1, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 0.1, 'weight_decay': 0.0} {'loss': 0.7069671445836623, 'accuracy': 0.9827199110580034, 'recall': 0.0154245205026455, 'precision': 0.018528523895888098, 'f1': 0.011732372083934583}
2023-07-02_21:44:49: {'batch_size': 512, 'beta': 0.1, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 0.3, 'weight_decay': 0.0} {'loss': 0.7047415999695659, 'accuracy': 0.9444805010998965, 'recall': 0.05276331018518519, 'precision': 0.003985675247702009, 'f1': 0.004588018577142734}
2023-07-02_21:46:08: {'batch_size': 512, 'beta': 0.1, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 0.5, 'weight_decay': 0.0} {'loss': 0.6945500491807859, 'accuracy': 0.9454682470602032, 'recall': 0.05244915674603174, 'precision': 0.007681328193863236, 'f1': 0.005070675084173901}
2023-07-02_21:47:26: {'batch_size': 512, 'beta': 0.1, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 0.7, 'weight_decay': 0.0} {'loss': 0.6860377490520477, 'accuracy': 0.9888917911126747, 'recall': 0.009375, 'precision': 0.006583152090964592, 'f1': 0.006353791797870744}
2023-07-02_21:48:45: {'batch_size': 512, 'beta': 0.1, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 0.9, 'weight_decay': 0.0} {'loss': 0.6661022681122024, 'accuracy': 0.991261989680383, 'recall': 0.0, 'precision': 0.0, 'f1': 0.0}
2023-07-02_21:50:04: {'batch_size': 512, 'beta': 0.1, 'dampening': 0.0, 'learning_rate': 0.1, 'momentum': 1.0, 'weight_decay': 0.0} {'loss': 0.6498664111519853, 'accuracy': 0.9845473011087927, 'recall': 0.02601686507936508, 'precision': 0.013956934992091243, 'f1': 0.015376424481736015}
2023-07-02_21:51:21: {'batch_size': 512, 'beta': 0.1, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 0.0, 'weight_decay': 0.0} {'loss': 0.7226073052734137, 'accuracy': 0.9406012935914855, 'recall': 0.059062913359788353, 'precision': 0.013202633698916876, 'f1': 0.009880267567935672}
2023-07-02_21:52:40: {'batch_size': 512, 'beta': 0.1, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 0.1, 'weight_decay': 0.0} {'loss': 0.7225725349659722, 'accuracy': 0.8810821596386517, 'recall': 0.13612689393939395, 'precision': 0.006745692599053214, 'f1': 0.010224685937206792}
2023-07-02_21:53:59: {'batch_size': 512, 'beta': 0.1, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 0.3, 'weight_decay': 0.0} {'loss': 0.7220450596263011, 'accuracy': 0.9413058515908062, 'recall': 0.06451306216931217, 'precision': 0.016702840126825352, 'f1': 0.011875757000119481}
2023-07-02_21:55:17: {'batch_size': 512, 'beta': 0.1, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 0.5, 'weight_decay': 0.0} {'loss': 0.7213122639805079, 'accuracy': 0.9727900724233307, 'recall': 0.06477761243386244, 'precision': 0.014564909558728923, 'f1': 0.010380377110200827}
2023-07-02_21:56:35: {'batch_size': 512, 'beta': 0.1, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 0.7, 'weight_decay': 0.0} {'loss': 0.7199561881522338, 'accuracy': 0.9792642850066318, 'recall': 0.02389012896825397, 'precision': 0.011183879971516254, 'f1': 0.010889755528359043}
2023-07-02_21:57:53: {'batch_size': 512, 'beta': 0.1, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 0.9, 'weight_decay': 0.0} {'loss': 0.7163924674193064, 'accuracy': 0.9896048788698564, 'recall': 0.007335069444444444, 'precision': 0.00890602453102453, 'f1': 0.00677593954248366}
2023-07-02_21:59:11: {'batch_size': 512, 'beta': 0.1, 'dampening': 0.0, 'learning_rate': 0.01, 'momentum': 1.0, 'weight_decay': 0.0} {'loss': 0.7104813080901902, 'accuracy': 0.9911991222057777, 'recall': 0.0, 'precision': 0.0, 'f1': 0.0}
