Count,In-degree,Out-degree
1389,0,2
508,0,3
95,0,4
31,0,5
13,0,6
10,0,7
2,0,8
2,0,9
2,0,10
2,0,11
2,0,13
1,0,14
50,1,0
2802,1,1
959,1,2
215,1,3
67,1,4
30,1,5
15,1,6
9,1,7
9,1,8
1,1,9
1,1,10
1,1,11
1,1,24
1,1,29
1,1,30
1347,2,0
902,2,1
200,2,2
65,2,3
35,2,4
18,2,5
5,2,6
6,2,7
1,2,8
1,2,9
2,2,10
1,2,11
1,2,13
2,2,14
1,2,16
420,3,0
191,3,1
63,3,2
29,3,3
12,3,4
6,3,5
4,3,6
5,3,8
1,3,9
104,4,0
65,4,1
31,4,2
11,4,3
6,4,4
4,4,5
2,4,6
2,4,7
2,4,10
1,4,13
1,4,14
1,4,18
36,5,0
32,5,1
11,5,2
6,5,3
4,5,4
4,5,5
2,5,6
3,5,7
1,5,9
1,5,11
1,5,17
12,6,0
16,6,1
6,6,2
4,6,3
2,6,4
1,6,6
1,6,9
1,6,10
1,6,28
3,7,0
1,7,1
5,7,2
1,7,3
1,7,4
1,7,5
2,7,9
1,7,11
1,7,16
6,8,0
1,8,1
4,8,2
3,8,3
1,8,4
1,8,5
1,8,8
1,8,15
3,9,0
2,9,1
3,9,2
1,9,3
1,9,4
2,9,6
1,9,11
1,9,14
1,9,16
2,10,0
1,10,1
3,10,2
1,10,13
1,11,2
3,11,3
2,12,1
1,12,4
1,13,1
1,13,2
2,13,3
1,14,4
1,14,5
1,14,9
1,15,2
1,15,12
1,16,1
1,16,4
1,16,29
1,18,0
1,18,8
1,19,0
1,25,0
1,25,13
1,30,30
1,31,10
1,53,69
1,73,0
1,83,58
1,129,24
1,144,24
1,212,2
