Count,In-degree,Out-degree
49,0,1
1369,0,2
426,0,3
95,0,4
27,0,5
14,0,6
3,0,7
1,0,8
2,0,9
3,0,10
1,0,13
1,0,16
1,0,17
2834,1,1
927,1,2
205,1,3
74,1,4
26,1,5
10,1,6
6,1,7
3,1,8
2,1,9
1,1,12
1,1,14
1,1,15
1,1,18
1,1,21
1,1,72
1331,2,0
975,2,1
201,2,2
73,2,3
34,2,4
16,2,5
9,2,6
6,2,7
1,2,8
1,2,9
2,2,10
1,2,12
468,3,0
223,3,1
65,3,2
36,3,3
17,3,4
5,3,5
6,3,6
2,3,7
5,3,8
1,3,9
2,3,10
1,3,12
84,4,0
59,4,1
24,4,2
15,4,3
5,4,4
3,4,5
1,4,6
1,4,7
1,4,8
1,4,15
1,4,19
1,4,21
27,5,0
34,5,1
9,5,2
8,5,3
5,5,4
5,5,6
2,5,9
3,5,11
1,5,12
1,5,18
14,6,0
17,6,1
8,6,2
7,6,3
4,6,4
3,6,6
1,6,7
5,7,0
3,7,1
3,7,2
2,7,3
1,7,5
1,7,6
1,7,7
3,8,0
3,8,1
3,8,2
3,8,3
1,8,5
1,8,13
1,8,23
3,9,0
2,9,1
1,9,2
2,9,3
2,9,5
1,9,11
5,10,1
2,10,2
2,10,6
2,10,8
1,10,15
1,10,35
2,11,0
1,11,3
2,11,5
1,11,12
1,11,19
2,12,0
1,12,1
3,12,3
1,13,4
1,13,7
1,13,25
1,14,0
1,14,5
1,15,12
1,16,0
1,17,1
1,17,3
1,17,9
1,17,43
1,18,6
1,20,3
1,20,14
1,22,3
1,35,6
1,43,125
1,65,76
1,69,84
1,120,2
1,134,80
