src,dst,sum,mean,median,std,max,min,count,is_sar
0,8916,962.81,481.405,481.405,420.8911693656687,779.02,183.79,2,0
1,11958,664.4,664.4,664.4,0.0,664.4,664.4,1,0
2,8788,487.99,487.99,487.99,0.0,487.99,487.99,1,0
3,15914,1544.8,1544.8,1544.8,0.0,1544.8,1544.8,1,0
4,12837,440.64,440.64,440.64,0.0,440.64,440.64,1,0
5,16908,182.92,182.92,182.92,0.0,182.92,182.92,1,0
6,15053,431.13,431.13,431.13,0.0,431.13,431.13,1,0
7,7922,671.02,671.02,671.02,0.0,671.02,671.02,1,0
8,14235,1565.39,1565.39,1565.39,0.0,1565.39,1565.39,1,0
9,16434,536.67,536.67,536.67,0.0,536.67,536.67,1,0
10,15145,910.46,910.46,910.46,0.0,910.46,910.46,1,0
11,14455,417.28,417.28,417.28,0.0,417.28,417.28,1,0
12,7410,1532.74,766.37,766.37,378.35869647729794,1033.91,498.83,2,0
13,16832,200.95,200.95,200.95,0.0,200.95,200.95,1,0
14,13883,298.91,298.91,298.91,0.0,298.91,298.91,1,0
14,15907,405.15,405.15,405.15,0.0,405.15,405.15,1,0
15,14366,26.09,26.09,26.09,0.0,26.09,26.09,1,0
16,7499,1281.31,640.655,640.655,489.2401108351604,986.6,294.71,2,0
17,14323,264.29,264.29,264.29,0.0,264.29,264.29,1,0
18,15602,1356.52,1356.52,1356.52,0.0,1356.52,1356.52,1,0
19,17893,292.72,292.72,292.72,0.0,292.72,292.72,1,0
20,16492,1222.71,1222.71,1222.71,0.0,1222.71,1222.71,1,0
21,16369,152.99,152.99,152.99,0.0,152.99,152.99,1,0
22,18299,251.09,251.09,251.09,0.0,251.09,251.09,1,0
23,12676,1304.84,1304.84,1304.84,0.0,1304.84,1304.84,1,0
24,17299,974.8,974.8,974.8,0.0,974.8,974.8,1,0
25,14456,558.53,558.53,558.53,0.0,558.53,558.53,1,0
26,13144,3.3,3.3,3.3,0.0,3.3,3.3,1,0
27,8650,1429.0400000000002,714.5200000000001,714.5200000000001,834.9234029538279,1304.9,124.14,2,0
28,9816,1092.45,546.225,546.225,0.8414570696120302,546.82,545.63,2,0
29,13033,559.04,559.04,559.04,0.0,559.04,559.04,1,0
30,12542,439.51,439.51,439.51,0.0,439.51,439.51,1,0
31,8832,564.06,564.06,564.06,0.0,564.06,564.06,1,0
32,17800,627.02,627.02,627.02,0.0,627.02,627.02,1,0
33,17113,274.24,274.24,274.24,0.0,274.24,274.24,1,0
34,18302,1068.8,1068.8,1068.8,0.0,1068.8,1068.8,1,0
35,12161,1485.77,1485.77,1485.77,0.0,1485.77,1485.77,1,0
35,18259,547.37,547.37,547.37,0.0,547.37,547.37,1,0
36,13685,1964.07,1964.07,1964.07,0.0,1964.07,1964.07,1,0
37,14040,1329.61,1329.61,1329.61,0.0,1329.61,1329.61,1,0
38,12040,686.5,686.5,686.5,0.0,686.5,686.5,1,0
39,14751,467.08,467.08,467.08,0.0,467.08,467.08,1,0
40,9182,1213.57,606.785,606.785,227.3701854905343,767.56,446.01,2,0
41,9555,1980.47,990.235,990.235,34.49973985409163,1014.63,965.84,2,0
42,16698,1964.08,1964.08,1964.08,0.0,1964.08,1964.08,1,0
43,14260,590.14,590.14,590.14,0.0,590.14,590.14,1,0
44,15845,494.26,494.26,494.26,0.0,494.26,494.26,1,0
45,14982,1005.94,1005.94,1005.94,0.0,1005.94,1005.94,1,0
46,12212,652.86,652.86,652.86,0.0,652.86,652.86,1,0
47,16867,188.64,188.64,188.64,0.0,188.64,188.64,1,0
48,12032,641.78,641.78,641.78,0.0,641.78,641.78,1,0
49,12217,1302.23,1302.23,1302.23,0.0,1302.23,1302.23,1,0
50,16541,483.34,483.34,483.34,0.0,483.34,483.34,1,0
51,11887,356.23,356.23,356.23,0.0,356.23,356.23,1,0
52,8707,1284.33,642.165,642.165,422.71550486113006,941.07,343.26,2,0
53,18307,880.96,880.96,880.96,0.0,880.96,880.96,1,0
54,15758,991.67,991.67,991.67,0.0,991.67,991.67,1,0
55,17612,401.98,401.98,401.98,0.0,401.98,401.98,1,0
56,18132,978.35,978.35,978.35,0.0,978.35,978.35,1,0
57,15449,483.92,483.92,483.92,0.0,483.92,483.92,1,0
58,7880,1705.68,1705.68,1705.68,0.0,1705.68,1705.68,1,0
59,16081,625.92,625.92,625.92,0.0,625.92,625.92,1,0
60,18149,814.19,814.19,814.19,0.0,814.19,814.19,1,0
61,18046,570.74,570.74,570.74,0.0,570.74,570.74,1,0
62,16402,7.02,7.02,7.02,0.0,7.02,7.02,1,0
63,10969,1093.23,546.615,546.615,390.1603086553013,822.5,270.73,2,0
63,15270,60.57,60.57,60.57,0.0,60.57,60.57,1,0
64,15687,693.66,693.66,693.66,0.0,693.66,693.66,1,0
65,13201,288.49,288.49,288.49,0.0,288.49,288.49,1,0
66,11519,1027.08,1027.08,1027.08,0.0,1027.08,1027.08,1,0
67,18270,120.39,120.39,120.39,0.0,120.39,120.39,1,0
68,14072,252.42,252.42,252.42,0.0,252.42,252.42,1,0
69,14223,880.95,880.95,880.95,0.0,880.95,880.95,1,0
70,13701,425.06,425.06,425.06,0.0,425.06,425.06,1,0
71,14645,596.73,596.73,596.73,0.0,596.73,596.73,1,0
72,14120,803.74,803.74,803.74,0.0,803.74,803.74,1,0
73,16172,521.5,521.5,521.5,0.0,521.5,521.5,1,0
74,6936,1410.48,705.24,705.24,12.529932162625641,714.1,696.38,2,0
75,12089,259.92,259.92,259.92,0.0,259.92,259.92,1,0
76,16181,644.58,644.58,644.58,0.0,644.58,644.58,1,0
77,18062,1050.62,1050.62,1050.62,0.0,1050.62,1050.62,1,0
78,13520,545.17,545.17,545.17,0.0,545.17,545.17,1,0
79,15017,382.22,382.22,382.22,0.0,382.22,382.22,1,0
80,15443,1913.27,1913.27,1913.27,0.0,1913.27,1913.27,1,0
81,12567,302.28,302.28,302.28,0.0,302.28,302.28,1,0
82,12122,1355.0,1355.0,1355.0,0.0,1355.0,1355.0,1,0
