src,dst,sum,mean,median,std,max,min,count,is_sar
0,50078,102.31,102.31,102.31,0.0,102.31,102.31,1,0
1,57728,1270.15,1270.15,1270.15,0.0,1270.15,1270.15,1,0
1,63787,140.64,140.64,140.64,0.0,140.64,140.64,1,0
2,35395,1370.06,685.03,685.03,878.5660334886616,1306.27,63.79,2,0
2,49202,661.03,661.03,661.03,0.0,661.03,661.03,1,0
3,42488,2590.37,1295.185,1295.185,50.876332906372205,1331.16,1259.21,2,0
3,43484,962.81,481.405,481.405,420.8911693656687,779.02,183.79,2,0
4,88947,1183.14,1183.14,1183.14,0.0,1183.14,1183.14,1,0
5,83038,11.88,11.88,11.88,0.0,11.88,11.88,1,0
5,84581,1108.36,1108.36,1108.36,0.0,1108.36,1108.36,1,0
6,53419,746.1,746.1,746.1,0.0,746.1,746.1,1,0
6,81481,634.74,634.74,634.74,0.0,634.74,634.74,1,0
7,76218,865.67,865.67,865.67,0.0,865.67,865.67,1,0
7,90912,44.26,44.26,44.26,0.0,44.26,44.26,1,0
8,59566,1452.33,726.165,726.165,196.37062420331614,865.02,587.31,2,0
8,61635,902.6600000000001,451.33000000000004,451.33000000000004,349.706729703619,698.61,204.05,2,0
9,41270,1288.04,644.02,644.02,40.43236574824683,672.61,615.43,2,0
9,92806,944.38,944.38,944.38,0.0,944.38,944.38,1,0
10,77634,1063.29,1063.29,1063.29,0.0,1063.29,1063.29,1,0
10,86391,85.5,85.5,85.5,0.0,85.5,85.5,1,0
11,82975,674.36,674.36,674.36,0.0,674.36,674.36,1,0
11,89526,1284.03,1284.03,1284.03,0.0,1284.03,1284.03,1,0
12,70826,532.17,532.17,532.17,0.0,532.17,532.17,1,0
12,76167,603.32,603.32,603.32,0.0,603.32,603.32,1,0
13,93044,752.23,752.23,752.23,0.0,752.23,752.23,1,0
14,59251,886.55,886.55,886.55,0.0,886.55,886.55,1,0
14,87896,131.56,131.56,131.56,0.0,131.56,131.56,1,0
15,44824,664.4,664.4,664.4,0.0,664.4,664.4,1,0
15,54332,136.99,136.99,136.99,0.0,136.99,136.99,1,0
16,49255,707.43,707.43,707.43,0.0,707.43,707.43,1,0
16,49809,942.31,942.31,942.31,0.0,942.31,942.31,1,0
17,88316,42.94,42.94,42.94,0.0,42.94,42.94,1,0
18,43433,487.99,487.99,487.99,0.0,487.99,487.99,1,0
