src,dst,sum,mean,median,std,max,min,count,is_sar
0,7567,1240.08,1240.08,1240.08,0.0,1240.08,1240.08,1,0
1,15429,959.9,959.9,959.9,0.0,959.9,959.9,1,0
2,13427,598.58,598.58,598.58,0.0,598.58,598.58,1,0
3,15127,1479.22,1479.22,1479.22,0.0,1479.22,1479.22,1,0
4,15808,319.46,319.46,319.46,0.0,319.46,319.46,1,0
5,150,1227.3,1227.3,1227.3,0.0,1227.3,1227.3,1,1
6,20730,1048.6,1048.6,1048.6,0.0,1048.6,1048.6,1,0
7,18814,788.46,788.46,788.46,0.0,788.46,788.46,1,0
8,19395,1006.06,1006.06,1006.06,0.0,1006.06,1006.06,1,0
9,15863,314.99,314.99,314.99,0.0,314.99,314.99,1,0
10,6412,1742.27,1742.27,1742.27,0.0,1742.27,1742.27,1,0
11,16430,144.37,144.37,144.37,0.0,144.37,144.37,1,0
12,22388,724.82,724.82,724.82,0.0,724.82,724.82,1,0
13,15988,297.68,297.68,297.68,0.0,297.68,297.68,1,0
13,21253,404.67,404.67,404.67,0.0,404.67,404.67,1,0
14,16824,541.27,541.27,541.27,0.0,541.27,541.27,1,0
15,19260,585.19,585.19,585.19,0.0,585.19,585.19,1,0
16,21348,683.82,683.82,683.82,0.0,683.82,683.82,1,0
17,8733,809.65,809.65,809.65,0.0,809.65,809.65,1,0
18,16155,993.93,993.93,993.93,0.0,993.93,993.93,1,0
19,13284,1180.28,1180.28,1180.28,0.0,1180.28,1180.28,1,0
20,7766,1422.18,1422.18,1422.18,0.0,1422.18,1422.18,1,0
21,20685,969.54,969.54,969.54,0.0,969.54,969.54,1,0
22,21999,1113.11,1113.11,1113.11,0.0,1113.11,1113.11,1,0
23,21353,895.62,895.62,895.62,0.0,895.62,895.62,1,0
24,12298,678.26,678.26,678.26,0.0,678.26,678.26,1,0
25,18490,691.55,691.55,691.55,0.0,691.55,691.55,1,0
26,16404,284.42,284.42,284.42,0.0,284.42,284.42,1,0
27,20580,640.84,640.84,640.84,0.0,640.84,640.84,1,0
28,9699,1043.96,1043.96,1043.96,0.0,1043.96,1043.96,1,0
29,12819,84.59,84.59,84.59,0.0,84.59,84.59,1,0
30,21519,578.23,578.23,578.23,0.0,578.23,578.23,1,0
31,12105,475.34,475.34,475.34,0.0,475.34,475.34,1,0
32,15668,834.38,834.38,834.38,0.0,834.38,834.38,1,0
33,20942,149.75,149.75,149.75,0.0,149.75,149.75,1,0
34,3149,400.25,400.25,400.25,0.0,400.25,400.25,1,0
35,16045,777.31,777.31,777.31,0.0,777.31,777.31,1,0
36,22364,649.12,649.12,649.12,0.0,649.12,649.12,1,0
37,18136,470.19,470.19,470.19,0.0,470.19,470.19,1,0
38,16875,453.32,453.32,453.32,0.0,453.32,453.32,1,0
39,20493,617.77,617.77,617.77,0.0,617.77,617.77,1,0
40,15763,722.03,361.015,361.015,154.31191285834024,470.13,251.9,2,0
41,17190,1762.55,1762.55,1762.55,0.0,1762.55,1762.55,1,0
42,22259,1073.66,1073.66,1073.66,0.0,1073.66,1073.66,1,0
43,10657,401.52,401.52,401.52,0.0,401.52,401.52,1,0
44,9173,704.33,704.33,704.33,0.0,704.33,704.33,1,0
45,18884,1138.05,1138.05,1138.05,0.0,1138.05,1138.05,1,0
46,17409,525.62,525.62,525.62,0.0,525.62,525.62,1,0
47,19509,1013.27,1013.27,1013.27,0.0,1013.27,1013.27,1,0
48,18346,737.22,737.22,737.22,0.0,737.22,737.22,1,0
49,2877,933.52,933.52,933.52,0.0,933.52,933.52,1,0
50,17130,610.01,610.01,610.01,0.0,610.01,610.01,1,0
51,13446,236.87,236.87,236.87,0.0,236.87,236.87,1,0
52,23222,924.1,924.1,924.1,0.0,924.1,924.1,1,0
53,22219,746.68,746.68,746.68,0.0,746.68,746.68,1,0
54,4746,1145.08,1145.08,1145.08,0.0,1145.08,1145.08,1,0
55,20569,1557.3,1557.3,1557.3,0.0,1557.3,1557.3,1,0
56,17811,783.61,783.61,783.61,0.0,783.61,783.61,1,0
57,18615,740.01,740.01,740.01,0.0,740.01,740.01,1,0
58,23891,1106.2,1106.2,1106.2,0.0,1106.2,1106.2,1,0
59,17805,1399.97,1399.97,1399.97,0.0,1399.97,1399.97,1,0
60,16249,778.63,778.63,778.63,0.0,778.63,778.63,1,0
61,21714,5.99,5.99,5.99,0.0,5.99,5.99,1,0
62,14665,582.57,582.57,582.57,0.0,582.57,582.57,1,0
63,19722,180.6,180.6,180.6,0.0,180.6,180.6,1,0
64,23141,1014.68,1014.68,1014.68,0.0,1014.68,1014.68,1,0
65,20272,699.44,699.44,699.44,0.0,699.44,699.44,1,0
66,23819,1088.39,1088.39,1088.39,0.0,1088.39,1088.39,1,0
67,23829,803.27,803.27,803.27,0.0,803.27,803.27,1,0
68,17425,979.94,979.94,979.94,0.0,979.94,979.94,1,0
69,14123,697.57,697.57,697.57,0.0,697.57,697.57,1,0
70,16413,1254.72,1254.72,1254.72,0.0,1254.72,1254.72,1,0
71,22300,1158.2,1158.2,1158.2,0.0,1158.2,1158.2,1,0
72,14710,513.14,513.14,513.14,0.0,513.14,513.14,1,0
73,18732,747.34,747.34,747.34,0.0,747.34,747.34,1,0
74,17896,1064.89,1064.89,1064.89,0.0,1064.89,1064.89,1,0
75,8558,524.49,524.49,524.49,0.0,524.49,524.49,1,0
76,21693,595.16,595.16,595.16,0.0,595.16,595.16,1,0
77,15644,282.25,282.25,282.25,0.0,282.25,282.25,1,0
78,19568,449.6,449.6,449.6,0.0,449.6,449.6,1,0
79,6501,1076.18,1076.18,1076.18,0.0,1076.18,1076.18,1,0
80,5958,772.21,772.21,772.21,0.0,772.21,772.21,1,0
81,22885,131.72,131.72,131.72,0.0,131.72,131.72,1,0
82,16248,1131.42,565.71,565.71,343.4417636223061,808.56,322.86,2,0
82,20050,896.7,896.7,896.7,0.0,896.7,896.7,1,0
83,20509,280.8,280.8,280.8,0.0,280.8,280.8,1,0
84,9403,265.29,265.29,265.29,0.0,265.29,265.29,1,0
85,20372,1080.97,1080.97,1080.97,0.0,1080.97,1080.97,1,0
86,19367,1216.57,1216.57,1216.57,0.0,1216.57,1216.57,1,0
87,8835,984.08,984.08,984.08,0.0,984.08,984.08,1,0
88,20762,351.93,351.93,351.93,0.0,351.93,351.93,1,0
89,16599,542.39,542.39,542.39,0.0,542.39,542.39,1,0
90,15778,893.0,893.0,893.0,0.0,893.0,893.0,1,0
91,16978,149.64,149.64,149.64,0.0,149.64,149.64,1,0
92,8039,1088.5,1088.5,1088.5,0.0,1088.5,1088.5,1,0
93,12377,70.26,70.26,70.26,0.0,70.26,70.26,1,0
93,17632,838.65,838.65,838.65,0.0,838.65,838.65,1,0
94,12715,3.85,3.85,3.85,0.0,3.85,3.85,1,0
95,15120,210.14,210.14,210.14,0.0,210.14,210.14,1,0
96,22631,1187.3,1187.3,1187.3,0.0,1187.3,1187.3,1,0
97,12458,1009.68,1009.68,1009.68,0.0,1009.68,1009.68,1,0
98,20858,959.39,959.39,959.39,0.0,959.39,959.39,1,0
99,16747,956.66,956.66,956.66,0.0,956.66,956.66,1,0
100,5833,673.82,673.82,673.82,0.0,673.82,673.82,1,0
101,18354,773.38,773.38,773.38,0.0,773.38,773.38,1,0
102,15717,940.54,940.54,940.54,0.0,940.54,940.54,1,0
103,16323,1311.9,1311.9,1311.9,0.0,1311.9,1311.9,1,0
104,10105,447.86,447.86,447.86,0.0,447.86,447.86,1,0
105,19188,1167.58,1167.58,1167.58,0.0,1167.58,1167.58,1,0
106,8140,1396.37,1396.37,1396.37,0.0,1396.37,1396.37,1,0
107,2397,317.7,317.7,317.7,0.0,317.7,317.7,1,0
108,4142,775.05,775.05,775.05,0.0,775.05,775.05,1,0
109,17989,538.64,538.64,538.64,0.0,538.64,538.64,1,0
109,18387,782.5,782.5,782.5,0.0,782.5,782.5,1,0
110,17740,817.94,817.94,817.94,0.0,817.94,817.94,1,0
111,15137,450.82,450.82,450.82,0.0,450.82,450.82,1,0
112,19919,375.43,375.43,375.43,0.0,375.43,375.43,1,0
113,23765,1526.27,1526.27,1526.27,0.0,1526.27,1526.27,1,0
114,19475,989.0,989.0,989.0,0.0,989.0,989.0,1,0
115,12827,564.72,564.72,564.72,0.0,564.72,564.72,1,0
