sum,mean,median,std,max,min,in_degree,out_degree,n_unique_in,n_unique_out,is_sar
1240.08,1240.08,1240.08,0.0,1240.08,1240.08,1,0,1,0,0
959.9,959.9,959.9,0.0,959.9,959.9,1,0,1,0,0
598.58,598.58,598.58,0.0,598.58,598.58,1,0,1,0,0
1479.22,1479.22,1479.22,0.0,1479.22,1479.22,1,0,1,0,0
319.46,319.46,319.46,0.0,319.46,319.46,1,0,1,0,0
-1227.3,-1227.3,-1227.3,0.0,-1227.3,-1227.3,0,1,0,1,1
1048.6,1048.6,1048.6,0.0,1048.6,1048.6,1,0,1,0,0
788.46,788.46,788.46,0.0,788.46,788.46,1,0,1,0,0
1006.06,1006.06,1006.06,0.0,1006.06,1006.06,1,0,1,0,0
314.99,314.99,314.99,0.0,314.99,314.99,1,0,1,0,0
1742.27,1742.27,1742.27,0.0,1742.27,1742.27,1,0,1,0,0
144.37,144.37,144.37,0.0,144.37,144.37,1,0,1,0,0
724.82,724.82,724.82,0.0,724.82,724.82,1,0,1,0,0
702.35,351.175,351.175,75.65335451914872,404.67,297.68,2,0,2,0,0
541.27,541.27,541.27,0.0,541.27,541.27,1,0,1,0,0
585.19,585.19,585.19,0.0,585.19,585.19,1,0,1,0,0
683.82,683.82,683.82,0.0,683.82,683.82,1,0,1,0,0
809.65,809.65,809.65,0.0,809.65,809.65,1,0,1,0,0
993.93,993.93,993.93,0.0,993.93,993.93,1,0,1,0,0
1180.28,1180.28,1180.28,0.0,1180.28,1180.28,1,0,1,0,0
1422.18,1422.18,1422.18,0.0,1422.18,1422.18,1,0,1,0,0
969.54,969.54,969.54,0.0,969.54,969.54,1,0,1,0,0
1113.11,1113.11,1113.11,0.0,1113.11,1113.11,1,0,1,0,0
895.62,895.62,895.62,0.0,895.62,895.62,1,0,1,0,0
678.26,678.26,678.26,0.0,678.26,678.26,1,0,1,0,0
691.55,691.55,691.55,0.0,691.55,691.55,1,0,1,0,0
284.42,284.42,284.42,0.0,284.42,284.42,1,0,1,0,0
640.84,640.84,640.84,0.0,640.84,640.84,1,0,1,0,0
1043.96,1043.96,1043.96,0.0,1043.96,1043.96,1,0,1,0,0
84.59,84.59,84.59,0.0,84.59,84.59,1,0,1,0,0
578.23,578.23,578.23,0.0,578.23,578.23,1,0,1,0,0
475.34,475.34,475.34,0.0,475.34,475.34,1,0,1,0,0
834.38,834.38,834.38,0.0,834.38,834.38,1,0,1,0,0
149.75,149.75,149.75,0.0,149.75,149.75,1,0,1,0,0
400.25,400.25,400.25,0.0,400.25,400.25,1,0,1,0,0
777.31,777.31,777.31,0.0,777.31,777.31,1,0,1,0,0
649.12,649.12,649.12,0.0,649.12,649.12,1,0,1,0,0
470.19,470.19,470.19,0.0,470.19,470.19,1,0,1,0,0
453.32,453.32,453.32,0.0,453.32,453.32,1,0,1,0,0
617.77,617.77,617.77,0.0,617.77,617.77,1,0,1,0,0
722.03,361.015,361.015,154.31191285834024,470.13,251.9,2,0,1,0,0
1762.55,1762.55,1762.55,0.0,1762.55,1762.55,1,0,1,0,0
1073.66,1073.66,1073.66,0.0,1073.66,1073.66,1,0,1,0,0
401.52,401.52,401.52,0.0,401.52,401.52,1,0,1,0,0
704.33,704.33,704.33,0.0,704.33,704.33,1,0,1,0,0
1138.05,1138.05,1138.05,0.0,1138.05,1138.05,1,0,1,0,0
525.62,525.62,525.62,0.0,525.62,525.62,1,0,1,0,0
1013.27,1013.27,1013.27,0.0,1013.27,1013.27,1,0,1,0,0
737.22,737.22,737.22,0.0,737.22,737.22,1,0,1,0,0
933.52,933.52,933.52,0.0,933.52,933.52,1,0,1,0,0
610.01,610.01,610.01,0.0,610.01,610.01,1,0,1,0,0
236.87,236.87,236.87,0.0,236.87,236.87,1,0,1,0,0
924.1,924.1,924.1,0.0,924.1,924.1,1,0,1,0,0
746.68,746.68,746.68,0.0,746.68,746.68,1,0,1,0,0
1145.08,1145.08,1145.08,0.0,1145.08,1145.08,1,0,1,0,0
1557.3,1557.3,1557.3,0.0,1557.3,1557.3,1,0,1,0,0
783.61,783.61,783.61,0.0,783.61,783.61,1,0,1,0,0
740.01,740.01,740.01,0.0,740.01,740.01,1,0,1,0,0
1106.2,1106.2,1106.2,0.0,1106.2,1106.2,1,0,1,0,0
1399.97,1399.97,1399.97,0.0,1399.97,1399.97,1,0,1,0,0
778.63,778.63,778.63,0.0,778.63,778.63,1,0,1,0,0
5.99,5.99,5.99,0.0,5.99,5.99,1,0,1,0,0
582.57,582.57,582.57,0.0,582.57,582.57,1,0,1,0,0
180.6,180.6,180.6,0.0,180.6,180.6,1,0,1,0,0
1014.68,1014.68,1014.68,0.0,1014.68,1014.68,1,0,1,0,0
699.44,699.44,699.44,0.0,699.44,699.44,1,0,1,0,0
1088.39,1088.39,1088.39,0.0,1088.39,1088.39,1,0,1,0,0
803.27,803.27,803.27,0.0,803.27,803.27,1,0,1,0,0
979.94,979.94,979.94,0.0,979.94,979.94,1,0,1,0,0
697.57,697.57,697.57,0.0,697.57,697.57,1,0,1,0,0
1254.72,1254.72,1254.72,0.0,1254.72,1254.72,1,0,1,0,0
1158.2,1158.2,1158.2,0.0,1158.2,1158.2,1,0,1,0,0
513.14,513.14,513.14,0.0,513.14,513.14,1,0,1,0,0
747.34,747.34,747.34,0.0,747.34,747.34,1,0,1,0,0
1064.89,1064.89,1064.89,0.0,1064.89,1064.89,1,0,1,0,0
524.49,524.49,524.49,0.0,524.49,524.49,1,0,1,0,0
595.16,595.16,595.16,0.0,595.16,595.16,1,0,1,0,0
