account,bank,sum,mean,median,std,max,min,in_sum,out_sum,in_mean,out_mean,in_median,out_median,in_std,out_std,in_max,out_max,in_min,out_min,count_in,count_out,count_days_in_bank,count_phone_changes,sum_spending,mean_spending,median_spending,std_spending,max_spending,min_spending,count_spending,is_sar
4455,bank,6510.969999999999,127.66607843137254,92.92,777.5138986643994,1936.37,-1586.7,20348.71,-13837.74,701.6796551724137,-628.9881818181818,730.64,-667.16,449.2235209263294,339.8264815858426,1936.37,-37.9,52.26,-1586.7,29,22,264,0,64269.05,506.0555118110236,370.36,431.6828243229171,1688.13,7.1,127,0
7542,bank,8747.56,273.36125,345.09000000000003,608.4492636348095,1150.8,-1462.25,13081.42,-4333.860000000001,622.9247619047619,-393.9872727272728,590.3,-250.7,346.49941997958734,401.2862511248276,1150.8,-5.09,41.36,-1462.25,21,11,267,0,123412.26999999999,828.2702684563758,480.64,1334.5928455018752,5920.19,2.77,149,0
6651,bank,4812.68,160.4226666666667,224.565,768.41831899367,1400.42,-1762.87,12347.470000000001,-7534.789999999998,726.3217647058824,-579.5992307692306,708.87,-443.24,361.1653601405334,453.97836489311425,1400.42,-50.19,196.36,-1762.87,17,13,273,0,361508.22000000003,2151.834642857143,431.495,7045.32269518863,31642.77,9.22,168,0
9188,bank,383.9900000000002,21.33277777777779,221.79,921.9707634180774,1573.48,-1529.28,6963.97,-6579.9800000000005,580.3308333333333,-1096.6633333333334,527.11,-1285.385,419.6036523902556,502.89845693406807,1573.48,-275.33,132.06,-1529.28,12,6,266,0,279275.04,1813.4742857142855,481.2,5217.526382496362,22643.79,1.44,154,0
1744,bank,-2572.8500000000004,-12.55048780487805,-6.37,836.4924791586453,1777.65,-2112.72,71936.73999999999,-74509.59,705.262156862745,-723.3940776699029,645.925,-676.2,407.7163101054395,457.52482674828997,1777.65,-6.37,6.38,-2112.72,102,103,275,0,164018.81,1188.5421014492754,458.615,2733.5747962480214,11434.9,10.54,138,0
5648,bank,7903.9400000000005,246.99812500000002,187.695,790.6771111723514,1345.16,-1114.1,14892.25,-6988.3099999999995,783.8026315789474,-537.5623076923076,1069.21,-328.95,463.7234036798961,411.5612120765238,1345.16,-25.32,83.88,-1114.1,19,13,275,0,186194.26,1249.6259060402685,479.72,2994.0423241734425,12940.05,0.55,149,0
9414,bank,-1361.96,-71.6821052631579,117.01,804.5181510733197,1379.77,-1810.78,5125.42,-6487.38,465.9472727272727,-810.9225,532.99,-715.6700000000001,417.5790995509931,580.080959244976,1379.77,-114.27,51.15,-1810.78,11,8,263,0,356974.24,2245.1210062893083,505.94,6983.994239846864,30632.79,4.88,159,0
440,bank,-32298.17,-78.01490338164251,-86.86,854.4661737294291,1847.75,-2155.14,136744.53999999998,-169042.71,697.6762244897958,-775.4252752293578,677.575,-736.22,407.40234618866816,456.4303586374033,1847.75,-12.79,2.56,-2155.14,196,218,273,0,320838.5,1992.7857142857142,484.43,6160.475260784645,27192.18,7.04,161,0
461,bank,23708.22,51.53960869565218,216.695,805.273111556253,2115.43,-2365.84,172565.31,-148857.08999999997,674.0832421875,-729.6916176470587,643.24,-695.81,364.0999740687961,444.55685655623785,2115.43,-10.08,7.58,-2365.84,256,204,275,0,168713.47999999998,1297.7959999999998,496.35,2877.587016888502,11725.22,2.76,130,0
1961,bank,3724.27,18.809444444444445,41.254999999999995,848.9029561179424,2045.01,-1730.6,73201.22,-69476.95,717.6590196078431,-723.7182291666667,653.975,-663.87,440.1551226207942,454.83077031027887,2045.01,-3.94,7.51,-1730.6,102,96,275,0,153488.09,1023.2539333333333,419.28,2267.0723414813947,9885.0,3.66,150,0
