src,dst,sum,mean,median,std,max,min,count,is_sar
0,3419,2293.93,573.4825,725.4,329.82132459611114,763.64,79.49,4,0
0,4558,8524.22,852.4219999999999,806.14,351.719909865159,1421.83,254.85,10,0
1,1963,5402.79,600.31,526.14,483.84036853594597,1320.02,129.99,9,0
1,3570,6593.95,941.9928571428571,1263.06,603.9322591349212,1791.65,326.84,7,0
2,1554,7952.52,994.065,886.5250000000001,335.66003621862063,1425.27,549.1,8,0
2,4250,2114.99,528.7475,676.365,306.86194163662594,693.19,69.07,4,0
3,563,1462.57,1462.57,1462.57,0.0,1462.57,1462.57,1,1
3,3322,1979.71,1979.71,1979.71,0.0,1979.71,1979.71,1,1
3,4960,6018.8099999999995,752.3512499999999,844.04,549.7457853132144,1391.26,53.07,8,0
3,4997,2538.12,634.53,722.6949999999999,354.33010945538723,960.0,132.73,4,0
4,4261,5358.46,893.0766666666667,718.71,615.434635706073,1989.39,371.61,6,0
4,4714,6865.32,762.8133333333333,597.36,339.27005124973823,1276.51,213.73,9,0
5,3674,1973.2,394.64,431.25,157.50144602510795,615.55,200.2,5,0
5,4496,2042.82,680.9399999999999,749.04,173.6986813421449,810.27,483.51,3,0
6,3319,4048.91,1012.2275,920.975,490.3165699406183,1671.82,535.14,4,0
6,4587,3166.55,527.7583333333333,408.21500000000003,419.4941203600673,1307.8,145.38,6,0
7,3359,3364.63,480.6614285714286,382.35,484.4109206871294,1419.92,20.37,7,0
7,3540,9419.99,856.3627272727273,977.03,308.5560550075435,1077.01,95.63,11,0
8,2447,5391.23,770.1757142857142,731.0,369.47041549841504,1394.41,366.53,7,0
8,2556,1267.57,1267.57,1267.57,0.0,1267.57,1267.57,1,1
8,4024,5195.55,865.9250000000001,676.035,685.8770583639607,1986.77,45.45,6,0
9,3142,5230.610000000001,747.2300000000001,745.06,413.3572559340568,1215.5,242.95,7,0
9,3591,2376.01,475.20200000000006,453.21,293.97914563791767,954.59,235.5,5,0
10,1726,5343.31,593.7011111111111,502.3,506.784145111221,1493.18,20.5,9,0
10,4041,5647.1,806.7285714285715,991.82,422.54141861789003,1164.83,125.26,7,0
11,1067,506.87,506.87,506.87,0.0,506.87,506.87,1,1
11,4199,3600.94,720.188,642.0,489.103679571111,1490.96,257.73,5,0
11,4465,3984.24,664.04,546.3299999999999,466.4585531855966,1392.68,189.63,6,0
12,2116,6981.110000000001,997.3014285714287,1094.16,504.40470482304096,1775.81,62.86,7,0
12,3080,1012.45,1012.45,1012.45,0.0,1012.45,1012.45,1,1
12,3090,1234.89,1234.89,1234.89,0.0,1234.89,1234.89,1,1
12,3944,571.37,571.37,571.37,0.0,571.37,571.37,1,1
12,4974,6975.37,775.0411111111111,850.53,376.7410088324752,1125.98,133.66,9,0
13,3319,5440.15,906.6916666666666,799.22,425.62577635367273,1676.93,475.35,6,0
13,4585,2424.73,404.12166666666667,245.94,381.3253415348457,1099.24,112.15,6,0
14,1463,3099.72,516.62,325.62,431.25224831877694,1203.73,121.59,6,0
14,3315,3725.2599999999998,745.0519999999999,926.79,505.79432402904644,1300.93,37.78,5,0
14,4776,1875.18,1875.18,1875.18,0.0,1875.18,1875.18,1,1
15,1487,652.07,652.07,652.07,0.0,652.07,652.07,1,1
15,3003,586.86,586.86,586.86,0.0,586.86,586.86,1,1
15,3899,3009.38,429.9114285714286,384.76,262.49858605514885,871.3,126.3,7,0
15,4404,3041.81,608.362,509.17,428.67253436626896,1204.89,223.91,5,0
16,1699,6178.6900000000005,1029.7816666666668,806.375,592.2335164583873,2217.57,657.95,6,0
16,4185,4740.58,790.0966666666667,664.235,572.469366714645,1472.73,103.35,6,0
17,1009,6782.9400000000005,1130.49,1253.835,555.0348793724588,1598.93,83.64,6,0
17,4316,5720.889999999999,817.2699999999999,838.61,365.78536871595435,1472.76,382.89,7,0
18,4604,6102.02,678.0022222222223,545.75,475.341225957148,1311.88,15.72,9,0
18,4843,3825.2700000000004,637.5450000000001,582.435,305.5692011803546,1053.88,348.54,6,0
19,2500,3560.72,445.09,289.325,417.2463455972811,1317.23,110.3,8,0
19,2510,3682.11,736.422,742.21,309.24203873341673,1220.78,385.4,5,0
19,3746,1117.24,1117.24,1117.24,0.0,1117.24,1117.24,1,1
20,2085,5764.8099999999995,823.5442857142856,822.02,162.09932540031772,1043.99,504.63,7,0
20,2901,9140.94,481.1021052631579,402.76,172.72856488912012,1033.23,402.76,19,0
21,3786,1669.35,166.935,49.99,254.1048236566074,841.03,9.65,10,0
21,4355,6074.66,674.9622222222222,558.65,559.3797121316114,1825.16,3.54,9,0
22,4729,5125.24,854.2066666666666,835.63,427.39670366846144,1569.58,301.04,6,0
22,4993,10653.900000000001,1183.7666666666669,1299.88,258.3242898470835,1377.61,641.38,9,0
23,4779,2042.52,510.63,496.535,133.60149724709925,686.03,363.42,4,0
23,4881,4125.7,142.2655172413793,108.36,104.18414688103968,606.74,108.36,29,0
24,1854,5670.54,630.06,857.88,478.29423851850856,1173.49,1.16,9,0
24,2842,4408.68,881.7360000000001,946.44,219.67940966326367,1053.15,510.35,5,0
25,1025,3294.9,658.98,656.21,14.310985291027297,682.65,643.62,5,0
25,4520,93780.81,928.5228712871287,940.5,69.44786090782975,940.5,460.8,101,0
26,1366,651.09,651.09,651.09,0.0,651.09,651.09,1,1
26,4130,5404.57,675.57125,614.99,303.207292997358,1078.61,137.22,8,0
26,4329,723.43,723.43,723.43,0.0,723.43,723.43,1,1
26,4973,5923.87,846.2671428571429,796.4,442.6853255121627,1438.86,419.75,7,0
27,3654,2172.73,543.1825,591.85,107.50501116227099,606.76,382.27,4,0
27,3951,4029.0,805.8,648.02,512.2664490282376,1691.32,427.02,5,0
28,722,427.18,427.18,427.18,0.0,427.18,427.18,1,1
28,3081,2409.71,803.2366666666667,748.48,791.816251054077,1621.01,40.22,3,0
28,3518,407.03999999999996,135.67999999999998,56.21,160.82501888698783,320.77,30.06,3,0
29,3909,3014.6400000000003,430.6628571428572,358.18,287.4884167356015,983.37,27.29,7,0
29,4658,4467.97,638.2814285714286,608.36,147.05008743379145,951.91,474.26,7,0
30,4303,6263.77,894.8242857142858,922.8,323.3372012753426,1472.62,440.12,7,0
30,4989,15185.78,562.4362962962963,529.48,265.92886162899555,1717.47,94.71,27,0
31,1097,4961.34,708.7628571428571,682.2,622.7955736760467,1948.55,9.78,7,0
31,4096,4181.74,836.348,1082.59,384.2461484777694,1150.69,400.99,5,0
32,1768,124.07,124.07,124.07,0.0,124.07,124.07,1,1
32,4219,773.63,386.815,386.815,120.32836095451476,471.9,301.73,2,0
32,4615,11708.02,650.4455555555555,886.02,388.67516697898753,1057.71,12.4,18,0
33,3690,9750.279999999999,886.3890909090908,1057.8,308.12636857155036,1057.8,196.32,11,0
33,4886,4410.98,882.1959999999999,1080.24,328.54991071373007,1192.44,467.25,5,0
34,703,945.59,945.59,945.59,0.0,945.59,945.59,1,1
34,1656,4379.06,875.8120000000001,679.37,746.4431896132485,1696.77,170.61,5,0
34,4824,3537.8,393.0888888888889,48.77,427.1497092778024,1061.86,48.77,9,0
35,2811,2189.5,437.9,387.31,240.1501934207008,795.75,129.88,5,0
35,3307,2869.36,956.4533333333334,1125.16,593.3687424640208,1447.2,297.0,3,0
36,743,1350.25,1350.25,1350.25,0.0,1350.25,1350.25,1,1
36,827,1601.39,1601.39,1601.39,0.0,1601.39,1601.39,1,1
36,2179,556.12,556.12,556.12,0.0,556.12,556.12,1,1
